timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1511884767726511,-2,-1,2,4,-1,-1,-2,-2
1511884767726511,0,0,4,1,-1,0,-1,0
1511884767727512,-1,0,2,3,0,1,-2,-2
1511884767727512,-2,0,2,-3,-4,-2,-1,-3
1511884767730678,0,0,-2,2,2,0,2,1
1511884767730678,-1,-1,-2,1,1,-1,-1,0
1511884767732664,1,1,1,-1,-1,0,0,0
1511884767732664,0,0,-1,3,1,-1,-1,-2
1511884767744698,0,0,2,-6,-7,-2,-2,-3
1511884767744698,-2,-3,-13,-11,-4,-1,-3,-4
1511884767754870,0,1,3,0,2,2,2,0
1511884767754870,0,0,4,11,8,2,1,0
1511884767759883,0,0,2,3,1,1,-1,1
1511884767759883,0,-4,0,-2,-5,0,0,-1
1511884767774918,-1,-4,-11,-7,-3,-3,-1,-1
1511884767774918,1,-2,-4,-11,-4,0,1,0
1511884767783957,-1,0,4,8,4,-1,0,0
1511884767783957,-1,4,1,5,3,-3,0,0
1511884767790963,-1,-2,-8,-6,-2,-3,-1,0
1511884767790963,-1,-1,2,4,1,-1,-1,-2
1511884767805117,0,-3,-1,-3,-4,1,-1,-1
1511884767805117,-1,0,-1,-2,-3,-2,0,-1
1511884767815239,0,0,7,3,0,1,0,-1
1511884767815239,-1,2,-1,0,2,1,-1,0
1511884767844273,1,-2,-4,1,-1,0,0,2
1511884767844273,0,-1,4,3,1,0,0,-2
1511884767851329,0,-2,-1,5,-2,-1,0,-1
1511884767851329,0,-2,-4,-8,-7,-1,2,-1
1511884767853296,-1,-4,-8,-10,-4,-3,-3,-1
1511884767853296,-2,-2,-3,-7,-3,0,-2,-1
1511884767854296,0,3,3,5,4,1,0,0
1511884767854296,0,-1,5,5,1,0,-2,-1
1511884767864325,-1,0,3,3,-1,1,2,-1
1511884767864325,-1,0,-3,-1,-3,-1,0,-3
1511884767873357,0,1,3,3,-3,-1,0,0
1511884767873357,0,-1,-4,-3,-5,-1,-1,0
1511884767879365,-2,0,-4,-1,0,-3,-1,0
1511884767879365,0,-2,-3,2,2,2,0,0
1511884767894530,-2,-1,-8,-10,-1,-2,0,1
1511884767894530,-1,1,7,3,-1,1,-2,-1
1511884767902424,0,-2,-1,2,2,1,0,-1
1511884767902424,0,-1,2,6,2,-1,-1,0
1511884767911451,0,-4,0,-5,-4,0,-3,-1
1511884767911451,-1,-2,-5,-2,3,-2,-1,0
1511884767924483,-1,-1,-3,-8,-2,-2,0,-2
1511884767924483,-1,-2,3,5,0,0,1,2
1511884767933507,-1,1,1,2,-1,-1,-1,-1
1511884767933507,0,2,-2,-11,-5,-1,-1,0
1511884767939622,-1,1,10,14,4,-1,-2,0
1511884767939622,1,0,-5,-5,-7,-1,-1,-2
1511884767954759,-1,-3,-13,-19,-7,0,0,-1
1511884767954759,0,-1,0,1,1,-1,0,-2
1511884767961583,-1,1,0,3,2,2,-1,-1
1511884767961583,1,-1,3,3,2,-1,-2,-1
1511884767970773,-1,-2,1,8,1,0,0,0
1511884767970773,0,-1,-5,-3,0,0,-1,1
1511884767984836,-1,0,4,1,0,1,-1,-1
1511884767984836,-2,1,-3,-5,-4,-2,1,0
1511884767993666,0,-2,1,4,-2,-3,-2,-2
1511884767993666,0,0,0,-1,-3,-1,0,-2
1511884767999685,0,-3,-9,-5,-1,-3,-2,-2
1511884767999685,1,-1,-2,-10,-4,1,-1,1
1511884768014767,0,2,7,8,7,2,0,1
1511884768014767,-1,-1,2,6,5,0,0,1
1511884768021868,0,0,2,0,-7,-3,0,0
1511884768021868,-2,-3,-5,-6,-2,-3,-1,0
1511884768030765,-2,-2,-6,-4,0,-1,-2,-1
1511884768030765,-1,-2,-4,-3,-2,-1,0,0
1511884768044850,0,0,-1,-3,-1,-1,1,-3
1511884768044850,0,1,1,5,5,-1,2,1
1511884768053833,1,1,8,2,-2,1,1,1
1511884768053833,0,0,3,7,1,-1,-1,1
1511884768059987,-1,-1,-12,-8,-1,-4,-2,-3
1511884768059987,0,-4,-3,-4,-2,-1,-3,-1
1511884768075010,0,-1,-2,-3,-3,1,1,0
1511884768075010,-1,-3,1,3,0,-1,-1,-2
1511884768081986,2,1,7,5,2,3,-1,2
1511884768081986,0,0,-4,3,3,-1,-1,2
1511884768091233,2,-1,0,1,-1,-2,0,1
1511884768091233,-2,-1,-2,-4,-2,-2,1,-1
1511884768104455,1,-1,-3,-10,-8,-2,0,-2
1511884768104455,-2,-3,-1,-5,-4,-2,-1,-1
1511884768113290,0,-2,-7,-10,0,-2,-2,-3
1511884768113290,2,1,2,10,4,0,2,0
1511884768119306,-2,0,6,9,3,-2,-1,1
1511884768119306,-1,-1,0,0,-1,1,-1,-1
1511884768134349,-3,-1,-7,-7,-5,-2,-1,-1
1511884768134349,-3,-2,4,-3,-1,1,-3,-3
1511884768142371,0,-3,-4,-2,-1,-1,1,0
1511884768142371,-1,2,0,-2,-1,0,-1,0
1511884768156532,-3,0,-7,-3,0,-2,-2,0
1511884768156532,-2,1,0,-2,0,0,0,-2
1511884768164554,0,3,8,6,1,2,0,0
1511884768164554,-2,-2,3,2,-3,-1,0,-2
1511884768173617,-2,-3,-3,-4,-4,1,-2,-5
1511884768173617,-1,0,-5,-1,2,-2,-2,1
1511884768179590,0,-1,-4,-2,-2,0,-1,0
1511884768179590,0,-1,3,2,-1,-1,0,1
1511884768194633,0,1,7,9,8,0,1,0
1511884768194633,0,-2,-5,-5,-5,-2,-2,0
1511884768201842,1,-1,5,4,-1,1,0,0
1511884768201842,-1,-1,-10,-9,0,-3,-2,-2
1511884768216828,-1,-2,0,0,-2,-1,-2,-1
1511884768216828,-1,0,-1,-5,-4,0,-1,0
1511884768224852,0,1,-1,-1,4,0,-1,0
1511884768224852,0,2,7,9,3,1,-1,1
1511884768233878,-1,-1,3,4,1,1,1,0
1511884768233878,1,-2,-7,-2,-5,-1,-1,1
1511884768240010,-2,-3,-1,-9,-7,-3,-1,-2
1511884768240010,0,-1,-2,1,1,-2,0,-2
1511884768255021,-3,-3,-8,-10,1,0,-1,0
1511884768255021,-2,0,-1,-4,-1,-1,1,-1
1511884768262135,-1,0,0,-2,1,2,1,1
1511884768262135,-1,2,7,11,0,-3,-5,-2
1511884768277140,1,2,2,5,1,0,0,0
1511884768277140,0,-1,-3,-3,7,1,0,-2
1511884768285162,-2,-1,-6,-5,-6,-2,-1,0
1511884768285162,0,-2,-1,-7,-2,0,-2,-2
1511884768293183,1,1,1,3,-6,-3,0,-2
1511884768293183,-2,0,4,5,3,-1,-1,1
1511884768299252,0,0,0,7,5,1,-1,-1
1511884768299252,-1,-2,-9,-13,-6,1,1,-2
1511884768314289,1,-1,-2,-7,-2,-2,0,0
1511884768314289,0,1,0,-2,-1,-1,0,0
1511884768322263,-1,1,7,5,0,-1,-1,0
1511884768322263,1,0,3,8,6,0,0,-2
1511884768337302,0,-3,-1,-3,-6,-1,0,0
1511884768337302,-2,0,-7,-7,-1,-1,-3,-3
1511884768344320,-1,2,-2,-3,-3,1,0,-1
1511884768344320,-1,-1,-3,0,4,3,2,0
1511884768353595,-1,0,6,8,2,-1,-2,0
1511884768353595,1,0,6,5,-1,0,0,-1
1511884768359722,-1,-3,-12,-14,-4,-2,-1,-1
1511884768359722,-1,-1,2,1,0,-4,0,0
1511884768374640,1,-1,4,0,-3,0,0,0
1511884768374640,-2,-4,-3,1,-3,0,1,0
1511884768381738,-2,-2,-5,-8,-2,-2,-1,-3
1511884768381738,-2,-1,-4,-5,-3,1,0,1
1511884768396702,-2,1,3,5,5,0,0,0
1511884768396702,-1,-1,3,2,-1,0,1,-1
1511884768404922,1,0,6,4,-1,-2,0,-2
1511884768404922,-2,-1,3,4,1,0,1,0
1511884768413870,-1,-1,-5,-2,4,1,2,-3
1511884768413870,0,-2,-3,-9,-9,-3,-2,-1
1511884768419763,-2,0,-3,-5,-1,0,-1,0
1511884768419763,-1,-1,-5,-2,-3,-2,-2,-2
1511884768434843,-1,1,2,0,3,2,0,0
1511884768434843,1,0,1,3,5,0,2,-1
1511884768441861,-1,-2,-2,-3,0,-3,-2,0
1511884768441861,2,1,7,7,3,-1,-1,0
1511884768456868,0,0,1,5,0,-1,-3,-2
1511884768456868,-3,-4,-6,-13,-6,0,-2,-2
1511884768464920,0,0,-3,1,0,-1,-1,-1
1511884768464920,-2,0,-7,-6,-2,-1,-2,-1
1511884768473999,0,-1,-3,-5,-3,0,1,-2
1511884768473999,2,2,4,7,2,-2,0,1
1511884768488071,0,-1,4,3,-1,2,1,0
1511884768488071,-1,-1,0,4,4,-3,-3,-1
1511884768494043,0,2,5,2,2,0,-1,0
1511884768494043,0,1,2,4,-7,0,0,2
1511884768502065,-1,-4,-14,-15,0,-1,-2,-1
1511884768502065,-1,-3,-6,-9,-9,0,-1,-1
1511884768517163,0,-3,-2,1,4,1,0,1
1511884768517163,-1,1,4,4,3,-2,-3,-2
1511884768524243,-1,1,3,10,2,0,1,-1
1511884768524243,2,2,4,3,0,2,0,0
1511884768533169,1,0,-1,2,1,-2,0,0
1511884768533169,-2,-4,-3,5,1,0,-2,0
1511884768548207,-1,-2,-7,-9,-2,0,-2,-1
1511884768548207,-3,-2,-7,-14,-6,0,-2,-2
1511884768554380,-4,-2,0,0,-5,-2,-2,0
1511884768554380,1,4,3,9,8,0,1,1
1511884768562309,-2,1,6,10,0,-2,-1,1
1511884768562309,-2,-4,1,-4,-2,0,-2,0
1511884768577372,0,-3,-14,-16,-6,1,0,0
1511884768577372,0,-2,3,0,-2,-2,-1,-2
1511884768584475,1,-1,1,4,4,-1,0,-1
1511884768584475,0,0,-1,-2,-1,0,0,-1
1511884768593393,-2,-1,3,1,0,-1,-3,0
1511884768593393,-1,-2,-4,-8,-5,0,1,0
1511884768607428,0,0,3,5,3,-1,-1,0
1511884768607428,0,0,5,1,-5,1,2,0
1511884768614447,-1,-3,0,0,-2,0,-3,0
1511884768614447,-1,-4,-10,-11,-2,-1,1,-1
1511884768622466,-2,2,-1,-1,1,1,-1,-2
1511884768622466,0,1,-1,3,4,0,1,-1
1511884768645622,2,1,-1,-2,-4,-2,-1,-1
1511884768645622,-2,0,3,1,-1,0,-2,-2
1511884768645622,-1,-3,2,1,-1,-1,-1,0
1511884768645622,0,0,10,14,4,-2,-2,-1
1511884768653548,-1,-4,-14,-17,-6,-3,0,0
1511884768653548,2,0,-3,-1,-2,-1,-2,0
1511884768667933,0,-2,-11,-14,-5,2,0,1
1511884768667933,0,2,7,8,2,1,-1,0
1511884768674769,0,0,10,8,5,0,-3,-2
1511884768674769,-3,-3,-9,-10,-3,-2,-2,-2
1511884768682123,-1,-1,-2,-2,-2,0,0,0
1511884768682123,0,2,2,-1,-2,1,0,0
1511884768696967,0,1,5,12,3,0,2,1
1511884768696967,0,0,0,-3,0,0,-1,0
1511884768705079,-1,0,0,4,0,-1,-2,1
1511884768705079,-3,-6,-10,-9,-3,-4,0,-1
1511884768713247,0,0,3,1,-2,0,0,-1
1511884768713247,0,-1,-2,3,6,2,0,0
1511884768727287,-1,-1,9,3,-4,0,-1,-2
1511884768727287,-1,-4,-9,-2,0,-1,-3,-1
1511884768734407,-2,-2,-8,-8,-3,-2,-1,-1
