timestamp,x,y,z
1511884767564038,-0.25,-0.5625,-0.875
1511884767590203,-0.3125,-0.6875,-0.75
1511884767610242,-0.375,-0.9375,-0.25
1511884767632222,0.125,-0.6875,0.375
1511884767648262,0.25,-1.25,0.5
1511884767670358,-0.875,-1.5,1.1875
1511884767692420,-0.8125,-1.5,2.1875
1511884767724506,-0.1875,-1.5625,2.8125
1511884767731661,-1.125,-1.3125,3.1875
1511884767753863,-0.75,-0.625,3.9375
1511884767768903,-0.1875,-0.375,4.375
1511884767790087,-0.8125,-0.1875,5.125
1511884767814299,-1.8125,-0.3125,6
1511884767843270,-2,-0.6875,5.875
1511884767852296,-1.625,-0.8125,5.4375
1511884767873357,-1,-1.5625,4.625
1511884767887585,-1.75,-1.8125,3.8125
1511884767910444,-2,-2,2.875
1511884767932676,-1.625,-2.1875,1.625
1511884767946543,-1.375,-2.8125,0.625
1511884767970773,-1.5625,-3.125,-0.375
1511884767992666,-1.75,-2.9375,-1.3125
1511884768006822,-1.375,-2.6875,-2.4375
1511884768029765,-1.8125,-2.25,-3.625
1511884768052863,-1.0625,-1.5,-4.5
1511884768066975,-0.375,-1.4375,-5.4375
1511884768090418,-0.875,-0.9375,-6.5
1511884768112398,-0.0625,0.25,-7.625
1511884768127331,1.4375,1.5625,-9.3125
1511884768149510,1.6875,2.25,-10.25
1511884768172755,0.9375,2,-11
1511884768186612,1.0625,1.875,-11.625
1511884768209674,1,1.125,-12.6875
1511884768232874,1.0625,0.25,-13.5625
1511884768246912,0.1875,-0.6875,-14.75
1511884768269149,0.6875,-0.6875,-15.5
1511884768293183,1.125,-0.3125,-15.6875
1511884768307338,1.625,-0.3125,-15.4375
1511884768329280,2.25,-0.6875,-15.0625
1511884768352749,2.625,-1.6875,-13.75
1511884768366623,1.4375,-2.875,-12.75
1511884768389752,2.125,-3.9375,-11.0625
1511884768412922,2,-6.625,-9.75
1511884768426823,1.5625,-8.75,-8.5625
1511884768449843,0.375,-9.75,-7.875
1511884768472999,0.375,-10.125,-7.0625
1511884768489036,0.375,-11,-7.5
1511884768509214,1.8125,-10.4375,-7.75
1511884768533169,3.625,-10.125,-7.375
1511884768548207,2.6875,-10.375,-7.5
1511884768569494,2.5,-11,-7.5625
1511884768592406,3.8125,-12.125,-7.375
