timestamp,x,y,z,w
1511884767564038,0.146912,0.0623779,-0.897095,-0.411987
1511884767590203,0.146912,0.0623779,-0.897156,-0.411987
1511884767610242,0.146912,0.0623779,-0.897156,-0.411987
1511884767632222,0.146912,0.0623779,-0.897156,-0.411987
1511884767648262,0.146606,0.0622559,-0.897217,-0.411926
1511884767670358,0.146362,0.0623169,-0.8974,-0.411682
1511884767692420,0.14624,0.062561,-0.897522,-0.411316
1511884767724506,0.146057,0.062561,-0.897827,-0.410828
1511884767731661,0.145874,0.0626221,-0.898071,-0.410278
1511884767753863,0.145752,0.0626221,-0.898376,-0.409607
1511884767768903,0.145752,0.0625,-0.898743,-0.408936
1511884767790087,0.145813,0.0623779,-0.899109,-0.408081
1511884767814299,0.145935,0.0623169,-0.899536,-0.407104
1511884767843270,0.146057,0.0625,-0.899963,-0.406067
1511884767852296,0.146179,0.0628052,-0.90033,-0.405212
1511884767873357,0.146118,0.0629883,-0.900635,-0.404419
1511884767887585,0.146057,0.0632935,-0.90094,-0.403748
1511884767910444,0.146057,0.0637207,-0.901184,-0.403198
1511884767932676,0.145996,0.0641479,-0.901306,-0.402893
1511884767946543,0.145874,0.0645142,-0.901367,-0.402649
1511884767970773,0.14563,0.0649414,-0.901428,-0.402649
1511884767992666,0.145447,0.0654297,-0.901367,-0.40271
1511884768006822,0.145508,0.065979,-0.901184,-0.403015
1511884768029765,0.145569,0.0664673,-0.90094,-0.403442
1511884768052863,0.145752,0.0668945,-0.900574,-0.404053
1511884768066975,0.145752,0.0671997,-0.900208,-0.404846
1511884768090418,0.145996,0.0675049,-0.899719,-0.405823
1511884768112398,0.146301,0.067749,-0.89917,-0.406982
1511884768127331,0.146545,0.067627,-0.898438,-0.408447
1511884768149510,0.14679,0.0675049,-0.897644,-0.410095
1511884768172755,0.146912,0.0675659,-0.89679,-0.411865
1511884768186612,0.146912,0.067627,-0.895935,-0.413757
1511884768209674,0.146729,0.0678101,-0.89502,-0.415833
1511884768232874,0.146545,0.0680542,-0.894043,-0.417969
1511884768246912,0.146362,0.0682983,-0.892944,-0.420227
1511884768269149,0.146118,0.0685425,-0.891846,-0.422607
1511884768293183,0.145752,0.0686646,-0.890747,-0.42511
1511884768307338,0.145203,0.0687256,-0.889648,-0.427551
1511884768329280,0.144531,0.0687256,-0.888611,-0.429932
1511884768352749,0.143555,0.0689087,-0.887634,-0.43219
1511884768366623,0.142517,0.0690918,-0.886841,-0.434204
1511884768389752,0.141296,0.0692139,-0.886169,-0.435913
1511884768412922,0.139771,0.069519,-0.88562,-0.437439
1511884768426823,0.137939,0.0700684,-0.885254,-0.438721
1511884768449843,0.136047,0.0708618,-0.884949,-0.439819
1511884768472999,0.134277,0.0717773,-0.884644,-0.440796
1511884768489036,0.132507,0.0726318,-0.884338,-0.441833
1511884768509214,0.130676,0.0732422,-0.884033,-0.442932
1511884768533169,0.128723,0.0736084,-0.883728,-0.44397
1511884768548207,0.126648,0.0742188,-0.883423,-0.445129
1511884768569494,0.124756,0.0748901,-0.883057,-0.446167
1511884768592406,0.122742,0.0752563,-0.882813,-0.447205
1511884768608429,0.120361,0.0755615,-0.882629,-0.44812
1511884768629487,0.117798,0.0761719,-0.882568,-0.448792
1511884768652546,0.114929,0.0770264,-0.882507,-0.449524
1511884768668750,0.112671,0.0786743,-0.882385,-0.450134
1511884768690082,0.110962,0.0800781,-0.882202,-0.450623
1511884768713247,0.109314,0.081543,-0.882202,-0.450745
1511884768728286,0.107422,0.083252,-0.882263,-0.450745
1511884768749346,0.105652,0.0852661,-0.882324,-0.450684
1511884768772434,0.104919,0.0878296,-0.882446,-0.450134
1511884768788448,0.10553,0.0912476,-0.882507,-0.449219
1511884768809706,0.107483,0.0953369,-0.882446,-0.448059
1511884768831564,0.109497,0.0984497,-0.882263,-0.447266
1511884768848730,0.110901,0.100037,-0.881958,-0.447083
1511884768869014,0.114807,0.103455,-0.881409,-0.446411
1511884768892075,0.1203,0.111206,-0.88092,-0.444092
1511884768908222,0.125549,0.120544,-0.879822,-0.442444
1511884768929205,0.127869,0.125305,-0.878845,-0.442383
1511884768952264,0.129883,0.130005,-0.877075,-0.443848
1511884768968307,0.131714,0.133972,-0.875183,-0.445862
1511884768989487,0.133789,0.137512,-0.873047,-0.448364
1511884769012510,0.13678,0.141907,-0.870667,-0.450745
1511884769028466,0.140686,0.148132,-0.868042,-0.452576
1511884769049527,0.144165,0.153625,-0.865479,-0.454529
1511884769072613,0.146301,0.158203,-0.862671,-0.457642
1511884769088626,0.149719,0.162292,-0.860107,-0.4599
1511884769109682,0.152893,0.16626,-0.857666,-0.462036
1511884769131742,0.154358,0.168335,-0.85553,-0.464783
1511884769148813,0.155579,0.168518,-0.853638,-0.467651
1511884769169968,0.156982,0.169495,-0.852051,-0.469727
1511884769192044,0.158203,0.171753,-0.850342,-0.47168
1511884769214149,0.159485,0.174438,-0.848755,-0.473145
1511884769229144,0.161865,0.177368,-0.847107,-0.474182
1511884769252326,0.164185,0.179077,-0.845642,-0.475342
1511884769268370,0.166809,0.180115,-0.844299,-0.476379
1511884769289610,0.169678,0.181763,-0.843018,-0.477051
1511884769311611,0.172119,0.183716,-0.841858,-0.477417
1511884769335010,0.17395,0.185547,-0.840942,-0.477722
1511884769350062,0.175476,0.187073,-0.840088,-0.478088
1511884769372006,0.177063,0.187927,-0.839417,-0.478333
1511884769395041,0.178284,0.188721,-0.838745,-0.478699
1511884769409207,0.178894,0.189209,-0.838013,-0.479553
1511884769432497,0.178772,0.189392,-0.837036,-0.481262
1511884769448510,0.177734,0.189209,-0.835754,-0.483948
1511884769470721,0.175781,0.188354,-0.83429,-0.487427
1511884769491757,0.172729,0.187012,-0.832825,-0.491577
1511884769514817,0.16925,0.185364,-0.831421,-0.495728
1511884769531231,0.165588,0.184631,-0.829956,-0.499695
1511884769552428,0.161865,0.185059,-0.828552,-0.503113
1511884769574701,0.158813,0.187073,-0.827026,-0.505798
1511884769590743,0.156616,0.189514,-0.825439,-0.508179
1511884769611910,0.154602,0.191772,-0.823914,-0.510437
1511884769635039,0.152649,0.194214,-0.822449,-0.512451
1511884769650998,0.150635,0.19574,-0.821106,-0.514648
1511884769672092,0.148865,0.195801,-0.820007,-0.516846
1511884769703294,0.147644,0.194824,-0.819397,-0.518555
1511884769711154,0.1474,0.195313,-0.81842,-0.519958
1511884769732336,0.147644,0.196167,-0.817688,-0.520752
1511884769748379,0.14856,0.196228,-0.817505,-0.520752
1511884769771517,0.150391,0.195496,-0.817993,-0.519714
1511884769791571,0.152771,0.194641,-0.819092,-0.517578
1511884769814721,0.155762,0.195496,-0.820251,-0.514526
1511884769830863,0.159241,0.198242,-0.82135,-0.51062
1511884769851980,0.163391,0.202454,-0.822388,-0.506042
1511884769874075,0.167603,0.206604,-0.823181,-0.501648
1511884769891145,0.171021,0.209534,-0.823853,-0.498169
1511884769912174,0.174011,0.21167,-0.823975,-0.496033
1511884769934727,0.177307,0.212708,-0.823608,-0.495056
1511884769950807,0.180786,0.212769,-0.822754,-0.495178
1511884769972036,0.183899,0.212158,-0.821411,-0.49646
1511884769994927,0.186646,0.21106,-0.819885,-0.498474
1511884770011128,0.18927,0.210266,-0.818115,-0.500732
1511884770032249,0.19165,0.209106,-0.816162,-0.503479
1511884770054700,0.193665,0.207825,-0.813843,-0.506897
1511884770070778,0.19519,0.206665,-0.811401,-0.510742
1511884770091926,0.196167,0.205627,-0.808899,-0.514709
1511884770114114,0.196655,0.204773,-0.806641,-0.518433
1511884770131159,0.196655,0.204529,-0.804626,-0.521606
1511884770152216,0.196411,0.204956,-0.802917,-0.52417
1511884770174273,0.195801,0.205505,-0.801453,-0.526428
1511884770191318,0.194519,0.206177,-0.800171,-0.528564
1511884770212501,0.19281,0.206848,-0.799133,-0.530579
1511884770234564,0.190918,0.207092,-0.798584,-0.531982
1511884770251541,0.188965,0.206909,-0.798767,-0.532471
1511884770271556,0.186462,0.207153,-0.799561,-0.532043
1511884770294644,0.183533,0.207581,-0.800903,-0.530884
1511884770310643,0.180237,0.208069,-0.802673,-0.529114
1511884770331730,0.176758,0.209045,-0.804932,-0.526428
1511884770354831,0.173096,0.210876,-0.807617,-0.522888
1511884770370831,0.169128,0.212891,-0.810669,-0.518555
1511884770393930,0.164734,0.215271,-0.814026,-0.513733
1511884770414985,0.160217,0.217896,-0.817505,-0.508545
1511884770431295,0.156372,0.220642,-0.821045,-0.502808
1511884770453472,0.153809,0.223083,-0.824951,-0.496094
1511884770474918,0.153137,0.22522,-0.829163,-0.48822
1511884770490785,0.153748,0.226685,-0.833801,-0.479309
1511884770513977,0.15509,0.227844,-0.838867,-0.469482
1511884770535089,0.156677,0.229492,-0.844055,-0.458679
1511884770551433,0.158752,0.231995,-0.849182,-0.447205
1511884770579507,0.161438,0.234802,-0.854126,-0.43512
1511884770594547,0.164001,0.237488,-0.858826,-0.423279
1511884770610712,0.166199,0.239502,-0.863281,-0.412048
1511884770633775,0.168396,0.241333,-0.867371,-0.401428
1511884770654960,0.170227,0.24292,-0.871094,-0.391418
1511884770671085,0.172241,0.244507,-0.874451,-0.382019
1511884770693147,0.1745,0.244812,-0.877686,-0.373291
1511884770714203,0.177368,0.243896,-0.880737,-0.365173
1511884770731248,0.180908,0.242432,-0.883545,-0.357727
1511884770753304,0.184692,0.240051,-0.88623,-0.350586
1511884770774359,0.188354,0.237549,-0.888916,-0.343506
1511884770790652,0.19165,0.234985,-0.891602,-0.336426
1511884770813814,0.19458,0.233032,-0.894043,-0.329529
1511884770834909,0.197693,0.231262,-0.896179,-0.32312
1511884770851085,0.201416,0.229858,-0.897949,-0.316711
1511884770873143,0.20575,0.229309,-0.899475,-0.309998
1511884770894476,0.210876,0.228699,-0.900574,-0.30365
1511884770910503,0.216858,0.225708,-0.901611,-0.298523
1511884770933563,0.222961,0.219788,-0.902771,-0.294983
1511884770954954,0.229919,0.211182,-0.904175,-0.291565
1511884770970809,0.237061,0.201782,-0.905823,-0.287537
1511884770993003,0.24353,0.193726,-0.907349,-0.282654
1511884771015121,0.249451,0.186096,-0.908691,-0.278442
1511884771031106,0.255859,0.176636,-0.909302,-0.276733
1511884771053164,0.263977,0.16449,-0.909241,-0.276794
1511884771074219,0.274719,0.149658,-0.908569,-0.276917
1511884771090497,0.287048,0.133301,-0.907349,-0.276733
1511884771113558,0.300415,0.118286,-0.905029,-0.276978
1511884771134886,0.315308,0.103943,-0.901917,-0.276306
1511884771150805,0.331238,0.0915527,-0.89856,-0.272949
1511884771173860,0.343628,0.0803833,-0.896301,-0.268433
1511884771195053,0.35321,0.0710449,-0.895325,-0.262024
1511884771211240,0.361145,0.0623169,-0.894775,-0.255249
1511884771233296,0.368225,0.0544434,-0.894409,-0.248108
1511884771254630,0.372803,0.0480347,-0.894775,-0.241028
1511884771271521,0.374634,0.0422974,-0.896118,-0.234314
1511884771293686,0.374634,0.0352173,-0.898071,-0.227905
1511884771315781,0.373413,0.0276489,-0.900269,-0.22229
1511884771337847,0.371704,0.0205688,-0.902405,-0.217102
1511884771352843,0.370178,0.0136719,-0.904419,-0.211914
1511884771374994,0.369934,0.00628662,-0.905884,-0.206238
1511884771398211,0.370972,-0.00189209,-0.906921,-0.19989
1511884771412382,0.371826,-0.00872803,-0.907959,-0.193298
1511884771435538,0.370544,-0.0137939,-0.909668,-0.187195
1511884771457740,0.367432,-0.0180054,-0.912109,-0.181152
1511884771472905,0.363892,-0.0219727,-0.914795,-0.174072
1511884771494881,0.360962,-0.0244751,-0.917542,-0.165161
1511884771518138,0.358459,-0.0239868,-0.92041,-0.154358
1511884771533181,0.355347,-0.0204468,-0.923523,-0.143005
1511884771555235,0.35083,-0.0164185,-0.926819,-0.132935
1511884771578179,0.345154,-0.0131836,-0.930115,-0.124939
1511884771593218,0.339722,-0.0106201,-0.933044,-0.118042
1511884771615276,0.335999,-0.00811768,-0.935181,-0.111816
1511884771637471,0.332825,-0.00482178,-0.93689,-0.106995
1511884771652555,0.330017,-0.000366211,-0.938293,-0.103577
1511884771675649,0.328979,0.00622559,-0.939026,-0.0998535
1511884771697737,0.330872,0.017395,-0.938843,-0.0938721
1511884771712685,0.336548,0.0339966,-0.937012,-0.0875244
1511884771735748,0.343079,0.050293,-0.934265,-0.0834351
1511884771757812,0.35083,0.0625,-0.930603,-0.0836182
1511884771772888,0.360657,0.0690918,-0.925903,-0.088562
1511884771794919,0.372498,0.0722046,-0.920349,-0.0949707
1511884771817966,0.384888,0.0755005,-0.914368,-0.100952
1511884771833161,0.396606,0.0808105,-0.908203,-0.10675
1511884771855324,0.406921,0.0898438,-0.902161,-0.111755
1511884771877468,0.416809,0.100159,-0.896118,-0.115173
1511884771892506,0.426147,0.108643,-0.890259,-0.118591
1511884771915637,0.433716,0.114685,-0.885315,-0.122498
1511884771937691,0.440735,0.116699,-0.880798,-0.127686
1511884771952792,0.448181,0.11554,-0.87616,-0.134888
1511884771975686,0.456238,0.111755,-0.871033,-0.143799
1511884771997878,0.465881,0.107666,-0.864868,-0.152954
1511884772012918,0.478027,0.104492,-0.856934,-0.162048
1511884772034977,0.492859,0.103088,-0.846985,-0.170654
1511884772058191,0.509888,0.102783,-0.835144,-0.178894
1511884772073247,0.528198,0.1026,-0.821899,-0.187073
1511884772095262,0.547241,0.102356,-0.807373,-0.195557
1511884772117615,0.565796,0.101196,-0.79248,-0.203979
1511884772132774,0.582458,0.100098,-0.778381,-0.211914
1511884772154786,0.597168,0.0999756,-0.765137,-0.219116
1511884772177845,0.610291,0.101013,-0.753113,-0.223938
1511884772192845,0.619934,0.103577,-0.744995,-0.223389
1511884772214905,0.627686,0.110535,-0.739014,-0.218384
1511884772238254,0.633301,0.120239,-0.734985,-0.210449
1511884772252293,0.636536,0.131226,-0.73291,-0.20105
1511884772275355,0.637573,0.141357,-0.732605,-0.191833
1511884772297536,0.63623,0.149719,-0.734253,-0.183533
1511884772312829,0.631714,0.155884,-0.738586,-0.176453
1511884772334800,0.62323,0.161011,-0.746216,-0.169922
1511884772357822,0.611267,0.164368,-0.756592,-0.164124
1511884772372898,0.59845,0.163696,-0.767822,-0.159729
1511884772394922,0.587036,0.159546,-0.77832,-0.155396
1511884772418173,0.577881,0.155029,-0.787354,-0.148682
1511884772433022,0.573669,0.154663,-0.792053,-0.14032
1511884772455244,0.574585,0.161072,-0.789978,-0.140808
1511884772477281,0.583496,0.164795,-0.781189,-0.148743
1511884772494463,0.597961,0.162781,-0.768188,-0.160828
1511884772515726,0.615845,0.165833,-0.752869,-0.162598
1511884772537578,0.631836,0.16748,-0.739502,-0.160828
1511884772553621,0.646973,0.173401,-0.725586,-0.157654
1511884772575700,0.661011,0.179932,-0.712341,-0.152588
1511884772597738,0.6698,0.184875,-0.703796,-0.147888
1511884772614028,0.673889,0.18396,-0.700012,-0.148376
1511884772635127,0.67395,0.182312,-0.700439,-0.148071
1511884772657313,0.670715,0.179749,-0.704468,-0.146667
1511884772674359,0.666077,0.176941,-0.709778,-0.145752
1511884772695416,0.660583,0.176514,-0.715454,-0.143433
1511884772717665,0.654297,0.178589,-0.721741,-0.138123
1511884772733769,0.646667,0.181396,-0.729187,-0.131348
1511884772754905,0.637329,0.182495,-0.737915,-0.126404
1511884772777958,0.626587,0.181396,-0.747803,-0.123718
1511884772793939,0.613098,0.177063,-0.76001,-0.123413
1511884772815185,0.598755,0.169617,-0.772827,-0.124512
1511884772837232,0.586304,0.160095,-0.78418,-0.125122
1511884772854278,0.575562,0.151123,-0.793884,-0.125366
1511884772875455,0.566956,0.145325,-0.801331,-0.123657
1511884772897390,0.560242,0.143005,-0.807068,-0.119934
1511884772914547,0.555115,0.141663,-0.811462,-0.115112
1511884772934819,0.550537,0.139099,-0.815796,-0.109863
1511884772957916,0.547241,0.136353,-0.819275,-0.103516
1511884772973958,0.545105,0.134338,-0.821777,-0.0976563
1511884772995090,0.543457,0.132019,-0.823669,-0.0936279
1511884773018157,0.54187,0.128845,-0.8255,-0.0914917
1511884773034153,0.540466,0.125488,-0.827026,-0.0903931
1511884773055212,0.539673,0.121643,-0.828064,-0.0909424
1511884773077822,0.540344,0.117676,-0.827942,-0.0930786
1511884773093754,0.542725,0.112488,-0.826355,-0.0996094
1511884773114843,0.54541,0.103638,-0.824097,-0.112549
1511884773137993,0.547852,0.0903931,-0.821472,-0.130188
1511884773154055,0.551392,0.0741577,-0.817078,-0.151123
1511884773183228,0.55658,0.0575562,-0.810669,-0.172546
1511884773197189,0.563354,0.0428467,-0.802368,-0.192505
1511884773213229,0.571045,0.0316162,-0.792969,-0.210083
1511884773235291,0.578979,0.0231323,-0.78302,-0.226196
1511884773257673,0.585876,0.0159912,-0.773193,-0.242249
1511884773273532,0.591492,0.00927734,-0.763611,-0.258789
1511884773294739,0.595886,0.00378418,-0.754395,-0.27533
1511884773318160,0.599976,-0.000366211,-0.745361,-0.29071
1511884773333354,0.603943,-0.00439453,-0.736267,-0.305176
1511884773355693,0.607666,-0.00994873,-0.726929,-0.319824
1511884773377584,0.610901,-0.0170898,-0.717346,-0.334595
1511884773393795,0.613281,-0.0258179,-0.708008,-0.349304
1511884773416827,0.614929,-0.0348511,-0.699341,-0.362854
1511884773438071,0.615173,-0.0447388,-0.69165,-0.375732
1511884773453922,0.614258,-0.0551147,-0.684875,-0.388123
1511884773476990,0.612549,-0.0658569,-0.678772,-0.399719
1511884773498041,0.610474,-0.0766602,-0.673401,-0.409973
1511884773513078,0.608398,-0.0864868,-0.669067,-0.41803
1511884773537196,0.606689,-0.0941162,-0.665955,-0.423889
1511884773557338,0.605408,-0.0991821,-0.66394,-0.427551
1511884773573380,0.604431,-0.102539,-0.662903,-0.429871
1511884773596441,0.603271,-0.105164,-0.662598,-0.431274
1511884773617819,0.602722,-0.107178,-0.662842,-0.431091
1511884773633825,0.603333,-0.108459,-0.663635,-0.428833
1511884773656917,0.604919,-0.108398,-0.665039,-0.424438
1511884773677942,0.607178,-0.106567,-0.667297,-0.41803
1511884773692986,0.609741,-0.102783,-0.670654,-0.409729
1511884773717046,0.612305,-0.0971069,-0.675171,-0.39978
1511884773737348,0.61377,-0.0903931,-0.680847,-0.389282
1511884773753275,0.613525,-0.0836182,-0.6875,-0.379395
1511884773776335,0.611633,-0.0764771,-0.69519,-0.369812
1511884773797412,0.608765,-0.0690308,-0.703613,-0.360046
1511884773813685,0.604797,-0.0612793,-0.712341,-0.35083
1511884773836756,0.599548,-0.0540771,-0.721008,-0.34314
1511884773857975,0.593628,-0.0469971,-0.729797,-0.335876
1511884773873156,0.588318,-0.0389404,-0.738159,-0.327942
1511884773896253,0.582886,-0.0305786,-0.746277,-0.320068
1511884773917282,0.576843,-0.0223999,-0.754272,-0.312866
1511884773933274,0.569946,-0.0153809,-0.762085,-0.306824
1511884773956332,0.562378,-0.00982666,-0.769836,-0.301575
1511884773977422,0.554688,-0.00579834,-0.777344,-0.296692
1511884773993515,0.546753,-0.00244141,-0.78479,-0.291809
1511884774016784,0.539124,0.00134277,-0.791992,-0.286499
1511884774037823,0.532104,0.00500488,-0.798645,-0.281067
1511884774053852,0.526123,0.00787354,-0.804382,-0.275879
1511884774076982,0.520874,0.00952148,-0.809143,-0.271851
1511884774098040,0.515503,0.00939941,-0.813354,-0.269592
1511884774113309,0.51001,0.00756836,-0.816956,-0.269104
1511884774136647,0.505493,0.00421143,-0.819702,-0.269531
1511884774157704,0.502502,0.00012207,-0.821106,-0.270691
1511884774173900,0.500977,-0.00360107,-0.821594,-0.272217
1511884774195807,0.501221,-0.00726318,-0.82074,-0.274231
1511884774218004,0.503418,-0.0115356,-0.818359,-0.277161
1511884774233088,0.507263,-0.0161133,-0.814697,-0.280579
1511884774256181,0.513672,-0.0204468,-0.809448,-0.283691
1511884774277471,0.522705,-0.0241089,-0.802612,-0.286377
1511884774293462,0.533142,-0.0269165,-0.794617,-0.289185
1511884774315542,0.544495,-0.02948,-0.785522,-0.292664
1511884774338802,0.556091,-0.0324707,-0.775696,-0.296692
1511884774359918,0.567383,-0.0357056,-0.765503,-0.301331
1511884774375959,0.577942,-0.0390015,-0.755188,-0.306763
1511884774399019,0.587524,-0.0428467,-0.744873,-0.313354
1511884774420548,0.595947,-0.0477295,-0.734436,-0.321228
1511884774436414,0.602783,-0.0544434,-0.723938,-0.331055
1511884774459469,0.608093,-0.0623169,-0.713684,-0.342163
1511884774480523,0.611877,-0.071167,-0.703735,-0.354004
1511884774495565,0.614319,-0.0806885,-0.694214,-0.366272
1511884774518763,0.615173,-0.0907593,-0.685181,-0.379333
1511884774539939,0.613831,-0.101379,-0.67688,-0.393433
1511884774555907,0.611206,-0.112244,-0.669006,-0.407776
1511884774579109,0.607544,-0.123169,-0.662231,-0.420959
1511884774600279,0.603821,-0.133484,-0.656067,-0.432556
1511884774616207,0.600098,-0.14325,-0.650391,-0.443115
1511884774639470,0.596252,-0.152161,-0.645203,-0.452881
1511884774660568,0.592529,-0.160156,-0.640381,-0.461731
1511884774675623,0.589294,-0.16748,-0.635742,-0.469666
1511884774698669,0.586243,-0.174805,-0.631409,-0.476624
1511884774719686,0.583679,-0.18158,-0.627563,-0.482239
1511884774735731,0.581604,-0.187439,-0.624268,-0.486755
1511884774758786,0.579346,-0.192749,-0.621094,-0.491394
1511884774779969,0.576538,-0.198303,-0.618042,-0.496338
1511884774795885,0.573975,-0.203735,-0.61499,-0.500854
1511884774819187,0.572021,-0.208862,-0.612122,-0.504456
1511884774840566,0.57019,-0.213562,-0.609619,-0.507629
1511884774856461,0.568665,-0.217529,-0.607422,-0.510254
