timestamp,roll,pitch,yaw
1511884767564038,-0.240716,0.213815,2.25459
1511884767590203,-0.240724,0.213833,2.25473
1511884767610242,-0.240724,0.213833,2.25473
1511884767632222,-0.240724,0.213833,2.25473
1511884767648262,-0.240195,0.213402,2.25497
1511884767670358,-0.240024,0.212988,2.2557
1511884767692420,-0.240266,0.212642,2.25641
1511884767724506,-0.239986,0.212459,2.2577
1511884767731661,-0.239795,0.212215,2.25892
1511884767753863,-0.239521,0.212168,2.26042
1511884767768903,-0.239147,0.212465,2.26205
1511884767790087,-0.238778,0.212898,2.26389
1511884767814299,-0.238551,0.213425,2.266
1511884767843270,-0.238757,0.213758,2.2682
1511884767852296,-0.239235,0.213949,2.27004
1511884767873357,-0.239324,0.213878,2.27169
1511884767887585,-0.239675,0.213691,2.27319
1511884767910444,-0.240338,0.213482,2.2744
1511884767932676,-0.240999,0.213094,2.27505
1511884767946543,-0.2415,0.212617,2.2755
1511884767970773,-0.242069,0.211833,2.27566
1511884767992666,-0.242812,0.211067,2.27547
1511884768006822,-0.243952,0.210632,2.27469
1511884768029765,-0.245006,0.210211,2.27362
1511884768052863,-0.246099,0.210003,2.27205
1511884768066975,-0.246845,0.209533,2.27028
1511884768090418,-0.247859,0.209449,2.268
1511884768112398,-0.248863,0.209483,2.26535
1511884768127331,-0.249198,0.209611,2.26192
1511884768149510,-0.249579,0.209696,2.25815
1511884768172755,-0.25021,0.209368,2.25411
1511884768186612,-0.250759,0.208798,2.24995
1511884768209674,-0.251399,0.207746,2.24547
1511884768232874,-0.252158,0.206614,2.24078
1511884768246912,-0.252934,0.205427,2.23569
1511884768269149,-0.253681,0.204111,2.23047
1511884768293183,-0.254116,0.202661,2.22514
1511884768307338,-0.254236,0.200941,2.21991
1511884768329280,-0.254108,0.199082,2.2149
1511884768352749,-0.253976,0.196548,2.21023
1511884768366623,-0.253731,0.193995,2.20626
1511884768389752,-0.253115,0.191246,2.20294
1511884768412922,-0.252485,0.187849,2.20015
1511884768426823,-0.251944,0.183775,2.19811
1511884768449843,-0.251738,0.179418,2.19643
1511884768472999,-0.25184,0.175192,2.19489
1511884768489036,-0.251842,0.171013,2.1933
1511884768509214,-0.251353,0.166936,2.19163
1511884768533169,-0.25028,0.162872,2.19002
1511884768548207,-0.249553,0.158354,2.18832
1511884768569494,-0.249077,0.154115,2.1866
1511884768592406,-0.247942,0.149967,2.18516
1511884768608429,-0.246309,0.145258,2.18402
1511884768629487,-0.245004,0.140016,2.18348
1511884768652546,-0.243853,0.134002,2.18294
1511884768668750,-0.244703,0.128362,2.18244
1511884768690082,-0.245621,0.123929,2.18184
1511884768713247,-0.246659,0.119649,2.18208
1511884768728286,-0.247884,0.11475,2.18265
