timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1511884872349905,-93,-24,-14,97,56,-25,-9,12
1511884872349905,-58,-21,-18,23,51,-24,-70,9
1511884872350905,-53,-16,-7,-20,47,-26,-33,-31
1511884872350905,-20,-2,-22,-68,25,-18,34,-27
1511884872354916,15,25,3,-65,16,-14,55,-32
1511884872354916,27,24,11,-23,15,-6,68,-8
1511884872358954,45,25,5,-16,11,-10,97,2
1511884872358954,48,23,8,0,12,-13,34,12
1511884872360932,82,33,10,-14,0,-14,-16,-10
1511884872360932,8,8,1,-3,-5,-25,-75,-45
1511884872372051,-20,-12,-11,-20,-10,-33,-81,-46
1511884872372051,-57,-28,-22,-6,-5,-65,-78,-13
1511884872376081,-125,-33,-38,-39,-16,-38,-81,-12
1511884872376081,-64,-25,-48,-72,-32,96,-62,-25
1511884872392322,-49,-37,-12,-113,-24,-27,-84,-96
1511884872392322,-110,-105,-52,-67,-100,12,-82,-10
1511884872400328,-72,21,-41,-68,-123,-58,-23,-59
1511884872400328,-128,-13,-33,9,-128,-22,-27,-108
1511884872417559,-126,47,-57,31,-36,8,31,-59
1511884872417559,-115,62,-96,-87,68,-6,-14,-72
1511884872420568,-20,83,-124,-93,123,-86,48,33
1511884872420568,48,125,-41,-16,31,-61,10,118
1511884872469698,-37,-85,-71,98,-111,112,28,7
1511884872469698,-103,-32,98,120,2,16,98,36
1511884872469698,-99,-47,113,122,74,104,106,53
1511884872469698,-128,-13,-68,82,12,5,127,58
1511884872470701,25,86,33,-105,-8,18,92,55
1511884872470701,-86,3,28,-109,17,-22,-35,88
1511884872473712,46,86,118,-83,-46,31,10,19
1511884872473712,-10,24,127,61,34,-59,-63,-2
1511884872480727,80,88,120,118,82,-72,-49,115
1511884872480727,127,76,29,126,76,117,79,-20
1511884872488797,75,90,31,118,20,86,71,23
1511884872488797,127,-33,52,74,-1,15,-45,-8
1511884872495772,50,27,18,52,53,33,-14,-23
1511884872495772,63,-64,-34,91,38,-33,-73,-69
1511884872511813,6,77,-61,83,107,-72,83,74
1511884872511813,-1,0,-42,92,1,33,99,99
1511884872518863,-128,14,-78,82,67,28,32,12
1511884872518863,-34,-44,-91,47,-70,49,-85,-43
