timestamp,x,y,z
1511884872172893,7.875,-0.875,12.125
1511884872188939,38.8125,2.0625,-7.6875
1511884872211004,46.4375,-7.8125,-6.1875
1511884872236060,39.125,-15.0625,-27
1511884872251103,60.625,13,-7.5625
1511884872271324,110.5,-16.25,50.3125
1511884872295594,112.063,-8.1875,64.5
1511884872348909,18.875,56.375,-39.0625
1511884872349905,-29.4375,29.625,11.125
1511884872356974,-26.25,15.1875,-4.3125
1511884872370070,6,17.125,-12.75
1511884872392322,34.5625,25,-25.6875
1511884872416555,41.6875,39.1875,-27.375
1511884872458782,35,46,-31.5
1511884872468698,34.5,41.8125,-2.9375
1511884872474712,16.0625,44.8125,-2.3125
1511884872489756,-8.9375,45.6875,5.5625
1511884872512817,-21.25,43.5,19.25
1511884872533888,-27.125,30.9375,40.25
1511884872549947,-22.3125,16,47.1875
1511884872573074,-10.5,9.8125,57.1875
1511884872593117,1.625,1.625,38.5625
1511884872609593,10.1875,-8.4375,35.3125
1511884872632451,13.875,-9.25,23.875
1511884872653782,18.9375,-0.875,6.4375
1511884872669825,-8.0625,15.9375,-1
1511884872692022,11,11.125,2.8125
1511884872715066,29.375,-7.875,3.625
1511884872730413,59.375,-31.875,-3.0625
1511884872752389,47.3125,-38.375,0.8125
1511884872773696,35.875,-31,17.1875
1511884872791639,-4.1875,-44.1875,31.4375
1511884872812834,3.8125,-26.625,67.3125
1511884872833906,-66.3125,17.6875,56.25
1511884872849929,-65.375,-2.3125,84.375
1511884872872089,-37.9375,4.4375,95
1511884872893166,-26.875,6.3125,91.1875
1511884872909362,-36.125,4.875,105.688
1511884872932423,-49.75,7.125,120.938
1511884872953811,-72.25,8.0625,125.688
1511884872969795,-80.125,20,128.563
1511884872991977,-65.0625,25.875,130.438
1511884873013106,-54.125,23.9375,134.5
1511884873030383,-37.3125,25.375,142.125
1511884873051586,-31,24.375,147.375
1511884873073909,-41.75,20.625,152.125
1511884873088952,-47,7.875,157.5
1511884873111937,-62.9375,-12.4375,160.75
1511884873134004,-77.5,-31.75,167.875
1511884873148974,-81.3125,-47.875,172
1511884873170990,-89.9375,-60.1875,171.063
1511884873202076,-97.75,-72.125,166.25
1511884873209093,-104.563,-86.875,159.125
1511884873231294,-109.75,-101.5,148.188
1511884873254436,-109.563,-113,138.625
1511884873269446,-104.375,-122.375,131.938
1511884873291850,-99.8125,-135.313,124.688
1511884873313864,-105.188,-150.375,114.313
1511884873328907,-112.688,-170.438,99.4375
1511884873350962,-113.938,-183.188,84.4375
1511884873374108,-115.563,-199.875,72.5
1511884873388227,-130.875,-213.563,64.375
1511884873411257,-144.938,-222.5,50.0625
1511884873434357,-145.063,-233.688,26.6875
1511884873448383,-137.063,-243.75,-0.3125
1511884873470453,-129.438,-248.625,-18.6875
1511884873494475,-136.063,-256.188,-41.4375
1511884873508554,-121.875,-256.125,-65.625
1511884873530573,-103.75,-252.563,-80.4375
1511884873553635,-93.125,-243.313,-79.3125
1511884873568837,-87.5625,-220.063,-80.125
1511884873591096,-73.3125,-189.75,-80.5625
1511884873613959,-52.875,-158.375,-83.8125
1511884873629034,-26,-123.875,-91.4375
1511884873651062,-19.75,-102.563,-87.375
1511884873674303,-4.25,-78.6875,-75.1875
1511884873688285,19.4375,-57.4375,-56.125
1511884873710548,25.875,-37.8125,-34.25
1511884873733608,24.5,-14.4375,-5.9375
1511884873748813,26.4375,20.125,28.9375
1511884873770962,36,66,66.8125
1511884873793987,54.0625,119.25,98.3125
