timestamp,x,y,z,w
1511884872172893,0.184509,0.121704,-0.958557,-0.179871
1511884872188939,0.18396,0.117859,-0.958618,-0.182739
1511884872211004,0.17981,0.111938,-0.959595,-0.185547
1511884872236060,0.174194,0.108215,-0.9599,-0.191406
1511884872251103,0.176331,0.0980225,-0.959961,-0.194458
1511884872271324,0.171509,0.0791626,-0.963623,-0.189148
1511884872295594,0.167114,0.0585327,-0.967346,-0.181458
1511884872348909,0.174255,0.0522461,-0.965027,-0.188904
1511884872349905,0.179077,0.0569458,-0.964294,-0.186707
1511884872356974,0.182068,0.0612793,-0.96344,-0.186829
1511884872370070,0.184753,0.0599365,-0.962524,-0.189331
1511884872392322,0.187805,0.053833,-0.961182,-0.194885
1511884872416555,0.192078,0.0458374,-0.959473,-0.201172
1511884872458782,0.197632,0.0394287,-0.957153,-0.208008
1511884872468698,0.203674,0.0317993,-0.955811,-0.209839
1511884872474712,0.210632,0.0266724,-0.954224,-0.210876
1511884872489756,0.218567,0.026062,-0.952698,-0.209778
1511884872512817,0.227661,0.0274048,-0.951355,-0.205872
1511884872533888,0.235352,0.0298462,-0.95105,-0.198303
1511884872549947,0.239502,0.0302124,-0.951782,-0.189392
1511884872573074,0.241638,0.0282593,-0.953247,-0.17926
1511884872593117,0.242065,0.026062,-0.954407,-0.172852
1511884872609593,0.23877,0.0227051,-0.956299,-0.167419
1511884872632451,0.233643,0.0192261,-0.958191,-0.164063
1511884872653782,0.230591,0.015625,-0.959045,-0.163818
1511884872669825,0.233398,0.015625,-0.958435,-0.163513
1511884872692022,0.235474,0.0130615,-0.958008,-0.163391
1511884872715066,0.233459,0.00878906,-0.958435,-0.164124
1511884872730413,0.224854,0.000854492,-0.959961,-0.167236
1511884872752389,0.212524,-0.00622559,-0.962402,-0.169067
1511884872773696,0.205933,-0.0126953,-0.964111,-0.167358
1511884872791639,0.199341,-0.0123901,-0.966431,-0.161865
1511884872812834,0.199097,-0.0167847,-0.968262,-0.150208
1511884872833906,0.209534,-0.00958252,-0.968018,-0.137878
1511884872849929,0.209351,-0.000793457,-0.970276,-0.121399
1511884872872089,0.208191,0.00323486,-0.972534,-0.104248
1511884872893166,0.209106,0.00494385,-0.973938,-0.0878906
1511884872909362,0.21051,0.00714111,-0.975159,-0.0686035
1511884872932423,0.21228,0.0109253,-0.976074,-0.0461426
1511884872953811,0.213989,0.0181274,-0.97644,-0.0219727
1511884872969795,0.217468,0.0264282,-0.975708,0.00292969
1511884872991977,0.221741,0.0324097,-0.974182,0.0275269
1511884873013106,0.225647,0.036377,-0.972168,0.0523071
1511884873030383,0.229675,0.0369873,-0.969482,0.0778198
1511884873051586,0.233398,0.0361328,-0.966125,0.103882
1511884873073909,0.236206,0.0369263,-0.962097,0.131165
1511884873088952,0.236633,0.038269,-0.957703,0.159485
1511884873111937,0.233032,0.0415649,-0.953064,0.189026
1511884873134004,0.225403,0.0463257,-0.947937,0.220276
1511884873148974,0.214722,0.0508423,-0.9422,0.252258
1511884873170990,0.201416,0.0562134,-0.93573,0.28418
1511884873202076,0.185608,0.0623779,-0.928589,0.315308
1511884873209093,0.166809,0.0690918,-0.920959,0.345276
1511884873231294,0.145081,0.0759888,-0.913147,0.373291
1511884873254436,0.121277,0.0822144,-0.904968,0.399414
1511884873269446,0.0960693,0.0869751,-0.896362,0.424011
1511884873291850,0.0689697,0.0901489,-0.887329,0.44696
1511884873313864,0.0389404,0.0928345,-0.877991,0.467957
1511884873328907,0.00469971,0.0950317,-0.868591,0.486328
1511884873350962,-0.0317993,0.0961914,-0.859009,0.501831
1511884873374108,-0.0708618,0.0960083,-0.848938,0.514893
1511884873388227,-0.113098,0.0964966,-0.837524,0.525818
1511884873411257,-0.157898,0.0976563,-0.825256,0.533447
1511884873434357,-0.204346,0.0970459,-0.812988,0.536621
1511884873448383,-0.251404,0.0930786,-0.801147,0.535095
1511884873470453,-0.297852,0.0865479,-0.789124,0.530212
1511884873494475,-0.345154,0.0787354,-0.776917,0.520691
1511884873508554,-0.39032,0.0674438,-0.765259,0.507446
1511884873530573,-0.432678,0.0531006,-0.753479,0.492188
1511884873553635,-0.471863,0.0380859,-0.740723,0.476685
1511884873568837,-0.506836,0.0241089,-0.728516,0.460205
1511884873591096,-0.536072,0.0107422,-0.717896,0.444031
1511884873613959,-0.559143,-0.00286865,-0.709595,0.428894
1511884873629034,-0.575623,-0.0176392,-0.704346,0.4151
1511884873651062,-0.588806,-0.0311279,-0.700378,0.402283
1511884873674303,-0.596558,-0.0419312,-0.697998,0.393982
1511884873688285,-0.601257,-0.0522461,-0.695435,0.390137
1511884873710548,-0.603882,-0.0604248,-0.693054,0.389099
1511884873733608,-0.603577,-0.0635376,-0.691467,0.391968
1511884873748813,-0.599976,-0.0606079,-0.690491,0.399475
1511884873770962,-0.59137,-0.0516968,-0.690918,0.412659
1511884873793987,-0.573975,-0.0391235,-0.695129,0.431152
1511884873808382,-0.546509,-0.0255737,-0.701843,0.456177
1511884873831325,-0.510559,-0.010437,-0.710754,0.483826
1511884873862407,-0.467163,0.010376,-0.72168,0.510803
1511884873868423,-0.415161,0.0383301,-0.7323,0.538452
1511884873890860,-0.355347,0.0700073,-0.74115,0.565308
1511884873913832,-0.289917,0.10675,-0.746216,0.589661
1511884873928872,-0.215942,0.142151,-0.74646,0.613159
1511884873951179,-0.137939,0.170654,-0.74408,0.631042
1511884873982137,-0.0622559,0.188538,-0.741516,0.640869
1511884873988297,-6.10352e-005,0.199219,-0.738831,0.643738
1511884874011371,0.0454712,0.205322,-0.734619,0.64502
1511884874034432,0.0757446,0.204773,-0.730774,0.646729
1511884874048470,0.0950317,0.198242,-0.728821,0.648438
1511884874070702,0.0979614,0.187927,-0.72998,0.64978
1511884874093721,0.0965576,0.175842,-0.732361,0.650696
1511884874108762,0.0969238,0.161987,-0.73584,0.65033
1511884874130846,0.0974121,0.149536,-0.738464,0.650208
1511884874154007,0.0925903,0.141846,-0.73877,0.652344
1511884874168923,0.081665,0.138977,-0.737061,0.656311
1511884874191060,0.0679932,0.137146,-0.734863,0.660767
1511884874214083,0.0559692,0.135132,-0.733093,0.664246
1511884874228355,0.0459595,0.131714,-0.732117,0.666687
1511884874251446,0.0373535,0.128235,-0.73175,0.668335
1511884874274610,0.0322266,0.124756,-0.732239,0.668762
1511884874288766,0.0300293,0.122437,-0.733276,0.668152
1511884874310940,0.0303955,0.121338,-0.734741,0.666687
1511884874333985,0.0330811,0.120117,-0.736572,0.664795
1511884874347967,0.0360107,0.118652,-0.73822,0.663086
1511884874371079,0.0370483,0.117676,-0.73938,0.661865
1511884874393131,0.0352783,0.116699,-0.740173,0.661255
1511884874408220,0.0315552,0.116089,-0.740845,0.660767
1511884874431236,0.0275269,0.117065,-0.741333,0.660278
1511884874453766,0.0236816,0.119751,-0.741821,0.659424
1511884874476760,0.0201416,0.123108,-0.742798,0.657776
1511884874490919,0.0186157,0.126099,-0.744568,0.655273
1511884874512986,0.0206299,0.127808,-0.746765,0.652344
1511884874537104,0.0263062,0.128662,-0.749329,0.649048
1511884874551198,0.034668,0.130005,-0.752258,0.64502
1511884874573498,0.0444336,0.133057,-0.755005,0.640503
1511884874588520,0.0530396,0.13855,-0.757019,0.636353
1511884874610402,0.0599976,0.146362,-0.758057,0.63269
1511884874633466,0.0671387,0.155518,-0.75885,0.628845
1511884874648506,0.0762939,0.164185,-0.76001,0.624146
1511884874670659,0.0872803,0.171997,-0.761719,0.61853
1511884874694657,0.0994263,0.179504,-0.763916,0.611816
1511884874708689,0.113647,0.188232,-0.766296,0.603699
1511884874730748,0.128418,0.197327,-0.768921,0.594421
1511884874753810,0.142639,0.206665,-0.771423,0.584656
1511884874767847,0.157227,0.216431,-0.773254,0.57489
1511884874791073,0.174133,0.227173,-0.774658,0.563843
1511884874813242,0.193298,0.239014,-0.775513,0.551392
1511884874836306,0.212585,0.253174,-0.774902,0.538757
1511884874851379,0.231201,0.270264,-0.772766,0.525635
1511884874873438,0.252441,0.286377,-0.770508,0.510437
1511884874896502,0.277771,0.298828,-0.769714,0.490967
1511884874910672,0.306152,0.30719,-0.770386,0.467407
1511884874933739,0.335022,0.312683,-0.77179,0.440857
1511884874956795,0.363708,0.319458,-0.770752,0.414185
1511884874970832,0.392578,0.325195,-0.76947,0.384766
1511884874992990,0.421692,0.331421,-0.766785,0.352661
1511884875025000,0.451721,0.338623,-0.762939,0.315002
1511884875030995,0.480225,0.341614,-0.757751,0.280151
1511884875053247,0.505432,0.34259,-0.749878,0.254578
1511884875076156,0.524597,0.34314,-0.741821,0.238098
1511884875099215,0.538147,0.346436,-0.733948,0.227295
1511884875113253,0.546997,0.348572,-0.728638,0.219971
1511884875136398,0.555542,0.347473,-0.724976,0.212219
1511884875151373,0.565186,0.343506,-0.7229,0.199951
1511884875173581,0.5755,0.334656,-0.723816,0.181335
1511884875196643,0.586853,0.319641,-0.727234,0.156677
1511884875210679,0.597717,0.300293,-0.731934,0.129761
1511884875233740,0.607117,0.280579,-0.735779,0.105957
1511884875256802,0.615051,0.264465,-0.737488,0.0883789
1511884875270937,0.620911,0.252319,-0.737976,0.0783691
1511884875293992,0.625427,0.243774,-0.737793,0.0709839
