timestamp,roll,pitch,yaw
1511884872172893,-0.320686,0.315133,2.71925
1511884872188939,-0.313454,0.314793,2.71475
1511884872211004,-0.299976,0.308415,2.71267
1511884872236060,-0.291124,0.297355,2.70409
1511884872251103,-0.27257,0.305131,2.69972
1511884872271324,-0.230013,0.305314,2.71842
1511884872295594,-0.183439,0.306866,2.74231
1511884872348909,-0.176627,0.322125,2.72624
1511884872349905,-0.187879,0.330062,2.72772
1511884872356974,-0.198299,0.334107,2.72498
1511884872370070,-0.197843,0.339445,2.71915
1511884872392322,-0.189007,0.346967,2.7083
1511884872416555,-0.177335,0.357725,2.69613
1511884872458782,-0.169982,0.370332,2.68171
1511884872468698,-0.15851,0.385479,2.67843
1511884872474712,-0.152393,0.401426,2.67559
1511884872489756,-0.155267,0.41755,2.67522
1511884872512817,-0.161604,0.435528,2.67956
1511884872533888,-0.167566,0.450955,2.692
1511884872549947,-0.166237,0.460575,2.70971
1511884872573074,-0.158045,0.467382,2.73214
1511884872593117,-0.150235,0.470181,2.74723
1511884872609593,-0.138522,0.465721,2.76209
1511884872632451,-0.126841,0.457203,2.77289
1511884872653782,-0.117596,0.452455,2.77614
1511884872669825,-0.118777,0.458144,2.77594
1511884872692022,-0.114238,0.4633,2.77681
1511884872715066,-0.104552,0.460757,2.77791
1511884872730413,-0.0852855,0.446061,2.7773
1511884872752389,-0.0657358,0.423741,2.77966
1511884872773696,-0.0485481,0.412972,2.78771
1511884872791639,-0.0440743,0.399882,2.8008
1511884872812834,-0.0296685,0.401281,2.82775
1511884872833906,-0.0429866,0.420599,2.84947
1511884872849929,-0.0539734,0.418563,2.88118
1511884872872089,-0.0543638,0.416182,2.91655
1511884872893166,-0.0507913,0.418559,2.95081
1511884872909362,-0.0469449,0.421996,2.99107
1511884872932423,-0.0449527,0.426179,3.03739
1511884872953811,-0.0493173,0.430251,3.08582
1511884872969795,-0.0555812,0.438438,3.13521
1511884872991977,-0.0565652,0.448724,-3.09801
1511884873013106,-0.0525725,0.458428,-3.04636
1511884873030383,-0.0403146,0.467985,-2.99102
1511884873051586,-0.0239992,0.476297,-2.93319
1511884873073909,-0.0102624,0.482723,-2.87312
1511884873088952,0.00246094,0.484149,-2.81099
1511884873111937,0.00998928,0.477886,-2.74761
1511884873134004,0.0128323,0.464241,-2.68194
1511884873148974,0.0138737,0.444794,-2.6153
1511884873170990,0.0101642,0.421239,-2.54977
1511884873202076,0.00129996,0.394172,-2.48668
1511884873209093,-0.0129124,0.362872,-2.42657
1511884873231294,-0.032179,0.327516,-2.37078
1511884873254436,-0.0541996,0.289193,-2.31818
1511884873269446,-0.0768892,0.248533,-2.26755
1511884873291850,-0.10059,0.204404,-2.2187
1511884873313864,-0.128478,0.155894,-2.17226
1511884873328907,-0.162043,0.100768,-2.12897
1511884873350962,-0.198652,0.0419242,-2.08833
1511884873374108,-0.238285,-0.0214483,-2.04868
1511884873388227,-0.28553,-0.0880795,-2.0077
1511884873411257,-0.340279,-0.157069,-1.96695
1511884873434357,-0.397717,-0.230134,-1.92828
1511884873448383,-0.454315,-0.308061,-1.89216
1511884873470453,-0.510671,-0.387965,-1.85595
1511884873494475,-0.571395,-0.471606,-1.81985
1511884873508554,-0.629082,-0.557355,-1.78492
1511884873530573,-0.684486,-0.643197,-1.74806
1511884873553635,-0.742414,-0.724457,-1.70506
1511884873568837,-0.802172,-0.798465,-1.66068
1511884873591096,-0.857791,-0.86354,-1.61849
1511884873613959,-0.903462,-0.920642,-1.58247
1511884873629034,-0.931661,-0.97112,-1.55809
1511884873651062,-0.954498,-1.01564,-1.53854
1511884873674303,-0.965554,-1.04681,-1.52666
1511884873688285,-0.970324,-1.06966,-1.514
1511884873710548,-0.9723,-1.0845,-1.50218
1511884873733608,-0.97129,-1.08546,-1.49429
1511884873748813,-0.967307,-1.06954,-1.48934
1511884873770962,-0.954331,-1.03496,-1.49254
1511884873793987,-0.916298,-0.98218,-1.5158
1511884873808382,-0.856297,-0.911559,-1.54872
1511884873831325,-0.786198,-0.826941,-1.58639
1511884873862407,-0.71817,-0.725733,-1.62678
1511884873868423,-0.657065,-0.602576,-1.66252
1511884873890860,-0.600808,-0.464056,-1.69232
1511884873913832,-0.554619,-0.311817,-1.71468
1511884873928872,-0.503336,-0.148609,-1.72799
1511884873951179,-0.44236,0.0101045,-1.73712
1511884873982137,-0.372,0.149889,-1.74439
1511884873988297,-0.309562,0.259295,-1.74878
1511884874011371,-0.260528,0.338086,-1.74516
1511884874034432,-0.218961,0.385011,-1.73547
1511884874048470,-0.181437,0.40674,-1.72489
1511884874070702,-0.160189,0.397639,-1.71926
1511884874093721,-0.142475,0.379299,-1.71615
