timestamp,x,y,z,w
1511885020771575,-0.111511,0.00360107,-0.5271,0.842468
1511885020791639,-0.109436,0.00286865,-0.528381,0.841919
1511885020806845,-0.107361,0.00231934,-0.529541,0.841431
1511885020831714,-0.105408,0.00189209,-0.530518,0.841125
1511885020852035,-0.104065,0.00164795,-0.531433,0.840698
1511885020866952,-0.103027,0.00164795,-0.532288,0.840271
1511885020914249,-0.10199,0.00152588,-0.533142,0.839844
1511885020915249,-0.101074,0.00140381,-0.534058,0.839355
1511885020928284,-0.100342,0.00115967,-0.535034,0.838867
1511885020953349,-0.0996704,0.000732422,-0.536011,0.838318
1511885020972404,-0.0993042,0.00012207,-0.536926,0.837769
1511885020988444,-0.0991211,-0.000793457,-0.537842,0.837219
1511885021024547,-0.0993042,-0.00177002,-0.538757,0.836609
1511885021033588,-0.0994263,-0.00286865,-0.539795,0.835938
1511885021048607,-0.0999146,-0.00384521,-0.54071,0.835266
1511885021068801,-0.101013,-0.00445557,-0.541626,0.834473
1511885021092898,-0.102234,-0.00488281,-0.542358,0.833862
1511885021107906,-0.103088,-0.00506592,-0.542908,0.833435
1511885021129164,-0.103516,-0.00518799,-0.543335,0.833069
1511885021152019,-0.103699,-0.00512695,-0.543579,0.832947
1511885021168062,-0.103699,-0.00512695,-0.543579,0.832947
1511885021189121,-0.103638,-0.00518799,-0.543579,0.832947
1511885021212182,-0.103394,-0.00518799,-0.543518,0.832947
1511885021228222,-0.103027,-0.00537109,-0.543579,0.833008
1511885021249281,-0.102478,-0.00592041,-0.543579,0.833008
1511885021272340,-0.102478,-0.00683594,-0.54364,0.833008
1511885021288382,-0.102783,-0.00811768,-0.543762,0.832886
1511885021309696,-0.103027,-0.00970459,-0.543884,0.832764
1511885021331642,-0.103088,-0.0116577,-0.544006,0.832642
1511885021348682,-0.103271,-0.0137329,-0.544067,0.832581
1511885021369773,-0.103638,-0.015564,-0.543945,0.83252
1511885021391804,-0.103821,-0.0169678,-0.543823,0.832581
1511885021407846,-0.103821,-0.0180054,-0.543701,0.832642
1511885021428897,-0.103455,-0.0186768,-0.543701,0.832642
1511885021452009,-0.102783,-0.0189819,-0.543823,0.832703
1511885021468006,-0.101501,-0.019043,-0.544006,0.832703
1511885021489152,-0.0990601,-0.0186768,-0.544189,0.832886
1511885021512251,-0.0939331,-0.0184326,-0.544495,0.833313
1511885021535275,-0.085083,-0.0199585,-0.544128,0.834412
1511885021549312,-0.0758057,-0.0211792,-0.544189,0.835266
1511885021571590,-0.0651855,-0.0216064,-0.544373,0.83606
1511885021594557,-0.0512695,-0.0215454,-0.544373,0.836975
1511885021609768,-0.032959,-0.0205688,-0.544006,0.838196
1511885021631788,-0.0122681,-0.0184937,-0.54303,0.839417
1511885021654971,0.00915527,-0.013855,-0.541931,0.840271
1511885021670892,0.0334473,-0.0067749,-0.540955,0.840332
1511885021692293,0.0601807,0.00274658,-0.540222,0.839355
1511885021715185,0.0877075,0.0157471,-0.539612,0.837158
1511885021730221,0.115295,0.0314941,-0.540039,0.83313
1511885021751277,0.140625,0.0511475,-0.540833,0.827698
1511885021776344,0.161926,0.0742188,-0.541077,0.821899
1511885021790505,0.17981,0.0999756,-0.540344,0.815857
1511885021811441,0.195374,0.12793,-0.538513,0.80957
1511885021834502,0.20813,0.157532,-0.535095,0.803467
1511885021850547,0.215942,0.188049,-0.528809,0.79895
1511885021871607,0.220398,0.217285,-0.520386,0.795837
1511885021895050,0.22229,0.244324,-0.510925,0.793579
1511885021910984,0.222961,0.268066,-0.501343,0.79187
1511885021932182,0.224243,0.287964,-0.492065,0.790344
1511885021955398,0.224487,0.303711,-0.484009,0.789368
1511885021970432,0.22345,0.31488,-0.477234,0.789368
1511885021991493,0.220093,0.321655,-0.471924,0.790771
1511885022014554,0.214661,0.323975,-0.46875,0.793213
1511885022030598,0.208801,0.321838,-0.467346,0.796448
1511885022051690,0.202026,0.315674,-0.467346,0.800659
1511885022073913,0.193481,0.305115,-0.46875,0.80603
1511885022090752,0.183289,0.287781,-0.472229,0.812744
1511885022111811,0.172241,0.264893,-0.476685,0.820313
1511885022133921,0.158142,0.23822,-0.480469,0.829041
1511885022150962,0.138794,0.207886,-0.482666,0.839355
1511885022172051,0.114868,0.172729,-0.483948,0.850159
1511885022194074,0.0883179,0.132568,-0.484985,0.859863
1511885022211121,0.0609741,0.0875244,-0.484924,0.867981
1511885022232177,0.0317383,0.0369873,-0.482117,0.874756
1511885022254456,-0.000244141,-0.0169067,-0.475891,0.879333
1511885022270371,-0.03302,-0.0720825,-0.466675,0.880859
1511885022291428,-0.0673218,-0.125732,-0.454529,0.879211
1511885022314488,-0.0997314,-0.174744,-0.439758,0.875305
1511885022330530,-0.132874,-0.216003,-0.425781,0.86853
1511885022351590,-0.16864,-0.246521,-0.414429,0.85968
1511885022374649,-0.203125,-0.26825,-0.405518,0.849915
1511885022390917,-0.234131,-0.282166,-0.398499,0.840698
1511885022411975,-0.260071,-0.289978,-0.3927,0.83313
1511885022434033,-0.276306,-0.294128,-0.389099,0.828064
1511885022451081,-0.284668,-0.295227,-0.386963,0.825867
1511885022472259,-0.285583,-0.293579,-0.385132,0.827026
1511885022494280,-0.279602,-0.290771,-0.383972,0.830566
1511885022511323,-0.268066,-0.286194,-0.384949,0.83551
1511885022531598,-0.254944,-0.27832,-0.388428,0.840637
1511885022554559,-0.244812,-0.265137,-0.394104,0.845276
1511885022570741,-0.234131,-0.247681,-0.402344,0.84967
1511885022591795,-0.221252,-0.226746,-0.41272,0.854004
1511885022613854,-0.205566,-0.203369,-0.424805,0.857849
1511885022630899,-0.188965,-0.178589,-0.43811,0.860474
1511885022652960,-0.170776,-0.153015,-0.451721,0.862183
1511885022674014,-0.152222,-0.125671,-0.464661,0.86322
1511885022691146,-0.133911,-0.0958862,-0.475586,0.864075
1511885022713207,-0.115479,-0.0639038,-0.483948,0.865112
1511885022734263,-0.0963135,-0.0317383,-0.489441,0.866089
1511885022750303,-0.0773315,0.000610352,-0.492432,0.866882
1511885022773414,-0.0604248,0.0333252,-0.493164,0.867188
1511885022794422,-0.0456543,0.0648804,-0.491333,0.867371
1511885022810462,-0.0323486,0.0938721,-0.487061,0.867676
1511885022833526,-0.0198364,0.119385,-0.480896,0.868347
1511885022854582,-0.00689697,0.140625,-0.473999,0.869202
1511885022870622,0.00799561,0.157043,-0.467773,0.86969
1511885022892903,0.0253906,0.169373,-0.462891,0.86969
1511885022913883,0.0415649,0.179016,-0.458557,0.869446
1511885022930922,0.0535889,0.18634,-0.453796,0.869751
1511885022953004,0.0605469,0.192078,-0.449036,0.870483
1511885022982059,0.0630493,0.196533,-0.444458,0.871704
1511885022991084,0.062561,0.199646,-0.44043,0.873047
1511885023013148,0.0592651,0.202209,-0.437561,0.874146
1511885023034199,0.0547485,0.204285,-0.435791,0.874817
1511885023051245,0.0515747,0.2052,-0.435181,0.875122
1511885023073298,0.0502319,0.2052,-0.435364,0.875122
1511885023094600,0.0491333,0.204651,-0.436035,0.874939
1511885023110709,0.0474854,0.203918,-0.436829,0.874817
1511885023132729,0.0456543,0.202698,-0.438049,0.874573
1511885023153785,0.0449219,0.200684,-0.439514,0.874329
1511885023170830,0.0446167,0.198181,-0.440918,0.874268
1511885023192889,0.0436401,0.195801,-0.442017,0.874268
1511885023213947,0.0414429,0.194458,-0.442932,0.874207
1511885023230993,0.0401611,0.193237,-0.444153,0.873901
1511885023253080,0.0405273,0.191711,-0.445679,0.873474
1511885023274104,0.0414429,0.190491,-0.44696,0.873047
1511885023290148,0.0415649,0.190125,-0.447815,0.872681
1511885023313208,0.0413208,0.190613,-0.448303,0.872314
1511885023334267,0.0413818,0.191284,-0.448792,0.871887
1511885023350445,0.0419922,0.191895,-0.449402,0.87146
1511885023373765,0.0432739,0.192383,-0.450012,0.870972
1511885023394762,0.0446777,0.192932,-0.450439,0.870544
1511885023410771,0.0452881,0.193787,-0.450806,0.870117
1511885023432833,0.0455322,0.19458,-0.451294,0.86969
1511885023453885,0.0462036,0.194946,-0.451965,0.869202
1511885023469931,0.0474243,0.195068,-0.45282,0.868652
1511885023491990,0.048645,0.195129,-0.453491,0.868225
1511885023515051,0.0492554,0.195251,-0.454041,0.86792
1511885023530090,0.0491333,0.195618,-0.454529,0.867554
