timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1511885104051641,3,-2,0,-4,0,-1,0,2
1511885104051641,-1,-3,1,0,-2,0,-2,-1
1511885104051641,1,1,3,-4,-1,4,-2,-2
1511885104051641,2,1,1,-7,-9,-3,1,0
1511885104053643,-2,-2,-1,11,8,-2,-2,-1
1511885104053643,1,-1,-2,0,-6,-3,0,-1
1511885104056655,0,-1,1,-1,4,-1,0,0
1511885104056655,0,-1,-6,-4,-7,-2,-3,2
1511885104063795,-4,1,-3,3,14,4,-3,-3
1511885104063795,1,0,1,-3,-4,-5,2,1
1511885104074820,-3,-1,-3,-2,3,3,1,-2
1511885104074820,-1,-2,-3,3,7,0,0,-4
1511885104078952,0,-3,-1,-6,-8,-1,1,-1
1511885104078952,-2,1,-1,6,10,1,-3,-1
1511885104093315,-1,0,-1,-5,-2,-1,-1,-1
1511885104093315,-2,0,0,4,6,2,-1,-3
1511885104102222,1,1,3,-3,-2,-2,0,0
1511885104102222,-5,-1,1,-3,-1,4,-1,0
1511885104110252,-2,2,0,3,-4,0,1,-1
1511885104110252,-2,-2,-2,-3,-2,4,-1,1
1511885104123281,-2,0,-1,4,-2,-3,0,-2
1511885104123281,0,1,-5,-3,-3,1,-2,-3
1511885104133306,0,-2,0,0,0,-2,-1,1
1511885104133306,1,0,-1,0,-5,-2,-1,0
1511885104171594,-2,0,-2,-2,1,1,0,-1
1511885104171594,1,-1,2,-5,-3,-5,-5,0
1511885104173412,3,-2,-1,-3,-3,-6,2,0
1511885104173412,-1,-3,1,3,-5,1,1,-2
1511885104176444,-3,1,1,-5,-4,-2,-3,-2
1511885104176444,-1,0,-6,6,-2,-3,2,2
1511885104177422,-1,0,-1,-6,-3,1,-1,1
1511885104177422,-2,-1,3,1,2,1,1,-2
1511885104183441,0,-3,-2,-5,-3,-2,1,1
1511885104183441,2,-1,1,-3,-6,1,0,-1
1511885104192463,-4,-3,-4,-2,2,-1,-4,-1
1511885104192463,0,1,-2,3,-1,0,-2,0
1511885104198477,3,-2,4,4,6,-3,-1,1
1511885104198477,-2,-1,-6,-3,-3,3,2,-2
1511885104213685,-3,-1,1,1,-1,3,2,0
1511885104213685,3,1,1,-4,-1,-2,0,1
1511885104220699,-1,2,-5,-2,0,3,-3,-1
1511885104220699,-2,-1,1,3,5,2,-4,-3
1511885104229710,0,-2,0,3,-4,-1,-1,-3
1511885104229710,-2,-3,-1,3,14,2,2,-3
1511885104243831,-2,-1,3,2,-5,2,0,-2
1511885104243831,-2,3,4,4,5,-1,0,0
1511885104251743,-1,-2,-2,-5,-5,-1,0,-1
1511885104251743,-3,-1,-3,-10,1,0,-5,0
1511885104258774,-1,4,0,8,-8,-2,1,-3
1511885104258774,2,0,-5,-11,0,-4,1,1
1511885104273131,2,1,5,13,10,6,-1,1
1511885104273131,-4,-2,-1,-1,-6,-1,-4,-1
1511885104281126,-1,-3,1,-4,3,2,-1,-4
1511885104281126,0,-1,1,-1,-5,-2,-2,0
1511885104290049,-3,3,-4,0,3,1,1,0
1511885104290049,0,-1,0,0,0,-1,-1,-2
1511885104303084,1,-1,-2,-3,-5,-2,0,1
1511885104303084,-3,-1,1,-3,0,1,0,-4
1511885104312107,0,-2,1,0,-1,-1,-1,0
1511885104312107,2,-1,-3,10,8,2,1,0
1511885104318124,-1,-1,-6,-4,-3,-4,1,-1
1511885104318124,-4,-2,4,2,6,2,-2,0
1511885104333304,1,-2,-1,0,-5,-2,-1,-1
1511885104333304,4,-2,4,-5,-10,-3,-1,2
1511885104340325,-1,-1,-4,2,1,-5,-1,1
1511885104340325,4,0,3,-2,-6,-2,-2,1
1511885104355365,-3,1,1,-5,1,-3,3,-3
1511885104355365,1,-1,-4,0,-1,-3,-3,-2
1511885104363560,-3,0,0,-1,0,4,-1,-1
1511885104363560,-1,-2,2,-1,-1,0,-1,-2
1511885104372407,1,0,-1,1,1,3,-1,0
1511885104372407,-1,1,-2,-3,0,0,0,2
1511885104378609,2,0,-1,-2,0,1,-1,0
1511885104378609,-3,-1,-5,2,0,2,-3,1
1511885104393564,0,0,-1,0,-1,0,-2,-1
1511885104393564,-3,2,2,-2,-1,-4,-1,-2
1511885104400486,2,-1,0,1,-1,-1,-1,-1
1511885104400486,-1,2,0,3,1,1,0,-2
1511885104415661,-1,-5,-8,-3,-3,1,-2,-2
1511885104415661,-1,4,6,0,-1,-1,-3,-2
1511885104423685,-1,-2,-3,2,2,2,1,0
1511885104423685,-1,0,-4,-4,-1,-1,4,-2
1511885104432711,0,1,1,0,-2,-3,-2,0
1511885104432711,-1,2,-5,-3,-3,4,0,-4
1511885104438751,0,-5,1,-2,5,0,0,-1
1511885104438751,-1,-1,-1,3,-5,-3,0,1
1511885104452903,-1,-1,-1,0,3,-1,-1,-1
1511885104452903,1,2,0,-2,-4,-2,-3,2
1511885104460905,-1,-1,-5,2,-1,-2,-2,0
1511885104460905,-1,-3,-2,-3,0,2,0,-1
1511885104475932,-2,-1,-2,-4,-3,-3,0,-3
1511885104475932,-2,-3,0,5,1,1,1,-2
1511885104482946,1,3,5,0,0,0,0,0
1511885104482946,-2,-2,0,-2,1,-1,-2,-1
1511885104491967,3,-1,2,0,2,-1,1,3
1511885104491967,0,-1,1,-7,-4,-1,-1,1
1511885104497981,-3,-2,-2,2,2,1,-3,-4
1511885104497981,0,4,-3,3,1,0,1,-2
1511885104513108,1,-1,-1,-3,-2,-1,-1,-1
1511885104513108,-3,-1,0,1,0,3,0,-1
1511885104521130,-3,0,-3,-7,-5,-2,-1,1
1511885104521130,1,1,1,0,1,-7,0,-2
1511885104537169,0,0,1,-9,1,3,1,-1
1511885104537169,-4,-2,-5,-1,-1,-5,-2,0
1511885104543186,-3,-4,2,31,8,4,-1,0
1511885104543186,0,0,0,-23,-5,3,-1,-1
1511885104552209,-1,-2,2,21,4,-1,-2,-2
1511885104552209,-2,-3,-2,-3,0,0,1,1
1511885104558554,-1,-2,0,-14,1,-1,1,-1
1511885104558554,-3,0,0,11,2,1,-1,-2
1511885104573506,0,2,0,-15,-4,3,-1,0
1511885104573506,0,-3,-2,13,1,1,0,-2
1511885104580510,0,-1,0,-22,-2,-3,-1,2
1511885104580510,-2,-3,2,-8,0,-2,-1,-1
1511885104595553,0,1,-5,29,-1,-2,-2,-2
1511885104595553,-1,-1,-2,-3,3,-2,0,-1
1511885104603583,1,1,9,8,-6,-3,-1,-1
1511885104603583,-2,-2,-11,-2,2,1,-3,0
1511885104612498,-1,-1,3,-64,-8,-3,-1,3
1511885104612498,1,3,3,41,2,2,1,2
1511885104618517,0,-2,-9,-12,-3,-2,1,0
1511885104618517,-3,-4,2,1,-1,-1,-2,-1
1511885104633653,1,-1,4,47,-1,-3,0,-1
1511885104633653,-3,-1,-3,-26,-3,1,0,-2
1511885104640863,2,1,0,-15,0,0,0,0
1511885104640863,0,-3,-3,-8,6,3,2,0
1511885104655711,1,-2,-1,12,0,-1,-2,-3
1511885104655711,-5,-3,4,-19,-6,-1,1,-2
1511885104662896,3,1,-11,-15,4,3,-2,-1
1511885104662896,5,2,1,29,-2,0,0,9
1511885104671920,1,0,-3,-4,1,-3,1,-1
1511885104671920,3,0,-5,-9,1,0,-2,-3
1511885104686102,-5,0,30,-16,0,-2,-3,-3
1511885104686102,11,0,-27,14,-3,-5,-2,-4
1511885104693118,0,1,9,-13,-1,-1,-3,3
1511885104693118,-14,2,-1,9,-1,-1,1,-2
1511885104701150,-2,-2,-6,2,0,0,-5,-3
1511885104701150,-2,1,16,-4,4,-2,8,1
1511885104716212,3,4,-2,11,1,5,-1,1
1511885104716212,-8,-11,-4,-8,-2,-1,-2,2
1511885104723234,-17,-1,7,10,2,0,-1,-3
1511885104723234,20,-1,-9,-6,-2,-3,-2,8
1511885104732256,3,-5,-10,-6,-3,-7,4,10
1511885104732256,-18,4,10,-5,3,2,0,-9
1511885104746292,2,2,-9,11,-4,-1,2,-1
1511885104746292,-15,-1,5,4,-3,-2,-3,-9
1511885104753314,3,-2,3,-10,0,0,1,4
1511885104753314,15,2,-3,0,-1,1,-9,3
1511885104761334,-1,2,-3,12,-1,-1,7,-1
1511885104761334,0,-6,4,-8,-1,2,-1,1
1511885104775523,-4,6,-3,-3,1,-1,-4,-7
1511885104775523,-3,-3,-2,1,-2,-4,-2,-1
1511885104783424,5,-3,-5,7,1,-1,0,-1
1511885104783424,2,3,9,-5,-1,1,0,1
1511885104792445,-6,-5,-4,-1,1,-4,4,-2
1511885104792445,7,-1,-3,7,-2,0,1,-1
1511885104806485,5,-1,-2,-1,2,-3,-2,1
1511885104806485,-5,-3,-3,-3,-3,1,0,-2
1511885104813503,-8,0,0,-2,-4,-1,-3,-5
1511885104813503,3,3,-2,4,1,-1,0,1
1511885104820526,5,1,-1,-3,-7,-4,0,2
1511885104820526,-7,-2,2,3,4,-1,1,-1
1511885104835562,0,-1,-2,-9,-3,2,0,0
1511885104835562,6,-1,-2,2,-4,-3,-1,1
1511885104843731,1,1,-2,8,3,1,-1,-1
1511885104843731,-2,1,-1,-5,-5,-2,-4,-2
1511885104852608,0,-1,0,7,4,0,-1,-2
1511885104852608,3,-5,-2,-13,-1,-1,-1,2
1511885104866642,-8,2,-6,1,9,4,-2,0
1511885104866642,-1,-2,-3,2,-1,1,7,-1
1511885104873665,-2,2,0,1,2,2,-4,-4
1511885104873665,3,-2,-2,-13,-4,-1,-1,0
1511885104880877,0,-1,10,8,2,-5,0,-1
1511885104880877,-2,1,0,1,3,2,-1,-4
1511885104895719,-3,0,-13,2,2,5,-1,-4
1511885104895719,3,3,-3,3,-4,-3,3,1
1511885104902764,2,-2,0,13,1,3,-2,0
1511885104902764,2,2,5,-26,-8,-4,0,-1
1511885104911966,0,-4,3,4,3,0,-2,2
1511885104911966,0,0,1,-2,-2,1,1,-1
1511885104926803,1,1,-5,0,-1,2,-1,1
1511885104926803,-3,1,-9,5,2,-4,-3,-3
1511885104932818,-3,-3,11,-16,-5,-5,0,-4
1511885104932818,1,1,-7,-1,1,-1,1,-2
1511885104941045,-3,-2,-4,5,-6,0,-1,1
1511885104941045,-2,-1,5,4,7,3,-4,2
1511885104956007,-3,-1,0,-15,-2,-3,-2,-2
1511885104956007,3,-2,0,6,-2,-2,-7,-1
1511885104962901,1,0,-9,-9,-5,-1,2,-1
1511885104962901,0,-1,3,4,-1,1,0,1
1511885104972926,0,-2,-3,-2,-2,-2,0,1
1511885104972926,-3,-2,3,1,4,2,-3,0
1511885104986972,0,-5,-5,1,-2,-4,-1,-4
1511885104986972,0,2,1,-1,-3,0,-2,-2
1511885104992997,0,0,-2,10,0,2,-2,0
1511885104992997,-1,-2,0,-1,0,0,3,-1
1511885105000999,-2,-2,4,-4,-1,-3,0,0
1511885105000999,-4,-1,-10,-4,2,0,-2,-3
1511885105016080,-2,0,6,5,-1,0,0,0
1511885105016080,-5,-1,-8,5,0,-1,1,-2
1511885105023287,1,2,-2,-6,-3,0,-1,-1
1511885105023287,1,0,7,3,-5,0,-4,-1
1511885105032114,-2,-4,-6,3,-3,0,-2,-3
1511885105032114,4,0,11,-10,1,3,12,-2
1511885105046335,-1,-3,-3,8,0,0,-1,-2
1511885105046335,-4,-1,1,7,1,-1,-1,-2
1511885105053169,3,-2,-1,-4,2,1,2,0
1511885105053169,-1,2,-4,-5,4,-2,-1,-1
1511885105061351,-3,1,1,-8,0,4,-3,-1
1511885105061351,1,1,0,2,0,-3,3,1
1511885105075639,-2,1,2,3,-1,1,-1,-1
1511885105075639,-1,-1,-10,0,-2,-5,-3,-3
1511885105083640,0,-3,3,-2,1,-3,0,2
1511885105083640,-5,4,-3,0,-4,0,-5,0
1511885105092493,2,-2,-4,0,-1,-3,1,3
1511885105092493,-3,0,2,7,0,-2,-1,-3
1511885105106616,3,-1,7,-1,0,-1,1,-3
1511885105106616,-2,2,-2,-8,-1,-2,3,2
1511885105113549,-1,-2,-20,1,-1,-3,1,-4
1511885105113549,-3,-3,17,7,-3,0,-1,-2
1511885105120570,5,1,0,-1,-1,0,6,-2
1511885105120570,-3,-7,-2,-6,3,1,0,0
1511885105135650,5,1,5,6,-3,4,-2,4
1511885105135650,-11,0,1,0,1,-1,-5,1
