timestamp,x,y,z
1511885103906783,-2.375,3.4375,-2.3125
1511885103929064,-1.1875,5.5625,-2.375
1511885103943000,0.1875,8.6875,-2.0625
1511885103967206,0.5,11.75,-2
1511885103988523,3.125,14.5,-0.375
1511885104012577,6.3125,20.1875,2.0625
1511885104042615,8.875,30.1875,9.9375
1511885104052641,23.4375,44,14.6875
1511885104072819,34.3125,58.8125,16.6875
1511885104087026,45.375,71.9375,20.1875
1511885104109240,62.9375,84.25,24.75
1511885104133306,83.9375,96.0625,28.5
1511885104171594,101.688,106.813,31.5
1511885104172409,113.813,114.813,36.125
1511885104191662,114.5,119.875,41.6875
1511885104205659,116.375,125.813,49.375
1511885104228721,118.188,131.688,56.6875
1511885104251743,119.125,135.813,63.75
1511885104265979,118.563,138.188,68.0625
1511885104289047,116.313,142,71.25
1511885104311287,110.625,146.125,74.3125
1511885104326143,101.438,149.375,75.8125
1511885104348343,91.5,151.625,75.8125
1511885104371407,76.6875,153.063,74.9375
1511885104385466,60.75,151.875,73.5
1511885104408688,49.9375,148.563,72
1511885104431706,41.9375,141.563,70.625
1511885104445898,34,131,68.5625
1511885104467901,32.75,117.875,63.375
1511885104491967,35.0625,105.5,56.3125
1511885104506208,34.75,91.75,50.125
1511885104536170,33.25,79.9375,45.0625
1511885104551210,29.8125,69.8125,39.6875
1511885104565373,25.3125,62.4375,35.125
1511885104588518,18.1875,55.75,31.375
1511885104611578,9.5,52.25,28.25
1511885104625825,4.4375,48.8125,25.3125
1511885104648692,5.125,45.125,17.625
1511885104671920,1.75,44.4375,9.4375
1511885104687102,-6.25,38.4375,2.625
1511885104708336,-20.625,30.875,-2.4375
1511885104731382,-33.25,17.0625,-3.9375
1511885104747295,-36.75,-8.125,-1.375
1511885104768356,-14.375,-47.8125,0.0625
1511885104791445,14.1875,-87.625,-4.5625
1511885104807496,37.1875,-124.563,-7.5
1511885104828720,51.3125,-159.375,4.5625
1511885104851605,65.0625,-185.563,31.375
1511885104867645,88.6875,-198.875,60.75
1511885104888700,104.813,-200.125,87.75
1511885104911966,107,-189.688,111.75
1511885104926803,98.8125,-171.875,131.375
1511885104947861,89.25,-147.063,147.375
1511885104971926,52.625,-117,153.938
1511885104986972,6.25,-82,148.875
1511885105008241,-38.5,-44.9375,132.875
1511885105031112,-68.625,-12.9375,107.25
1511885105047154,-84.25,9.4375,82
1511885105068430,-85.5625,18.5625,57.75
1511885105091489,-76.25,21.875,29.1875
1511885105107532,-53.375,24.1875,-0.6875
1511885105128720,-28.5,22.6875,-27.5625
1511885105150745,-11.25,12.375,-53.875
1511885105166924,-6.875,-0.5625,-83.9375
1511885105188275,-10.3125,-7.375,-113.063
1511885105211255,-14.5,-13,-137.438
1511885105227214,-21.9375,-19.375,-156.75
1511885105248409,-21.125,-21.125,-174.063
1511885105270490,-3.625,-13,-190.875
1511885105287513,14.3125,-5,-203.875
1511885105308826,18.0625,-2.9375,-207.625
1511885105330913,20.625,-1.5625,-205.375
1511885105346978,16.875,4.3125,-196.938
1511885105368008,10.375,18.125,-184.625
