timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1511883495607431,-3,-3,-2,-1,-1,-3,-3,0
1511883495607431,0,-1,-2,-1,1,-3,-1,-4
1511883495607932,2,-3,-3,-1,1,-1,1,-3
1511883495607932,-3,0,0,0,0,1,-1,-1
1511883495623062,0,0,-1,0,-1,-3,0,-1
1511883495623062,-1,-4,-4,-1,-2,-1,-2,-2
1511883495629078,-3,2,1,0,0,1,-1,0
1511883495629078,3,1,1,2,-3,-5,-2,0
1511883495644119,-2,-2,0,0,-2,1,-1,-2
1511883495644119,0,-1,-2,1,-3,0,0,0
1511883495651170,2,-1,0,0,-1,-2,-1,-1
1511883495651170,-4,-3,1,0,1,-2,3,2
1511883495667180,-1,1,0,2,2,1,0,3
1511883495667180,0,-3,-3,4,2,-1,2,1
1511883495668183,-2,0,0,4,-1,0,-1,-1
1511883495668183,-1,2,-1,3,-3,1,-1,-2
1511883495683223,-2,-3,-2,4,1,0,-1,-5
1511883495683223,4,3,2,6,1,0,-1,2
1511883495689244,-1,-5,-2,1,-1,-2,1,1
1511883495689244,0,1,-1,4,0,-3,1,-1
1511883495705988,-4,-3,-3,3,-3,0,0,-2
1511883495705988,1,2,1,1,-6,2,-1,-2
1511883495711214,-1,0,2,0,-1,0,-1,-4
1511883495711214,-1,-1,-4,-1,1,-1,-1,0
1511883495727262,-1,2,0,0,-1,-1,-1,0
1511883495727262,-1,0,-3,-1,-1,-3,-1,-2
1511883495728147,0,-1,1,-2,-2,0,-2,-2
1511883495728147,-3,-2,-1,-3,-1,-3,1,-1
1511883495743190,-1,0,0,-3,1,-3,1,1
1511883495743190,-2,-2,3,-2,-1,-1,0,-3
1511883495749204,-3,-3,-1,-2,-1,-1,0,-4
1511883495749204,-2,-2,-2,-3,0,3,-2,-1
1511883495764427,4,4,-2,-4,-2,1,-1,0
1511883495764427,-4,-4,-3,-2,-2,-1,-1,-1
1511883495771262,0,-1,-4,-3,2,0,0,2
1511883495771262,2,1,-2,-3,-2,0,0,-2
1511883495787304,0,-5,-2,-1,-1,-3,-2,-1
1511883495787304,1,0,2,-3,2,-2,0,1
1511883495788309,-2,1,1,-2,-4,-1,-1,-2
1511883495788309,-2,0,4,-2,1,-1,-3,0
1511883495803453,3,1,0,-1,1,0,2,5
1511883495803453,1,0,0,-2,2,1,0,-3
1511883495809371,-4,-3,-1,-3,-2,-2,-2,3
1511883495809371,-1,-1,-1,-1,-3,-1,0,-1
1511883495824098,3,3,-1,-1,-3,0,-1,-2
1511883495824098,1,-4,-4,-2,-2,-3,-2,-1
1511883495830998,-4,3,-1,-2,-1,-2,1,1
1511883495830998,1,-2,-2,-1,0,-1,1,-4
1511883495847041,-2,0,0,0,3,-1,-1,-5
1511883495847041,-4,-4,-2,3,3,-1,1,0
1511883495848044,-1,0,0,7,0,-1,0,0
1511883495848044,0,2,1,6,-3,-2,-4,3
1511883495863083,-5,-5,0,5,-3,0,0,2
1511883495863083,5,6,2,5,-3,0,-1,2
1511883495869102,-1,-3,-2,2,-1,1,-1,-5
1511883495869102,1,-1,-4,1,3,2,-1,-2
1511883495884257,-3,-3,-2,-2,1,-3,0,-4
1511883495884257,-2,-3,0,-4,1,2,-3,1
1511883495891210,6,3,-2,-4,-2,1,0,6
1511883495891210,3,1,-1,-1,-3,-2,-1,-1
1511883495907309,-4,-3,-1,-1,-3,-1,-1,0
1511883495907309,-1,2,1,-3,-3,-1,1,-5
1511883495908312,0,-3,-2,-5,-1,2,-2,-2
1511883495908312,1,-1,1,-4,1,1,0,-1
1511883495922961,-4,-3,-1,-3,1,2,-2,1
1511883495922961,1,-2,-2,-4,0,-2,-1,0
1511883495929004,0,1,2,-3,2,-3,0,-1
1511883495929004,1,-1,-1,-1,1,-2,-3,1
1511883495944016,-1,-2,0,-2,-2,-1,-1,-3
1511883495944016,-2,-3,-3,-2,-3,1,0,-2
1511883495951035,-3,0,-1,-2,0,1,-1,-3
1511883495951035,0,0,0,-4,1,-2,-1,1
1511883495967105,4,3,-1,-1,-2,0,2,-1
1511883495967105,3,1,-1,-1,-2,0,1,1
1511883495968081,2,0,1,0,0,0,1,2
1511883495968081,-7,-6,0,-2,-1,0,-3,1
1511883495983120,0,-2,-1,-5,0,-4,-2,-1
1511883495983120,-4,-3,-2,-9,0,-1,-3,-3
1511883495989137,-1,-2,-2,-5,-1,-4,-1,-1
1511883495989137,2,-1,0,-3,0,1,1,-1
1511883496004203,2,2,0,-3,-1,0,0,2
1511883496004203,-4,-2,1,0,0,2,3,-1
1511883496011224,4,1,-4,-2,0,-3,-2,-3
1511883496011224,-2,-2,-2,-2,2,1,0,-1
1511883496027294,2,0,0,-2,2,-3,-2,-3
1511883496027294,3,3,-2,-3,0,-2,-3,1
1511883496028270,-4,-4,-2,-2,-2,0,-1,-1
1511883496028270,-3,0,-6,-1,-2,2,1,-4
1511883496043310,5,1,0,-1,-1,3,0,1
1511883496043310,-2,-1,-3,-1,2,-1,-2,2
1511883496049326,0,1,0,0,-1,1,-1,-3
1511883496049326,-3,-4,-1,-1,0,1,1,-3
1511883496064366,-5,-3,2,1,-2,-1,-2,-3
1511883496064366,-2,-1,1,1,-2,-2,0,-1
1511883496071386,-2,0,-1,-1,2,1,-1,1
1511883496071386,1,1,1,-2,-4,0,-1,3
1511883496087427,-1,-2,-1,-4,0,-1,-1,2
1511883496087427,-4,-2,1,-3,-1,-2,-2,-1
1511883496087427,-1,-1,0,-2,1,-3,-1,2
1511883496087427,7,7,3,-4,0,1,1,1
1511883496102970,-2,-3,0,-2,0,-2,-1,-2
1511883496102970,4,4,1,-6,-2,-2,1,-3
1511883496108987,0,-2,2,-4,0,2,2,2
1511883496108987,-2,-2,2,-3,0,-2,-2,-1
1511883496123553,-2,1,0,-1,0,0,0,-2
1511883496123553,0,-2,-3,-2,0,2,-1,-3
1511883496131579,-1,-1,-1,0,-2,-2,-1,1
1511883496131579,-1,1,0,-2,2,-1,-2,-1
1511883496146615,-3,0,-2,-1,-1,2,2,1
1511883496146615,-3,-3,-2,4,0,0,-2,-1
1511883496147590,0,-3,0,1,-4,-2,-2,-2
1511883496147590,2,2,1,2,-1,-2,0,0
1511883496162630,0,-2,-2,0,1,-2,-3,0
1511883496162630,2,-2,0,3,2,0,1,-1
1511883496168648,0,0,-2,1,-1,1,-2,-3
1511883496168648,-3,-7,-2,2,-3,-2,-2,-3
1511883496183686,0,2,1,4,-1,-3,0,2
1511883496183686,2,1,1,2,-3,-1,0,1
1511883496191708,-1,-3,-1,3,-2,1,-1,-4
1511883496191708,-4,-3,-3,5,0,-2,-2,-1
1511883496207305,-2,-1,-1,6,-2,-2,-1,-2
1511883496207305,0,1,0,6,-1,-2,-2,-1
1511883496208282,3,3,3,3,1,-2,-2,-3
1511883496208282,-3,-1,-1,-3,0,0,-1,-2
1511883496222822,1,-1,0,-1,-1,1,2,1
1511883496222822,1,2,1,-2,1,0,-3,1
1511883496228837,-1,-4,-3,-6,0,1,1,1
1511883496228837,0,4,2,-2,1,0,-1,-1
1511883496243877,0,2,-1,-3,1,0,1,-3
1511883496243877,-1,-3,-3,-6,-1,0,0,-3
1511883496259920,-1,1,3,-4,2,-4,-3,0
1511883496259920,0,1,0,-5,0,-3,-2,1
1511883496265935,0,-1,1,-8,-6,0,-3,-2
1511883496265935,-3,0,-1,-5,-1,-1,0,4
1511883496273985,-1,-3,-2,-3,-2,2,-1,-1
1511883496273985,0,-3,-1,-5,1,-2,0,0
1511883496282981,-3,-3,-2,-4,1,-1,-1,-3
1511883496282981,-3,-1,0,-5,0,-1,-1,-1
1511883496288997,1,1,-1,-6,-2,-2,-1,0
1511883496288997,-1,-2,0,-5,-4,-1,-1,-1
1511883496304067,0,-2,-2,-8,-1,1,0,2
1511883496304067,1,1,-1,-7,0,0,0,1
1511883496311087,0,4,-1,-5,-1,2,0,-3
1511883496311087,2,0,-2,1,-1,-1,0,0
1511883496327129,-3,-2,1,-2,-2,0,-1,-2
1511883496327129,2,3,1,2,1,-1,-1,2
1511883496328132,-3,-2,0,0,-1,0,-2,1
1511883496328132,0,-1,-1,1,-1,-2,1,-2
1511883496343172,-1,-2,-1,2,0,-1,-2,-3
1511883496343172,1,1,1,3,-2,-1,0,0
1511883496349189,-4,-4,-3,4,2,-5,1,-4
1511883496349189,21,0,0,1,-1,1,0,-1
1511883496364229,7,-1,-1,3,-2,-1,-2,-4
1511883496364229,-5,-4,-1,2,-1,-2,-1,-2
1511883496371248,-6,1,3,2,-1,-2,-2,2
1511883496371248,-14,-3,-3,3,-2,3,0,0
1511883496387289,-6,0,-1,-1,-1,-3,1,2
1511883496387289,3,2,-1,2,-2,3,-2,1
1511883496388292,-5,-3,-6,2,-1,2,1,-1
1511883496388292,0,2,1,0,3,1,-2,1
1511883496403333,-3,-2,-1,2,4,0,-3,-1
1511883496403333,-8,-7,-2,-1,0,-1,1,-2
1511883496409350,1,-2,1,0,-1,-2,0,2
1511883496409350,-1,3,3,2,-1,1,1,-2
1511883496423438,-4,-1,-2,3,-3,0,1,-1
1511883496423438,1,0,-1,-2,1,-2,-2,-3
1511883496431436,4,4,0,1,-2,0,0,1
1511883496431436,-3,-4,-1,-2,-2,0,-2,1
1511883496446476,-4,-3,3,0,0,-1,-1,1
1511883496446476,1,0,-1,0,-2,0,0,-4
1511883496453520,-3,-2,-3,2,-2,-1,1,1
1511883496453520,2,2,0,2,1,-2,1,0
1511883496462519,3,-1,1,1,0,2,0,0
1511883496462519,-1,-3,0,-1,0,-3,0,-1
1511883496468536,-1,-2,-1,-2,0,0,-2,0
1511883496468536,-6,-3,-3,-1,-4,-1,-1,0
1511883496483575,0,0,-3,0,2,-3,-3,-2
1511883496483575,-3,0,-3,1,2,2,1,2
1511883496491596,-1,0,1,0,4,1,-1,-2
1511883496491596,-4,3,0,1,7,-2,-2,-3
1511883496506638,0,0,-1,0,6,-1,3,0
1511883496506638,-2,0,0,0,8,1,0,1
1511883496513658,-1,0,-1,0,8,-2,-2,0
1511883496513658,4,5,2,-2,5,1,1,2
1511883496522682,3,2,1,-3,5,0,-2,-1
1511883496522682,-1,0,0,-3,0,-4,-2,-4
1511883496536719,3,0,-3,-2,-1,1,-2,0
1511883496536719,4,-2,-2,-3,-1,-3,-1,-1
1511883496543738,-1,2,-1,0,-5,-2,-3,0
1511883496543738,5,3,2,2,-4,0,2,4
1511883496551759,-5,-3,2,-1,-3,-2,2,-4
1511883496551759,-4,-2,-1,0,-5,-2,-2,-2
1511883496566799,-1,-1,-3,0,-2,-2,0,0
1511883496566799,-1,-2,-1,0,-1,0,-2,1
1511883496573819,0,-2,-1,2,-4,1,-1,-1
1511883496573819,-2,-2,0,0,-2,0,0,1
1511883496582842,5,2,4,1,-1,-3,-4,-1
1511883496582842,-5,-2,-2,-1,-1,-3,1,-3
1511883496588858,-3,0,-2,0,-2,0,-1,-4
1511883496588858,0,1,-1,3,-4,-2,-1,0
1511883496603958,-3,-4,-1,0,-6,0,0,-3
1511883496603958,5,0,1,1,-2,4,0,-2
1511883496611479,-1,-1,0,-2,-3,-2,-2,2
1511883496611479,-1,-1,-1,-2,0,-1,2,-1
1511883496626876,1,-3,-4,-1,-1,-2,1,2
1511883496626876,-6,-2,-4,-1,-3,2,-1,-4
1511883496633895,5,2,2,0,-2,1,0,0
1511883496633895,-7,-4,0,0,-1,-1,-1,-2
1511883496649937,0,1,-1,-2,1,1,0,0
1511883496649937,1,0,0,-1,0,-1,1,-2
1511883496649937,-2,-1,0,-3,-2,-4,1,1
1511883496649937,4,4,3,-1,-4,0,-2,0
1511883496663974,0,-1,-1,-1,-3,4,-1,0
1511883496663974,1,-1,-4,-2,-3,-1,-2,1
1511883496670993,1,1,-2,0,-3,-1,1,2
1511883496670993,-5,-1,-4,7,-1,-2,1,-2
1511883496686161,-5,-3,2,4,1,-1,0,-2
1511883496686161,2,-3,1,3,-1,-2,-4,0
1511883496694182,0,-2,0,-2,-1,-1,-2,-1
1511883496694182,-5,-5,-3,-6,-2,-1,-1,-1
1511883496709827,-3,2,2,-2,-3,1,-1,-3
1511883496709827,5,2,2,-1,1,0,0,2
1511883496710833,0,-1,0,-2,-2,-1,2,-2
1511883496710833,-7,-6,-2,-1,0,-2,-5,-1
1511883496723954,3,5,2,3,-1,-1,4,0
1511883496723954,-6,-2,0,1,-2,-2,2,-2
1511883496731972,-2,-1,-2,4,0,0,2,-1
1511883496731972,2,1,0,2,1,0,0,-1
1511883496746118,0,-3,-3,-2,-2,-1,-2,0
1511883496746118,-2,-4,-1,-1,1,3,-3,0
1511883496762159,1,2,-1,-3,-2,-1,-2,-1
1511883496762159,-1,-1,-2,-3,-1,0,1,-1
1511883496770072,-7,-4,-4,-2,-1,-1,-6,0
1511883496770072,3,4,-1,-3,0,-1,1,-1
1511883496770072,-6,-5,-3,-4,-1,-2,-1,-3
1511883496770072,5,8,3,-3,-3,-1,3,2
1511883496784183,0,-3,-1,-1,0,0,-1,-3
1511883496784183,-4,-4,-3,1,-1,-2,2,0
1511883496791231,-3,-2,-1,0,-1,0,-3,-1
1511883496791231,1,2,-1,1,0,-1,-1,-5
1511883496814901,-4,-3,-3,3,-1,-2,-1,1
1511883496814901,-7,-2,0,-3,0,0,0,3
1511883496815900,7,-1,2,1,2,2,0,1
1511883496815900,-2,-5,-2,-1,0,1,0,0
1511883496829938,6,4,1,1,-2,0,1,5
1511883496829938,-2,-2,1,-1,0,-6,-2,-3
1511883496829938,0,2,-2,0,1,0,1,2
1511883496829938,-4,-4,-2,0,0,-1,-2,3
1511883496844164,0,0,-3,-1,-2,-3,-5,1
1511883496844164,-1,-2,-2,0,-2,1,-2,-3
1511883496851021,4,4,1,1,-1,0,-1,-2
1511883496851021,0,-1,-1,-2,-1,-2,-2,0
1511883496866041,-1,-3,-1,-1,0,0,4,1
1511883496866041,-4,-3,-3,-1,-2,-4,-2,1
1511883496874090,0,-2,2,0,-1,-3,-2,-3
1511883496874090,-3,-5,1,0,0,1,0,0
1511883496890096,2,4,1,-1,2,1,1,0
1511883496890096,-1,1,2,0,-3,-2,-4,-1
1511883496890096,-2,-2,-1,-1,-2,-3,-3,-2
1511883496890096,0,-2,2,-1,0,-4,-2,-2
1511883496904252,2,-2,1,-1,-2,-2,1,-3
1511883496904252,-1,1,-2,1,2,2,6,2
1511883496911772,-8,-3,-1,0,3,-2,-2,-1
1511883496911772,7,5,0,1,0,2,4,1
1511883496925965,-4,-2,0,0,2,-2,-2,-5
1511883496925965,4,2,-2,0,1,-2,-4,0
1511883496934009,-3,-1,-3,-1,-1,-1,1,2
1511883496934009,-4,-4,-3,-1,-1,1,0,0
1511883496950025,-2,-3,-2,0,-2,-4,-2,0
1511883496950025,1,-1,1,1,-2,-3,-4,-4
1511883496950025,-2,0,1,-2,-3,1,-2,0
1511883496950025,-5,-3,-2,-2,-2,1,2,-3
1511883496964063,0,-1,-1,-1,-1,1,-7,-2
1511883496964063,-2,-1,0,1,-3,0,1,-2
1511883496971081,2,-2,-4,0,2,-1,1,1
1511883496971081,0,0,-1,4,0,-1,1,-2
1511883496986123,3,5,3,2,1,1,3,2
1511883496986123,-4,-5,-2,1,1,0,-2,1
1511883496994142,1,2,1,-2,1,-1,-2,-1
1511883496994142,0,-3,-3,-1,-1,-2,-1,-1
1511883497009687,-5,-4,0,-1,0,1,-2,-5
1511883497009687,0,3,0,-2,-2,0,-2,1
1511883497010690,0,0,-1,1,-2,0,3,0
1511883497010690,1,0,0,0,0,-1,-4,0
1511883497025746,-3,-3,-4,0,-2,-3,1,0
1511883497025746,2,-2,-1,-2,0,0,-1,1
1511883497031762,-5,-7,-3,-4,-1,1,1,0
1511883497031762,12,13,5,-1,-2,3,1,5
1511883497046812,-3,1,1,-1,-1,0,2,1
1511883497046812,1,-3,-1,0,-1,2,6,-1
1511883497053820,-8,-4,-3,4,2,-3,-1,-4
1511883497053820,2,-2,0,-2,-2,0,-1,-1
1511883497069863,-3,0,-1,-4,0,-3,-6,-3
1511883497069863,-2,-8,0,0,2,3,4,1
1511883497069863,5,2,2,2,-2,-2,-2,0
1511883497069863,-3,0,1,-2,-3,-3,4,2
1511883497093928,0,-3,-1,-1,0,5,3,0
1511883497093928,-1,2,-3,-4,-1,-8,-8,-3
1511883497093928,-1,-5,-2,-3,-3,5,1,-1
1511883497093928,0,0,1,0,-1,-4,-3,-2
1511883497106518,0,-3,-5,-2,-1,0,-2,1
1511883497106518,-4,-1,-1,-1,0,-1,-2,-2
1511883497113616,7,4,1,-1,-2,-3,0,1
1511883497113616,-7,-3,-1,0,0,1,0,-1
1511883497129662,2,2,0,-4,-9,3,2,5
1511883497129662,-3,-4,0,0,6,0,9,-2
1511883497130656,-3,-6,-6,-3,-6,-4,-18,-4
1511883497130656,-1,3,-4,0,1,-1,-2,-2
1511883497145680,0,2,0,1,4,2,2,1
1511883497145680,2,3,2,-3,-3,-3,-2,-1
1511883497151694,-4,-3,-1,-1,2,4,1,-2
1511883497151694,2,5,3,-1,0,-1,-3,-2
1511883497166734,-7,-8,-4,-3,-2,-2,-5,-2
1511883497166734,7,7,1,0,0,2,0,4
1511883497173752,0,7,1,-1,4,-4,2,0
1511883497173752,-1,-5,-4,-5,-2,-2,-9,-4
1511883497189796,6,4,3,1,0,0,4,-1
1511883497189796,-6,-6,-4,-3,-2,-5,-1,0
1511883497190805,-2,-4,-3,0,2,7,4,-1
1511883497190805,-10,-6,0,-1,-2,-3,-2,-3
