timestamp,x,y,z
1511883500657470,-7.875,2.5,3.5
1511883500667497,-5.625,2.625,3.6875
1511883500687549,-3.25,2.75,3.875
1511883500709122,-2.4375,2.6875,3.3125
1511883500754364,-1.125,2.1875,2.6875
1511883500755358,0.875,1.5,2.9375
1511883500768317,1.6875,1.125,2.4375
1511883500791404,0.6875,0.5,1.9375
1511883500807423,2.375,-0.75,2.5
1511883500828700,3.875,-0.9375,1.8125
1511883500844606,2.625,-1.125,0.375
1511883500868635,3.5,-2.1875,0.8125
1511883500888747,6.0625,-1.8125,0.375
1511883500905236,8.5,0.1875,-0.1875
1511883500927013,11.5,1.9375,-0.9375
1511883500947982,13.8125,4.5,-2.1875
1511883500965029,13.25,10.1875,-5.5625
1511883500987087,17.75,21.9375,-11.875
1511883501008720,28.25,30.25,-18.375
1511883501025228,38.5625,34.5625,-29.25
1511883501047286,49.625,39.75,-41.125
1511883501068342,63.5,46.875,-51.1875
1511883501084411,90.9375,57.5,-62.5625
1511883501107489,111.563,64.1875,-78.125
1511883501128572,116.875,59.75,-95.4375
1511883501144589,129.875,49.25,-112.438
1511883501166674,139.5,36.3125,-128.688
1511883501188705,138.375,16.5625,-144.875
1511883501204805,142.875,-0.375,-158
1511883501227550,155.688,-20.25,-165
1511883501248609,171.188,-41.3125,-168.688
1511883501264623,182,-64.6875,-165.563
1511883501286710,182.5,-87.6875,-156.75
1511883501309771,174.375,-104.25,-143.438
1511883501324812,165.375,-116.938,-123.563
1511883501347874,160.188,-129.5,-102.375
1511883501369933,155.625,-142,-80.1875
1511883501385000,152.75,-149.938,-56
1511883501407558,155.25,-152.688,-31.1875
1511883501429643,156.25,-150.313,-5.5
1511883501444682,139.25,-147.5,21.375
1511883501466768,124.5,-141.813,39.4375
1511883501489802,101.938,-129.5,51.625
1511883501504897,82.9375,-120,60.625
1511883501527493,69.125,-110.625,67.8125
1511883501549553,53.3125,-98.125,76.3125
1511883501565622,41.5625,-82.625,83.1875
1511883501587654,31.0625,-67.1875,86.9375
1511883501609744,23.5625,-52.9375,89.4375
1511883501631854,23.125,-38.9375,96.8125
1511883501646868,23.5,-24.1875,104.625
1511883501668927,16.875,-6.875,111
1511883501682963,7.25,11,117.688
1511883501706638,1.5625,25.875,123.625
1511883501729358,3.1875,37.6875,126.5
1511883501743398,-4.8125,46.3125,126.813
1511883501766367,-24.5625,55.125,131
1511883501789510,-28.1875,67.4375,139.063
1511883501803436,-21.875,79.25,141.188
1511883501826162,-24.625,89.625,138.625
1511883501849062,-31.5,96.6875,144.438
1511883501863280,-39.6875,102.438,142.688
1511883501886160,-55.0625,109.813,127.375
1511883501909246,-68.8125,119.75,114.375
1511883501923290,-70.5,119.625,108.25
1511883501945321,-59.0625,116.688,99
1511883501969385,-48.3125,121.5,86.0625
1511883501983422,-45.4375,123,77.6875
1511883502005982,-47.8125,123.375,72.8125
1511883502028577,-55.125,123.063,67.3125
1511883502043585,-66.875,123.25,62.8125
1511883502065670,-67.25,127.5,62.4375
1511883502088704,-56.375,130.313,61.625
1511883502103248,-40,122.625,50
1511883502125809,-41.8125,112.938,33.8125
1511883502147868,-54.875,109.938,27.6875
1511883502162934,-34.0625,110.875,23.125
1511883502185995,-13.8125,103.813,8.125
1511883502209085,-17.5,87.25,-4.5625
1511883502223643,-24.5625,72.1875,-5.875
1511883502245708,-31.4375,61.6875,-10.1875
1511883502268769,-30.625,58.1875,-21.4375
1511883502282780,-28.375,50.5625,-27.625
1511883502305899,-23,39.0625,-27.0625
1511883502329457,-15.0625,26.625,-27.625
1511883502343494,-12.3125,14.875,-27.625
1511883502365526,-16.8125,7.625,-22.4375
1511883502388616,-10.9375,7.9375,-16.5625
1511883502403689,-8,8.9375,-11.6875
1511883502425735,-14.0625,4.9375,-6.9375
1511883502447824,-12,1.5625,-3.5625
1511883502471884,-4.125,-0.0625,-0.5
1511883502485922,-0.5625,1.125,0.1875
1511883502508961,-1.6875,0,0.0625
1511883502523028,-1.9375,-3.1875,-0.8125
1511883502546061,-2.9375,-4.625,-0.9375
1511883502569145,-4.1875,-4.625,-0.5
1511883502583159,-3.75,-3.6875,0.125
1511883502605750,-2.375,-4,0.5625
1511883502628878,-1.875,-4.875,0.875
1511883502642889,-3.0625,-4.9375,2.8125
1511883502665976,-2.75,-3.75,3.875
1511883502688041,-2.6875,-2.9375,2.625
1511883502703559,-1.875,-3,2.375
1511883502726295,0.6875,-2.8125,2.6875
1511883502748209,1,-2.625,2.625
1511883502763424,0.5625,-2.625,2.9375
1511883502786346,1.25,-2.75,2.4375
1511883502808377,-1.1875,-2.25,1.875
1511883502823687,-2.6875,-1.6875,1.8125
1511883502845727,-0.8125,-1.25,1.1875
1511883502868619,2.125,-1.1875,0.9375
1511883502891679,4.5,-1.1875,-0.375
1511883502906222,3.5625,-1.4375,-0.375
1511883502928871,-0.375,-2.3125,0.375
1511883502942906,-1.1875,-2,1.5625
1511883502965940,0.9375,-1.875,1.8125
1511883502988026,0.125,-1.75,1
1511883503011611,0.4375,-1.4375,0.125
1511883503026151,1.375,-1.6875,-0.1875
1511883503048233,1.375,-1.6875,0.375
1511883503071270,1.3125,-1.5,0.0625
1511883503085308,0.0625,-1.5,-0.625
1511883503108394,-2,-1.875,-0.375
1511883503131460,-0.1875,-2.25,0.4375
1511883503145496,0.5625,-2.5,1.125
1511883503168584,-2.625,-2.75,1.25
1511883503191649,-4.125,-3.0625,2.5
1511883503206159,-2.8125,-3.1875,3.875
1511883503227741,-1.1875,-2.625,4
1511883503251806,-2.5,-2.1875,3.25
1511883503265843,-2.5,-1.0625,2.8125
1511883503287902,-1.125,-0.0625,3.1875
1511883503311465,0,0.8125,2.6875
1511883503325768,1,1.5,1.6875
1511883503347855,1.0625,2.0625,1.1875
1511883503371892,2.375,3.0625,0.5
1511883503385929,2.75,3.75,0.25
1511883503408489,3.8125,5,-0.25
1511883503431078,6.375,7.75,-1.0625
1511883503446143,7.9375,10.6875,-2.25
1511883503468200,6.9375,15.625,-5.375
1511883503491264,8.375,23,-11.9375
1511883503505804,16.4375,32.4375,-19.6875
1511883503528429,23.75,40.625,-29.375
1511883503551462,35.25,46.25,-41.5625
1511883503567535,53.9375,52.875,-53.25
1511883503588560,77.1875,58.375,-64.125
1511883503611677,90.0625,58.9375,-80.25
1511883503625742,94.375,52.5,-99.5
1511883503647775,96.375,38.3125,-116.375
1511883503670836,101.375,24.8125,-132.25
1511883503685876,108.625,11.5625,-150.625
1511883503708483,108.25,-5.125,-164.375
1511883503731105,124.813,-22.75,-172.063
1511883503746268,141.625,-44.6875,-174.5
1511883503768314,150.313,-62.625,-171.063
1511883503791346,152.938,-76.75,-161
1511883503805809,147.625,-89.9375,-146.563
1511883503827869,147.688,-99,-129.125
1511883503850927,150.938,-106.063,-113.813
1511883503865971,153.563,-115.5,-98.1875
1511883503888149,158.813,-122.125,-73.875
1511883503911096,167.125,-122.375,-48.4375
1511883503925877,164.625,-119.375,-23.25
1511883503947766,153.875,-118.313,1.9375
1511883503970827,143.5,-115.563,21.3125
1511883503985893,137.188,-109.813,36.75
1511883504008429,124.063,-103.563,50.8125
1511883504030510,108.75,-99.3125,62.75
1511883504045548,93.3125,-93.8125,69.375
1511883504068610,76.9375,-88.75,74.6875
1511883504090696,54.5,-81.875,81.875
1511883504106214,34.375,-74.1875,87.125
1511883504128275,27.9375,-65.375,87.375
1511883504150334,22.0625,-54.75,89.9375
1511883504165396,17.125,-43,94.875
1511883504188461,13.9375,-32.5,100.313
1511883504211025,1.375,-22.5,106.313
1511883504226122,-13.25,-10,113.375
1511883504248184,-16.375,3,116.938
1511883504271218,-26.25,16.125,118.875
1511883504285280,-31.4375,32.1875,123.563
1511883504308370,-29.1875,48.625,131.625
1511883504330456,-25.5,61.9375,134.438
1511883504345496,-35,73.9375,132.563
1511883504368551,-52.5,84.25,135.063
1511883504390589,-54.1875,95.625,135.625
1511883504407683,-61.5625,98.5625,129.5
1511883504427745,-80.5,101.75,122.5
1511883504450780,-80.3125,111.5,118.875
1511883504465820,-66.625,116.438,112.125
1511883504487879,-59.125,117.063,105.813
1511883504510942,-55.75,114.938,101.875
1511883504526987,-53.125,120.75,93.75
1511883504548044,-60.75,128.625,93.125
1511883504571105,-59.1875,135.438,94.875
1511883504587148,-54.25,133.25,87.9375
1511883504608706,-65.3125,124.063,77.75
1511883504630267,-65.1875,118.375,75.5625
1511883504647312,-61.8125,118.688,72.875
1511883504668368,-60.125,116.938,59.3125
1511883504690551,-49.625,111.313,44.3125
1511883504713489,-47.5625,98.75,35.875
1511883504728576,-46.4375,86.5625,22.5
1511883504750637,-46.375,78.9375,9.3125
1511883504773700,-41.5625,79.5625,-0.4375
1511883504788722,-21.3125,76.4375,-7.5625
1511883504810841,-1.25,61.875,-17.0625
1511883504833405,-0.25,43.25,-22.9375
1511883504848426,-4.875,26.0625,-26.1875
1511883504870498,-8.6875,13.6875,-22.1875
1511883504893567,-12.625,7.625,-16.1875
1511883504908647,-12.4375,5.125,-11
1511883504930845,-5.5625,-1.875,-5.9375
1511883504954909,-3.25,-8.5,-4.5
1511883504967943,-2.9375,-11.0625,-1.375
1511883504991033,6.75,-8.6875,0.4375
1511883505007605,10.375,-5.875,1.4375
1511883505027702,8.625,-6.6875,2.3125
1511883505050737,11.6875,-9,1.5
1511883505066779,12.8125,-8.75,0.875
1511883505087835,5.5625,-4.875,2.625
1511883505110950,1.6875,-4.25,4.0625
1511883505126972,6.875,-5.8125,2.5
1511883505148042,4.375,-6.875,-0.125
1511883505171115,0.9375,-6.3125,-1.875
1511883505187131,1,-8.5625,-1
1511883505208702,-4.6875,-10.3125,1.625
1511883505230249,-7.5,-8.25,2.625
1511883505253339,-3.3125,-4.625,1.125
1511883505268377,0.0625,-1.9375,-1.5625
1511883505290437,5.9375,-1.125,-2.5625
1511883505313498,7.75,-2.625,-3.375
1511883505328536,9.8125,-1.9375,-3.25
1511883505350624,10.375,-1.875,-4.5
1511883505372680,7.625,-3.25,-5.25
1511883505388697,7.0625,-5.4375,-4.125
1511883505410786,4.8125,-7.4375,-2.375
1511883505432819,2.75,-7.125,1.375
1511883505449863,3.1875,-6.3125,6.3125
1511883505470947,7.8125,-4.9375,10.3125
1511883505493005,13.875,-2.3125,12.1875
1511883505510049,16,4.1875,14.75
1511883505531156,21.75,7.9375,23.8125
1511883505553189,24.875,14.4375,22.0625
1511883505569257,20.5,22.125,18.3125
1511883505590287,28.5,30.3125,17
1511883505613381,46.4375,45.25,8.0625
1511883505629421,48.8125,58.9375,-6.875
1511883505650478,48.6875,64.125,-26.6875
1511883505673538,75.8125,74.875,-60.375
1511883505689596,108.875,82.8125,-100.375
1511883505711296,130.75,76.8125,-134.25
1511883505732949,140.125,56.8125,-158.438
1511883505749994,145.75,33.3125,-182.688
1511883505771075,154.375,11.125,-201.813
1511883505793301,142.375,-12.25,-205.938
1511883505809849,130.125,-33.5,-201.875
1511883505830942,132.125,-55.6875,-199.188
1511883505853001,144.625,-76.0625,-190.5
1511883505870048,155.875,-91.5,-171.75
1511883505891213,154.313,-101.375,-151.813
1511883505913812,147.375,-110.188,-130
1511883505929868,140.813,-117.75,-109.688
1511883505950953,139.438,-125.625,-90.1875
1511883505973010,148.438,-132.188,-70.25
1511883505990057,150.75,-137.625,-44.75
1511883506011115,144.938,-141.188,-15.0625
1511883506033688,135.063,-141.188,7.3125
1511883506049719,131.375,-138.688,25.375
1511883506070802,108.75,-134.438,43.375
1511883506092864,76.375,-128.438,60.0625
1511883506109879,54.8125,-120.625,71.375
1511883506130991,47,-108.813,79.5
1511883506153060,34.1875,-94.125,85.625
1511883506170094,23.375,-79.5625,91.1875
1511883506191162,15.1875,-66.1875,100
1511883506213188,8.25,-54.5,109.125
1511883506229756,3.3125,-42.875,114.688
1511883506250835,-1.75,-28.1875,119.938
1511883506272870,-8.625,-11.875,131.063
1511883506289943,-11.375,5.25,142.75
1511883506310976,-10.9375,24.6875,149.813
1511883506333082,-11.0625,44.4375,155.813
1511883506350130,-24.1875,58.4375,166.5
1511883506371186,-41.6875,70.5,174.563
1511883506393218,-46.375,87.375,180.063
1511883506409773,-42.5,102.313,180.125
1511883506432374,-45.6875,112.438,172.875
1511883506453437,-50.9375,115.438,159.75
1511883506469448,-45.6875,121.188,137.938
1511883506492538,-41.875,125.625,128.063
1511883506514607,-41.375,130.125,121.813
1511883506529201,-47,135.375,113.188
1511883506552234,-48.4375,140.75,95.8125
1511883506573311,-49.875,142.75,88.4375
1511883506589334,-60.4375,139.063,88.4375
1511883506612396,-59.9375,132.25,79.0625
1511883506633139,-51.5625,127,61.0625
1511883506649183,-46,124.188,52.4375
1511883506672244,-44.75,123,52.5
1511883506693302,-30.125,119.125,36.375
1511883506709846,-28,107.125,12.625
1511883506732309,-23.875,94.125,4.75
1511883506753485,-17.8125,85,0.6875
1511883506769402,-11.875,76.0625,-16.25
1511883506792564,-16.375,61.8125,-32.9375
1511883506813534,-24,40.6875,-35.125
1511883506830242,-21.375,24.9375,-34.8125
1511883506852200,-6.125,19.5625,-38.4375
1511883506873260,-1.3125,13.75,-40
1511883506895347,9.5625,1.9375,-35.4375
1511883506912388,20.125,-7.5,-27.625
1511883506933459,12.5,-11.5,-20.5625
1511883506955519,2.875,-9,-14.875
1511883506972560,8.1875,-9,-8.3125
1511883506993616,8,-12.375,-2.75
1511883507015679,3.0625,-13.4375,2.3125
1511883507031723,-0.25,-9.1875,3.875
1511883507052799,4.0625,-4.5625,4.9375
1511883507069824,5.5625,-2.0625,6.3125
1511883507091883,1.6875,-1.625,6.5625
1511883507113471,0.875,0.25,7.0625
1511883507129523,-3.4375,-0.0625,7.4375
1511883507152583,-9.375,-1.75,7.75
1511883507172635,-11.0625,-3.1875,8.3125
1511883507189707,-12.1875,-6.8125,8.3125
1511883507212304,-13.375,-10.875,7.3125
1511883507233460,-15.9375,-12.5625,7.5
1511883507255496,-14.125,-11.4375,9.875
1511883507272568,-6,-8.8125,11.6875
1511883507293628,3.9375,-5.125,12.8125
1511883507316160,8.8125,-2.4375,13.3125
1511883507331727,11.5,-1.25,13.375
1511883507354788,14.6875,2.0625,13.0625
1511883507375870,15.875,6.125,12.8125
1511883507391901,15.25,11.1875,9.5625
1511883507414985,21.125,18.75,4.9375
1511883507435929,24.25,26.5625,-1.4375
1511883507451939,26.3125,34.5625,-10.4375
1511883507475000,40.1875,45.8125,-25.625
1511883507496056,59.25,59.3125,-38.9375
1511883507512604,73.0625,66.75,-56.8125
1511883507534189,93.9375,70.625,-74.6875
1511883507555257,112,72.0625,-91.375
1511883507572287,120,69.125,-110.75
1511883507594322,128.375,57.9375,-127.688
1511883507615924,132.063,37.0625,-142.438
1511883507632419,133.938,15.375,-157.313
1511883507654455,150.813,-2.1875,-168.25
1511883507675508,156.563,-31.125,-172.375
1511883507692580,156.563,-62.0625,-173
1511883507714746,170.5,-87.0625,-165
1511883507736335,172,-112.625,-153.438
1511883507752348,165.375,-133.875,-132.75
1511883507774456,156.313,-148.688,-106.25
1511883507795562,146.938,-161.5,-73.8125
1511883507812756,140.063,-168.188,-47
1511883507834879,135.563,-173.063,-25.6875
1511883507855971,132.813,-174.313,-1.5625
1511883507871996,131.188,-171.125,23.125
1511883507895214,114.188,-164.5,45.625
1511883507916095,89.0625,-158.625,63.8125
1511883507931738,64.9375,-152.063,77.125
1511883507954801,48.375,-139.813,86.9375
1511883507975856,39.875,-123.5,90.1875
1511883507991898,28.3125,-111.688,93.6875
1511883508014986,20.75,-98.375,97
1511883508035466,14.6875,-83.5625,96.9375
1511883508052511,5.1875,-66.6875,100.875
1511883508074547,1.6875,-48.8125,109.5
1511883508095603,3.0625,-31.4375,116.938
1511883508112151,-4.6875,-19.0625,120.625
1511883508134712,-21.6875,-0.375,124.563
1511883508156800,-21.5,24.6875,131.938
1511883508170835,-16.75,48.375,140.188
1511883508193896,-19.75,65.75,145.688
1511883508216485,-30.75,77.6875,150.563
1511883508231564,-44.875,91.75,151.125
1511883508253624,-50.5625,111.875,150.25
1511883508284683,-54.5625,122.938,150.688
1511883508291701,-59.9375,124.625,142.313
1511883508314319,-56.5,131.313,126.063
1511883508335876,-51.3125,142.125,110.75
1511883508350915,-49.3125,150.75,100.688
1511883508373978,-55.375,155,85.75
1511883508396069,-50.3125,154.25,68.125
1511883508413137,-53.5625,148.188,55.5
1511883508434196,-68.3125,141.625,46.25
1511883508456226,-76.25,136.438,42.5625
1511883508472297,-66.9375,138.188,36.5
1511883508494328,-61.75,134.313,29.3125
1511883508516446,-53.5,124.563,28.4375
1511883508532484,-48.9375,113.75,22.25
1511883508553567,-44.125,105.188,6.75
1511883508576628,-49.25,97.1875,5.75
1511883508591641,-45.75,92.4375,6.3125
1511883508614256,-26.875,84.75,-7.0625
1511883508635837,-15.5,68.9375,-19.4375
1511883508651854,-14.875,52.375,-23.125
1511883508673939,-8.125,39.25,-25.1875
1511883508695990,-6.75,27.125,-30.875
1511883508712532,-16.0625,12.9375,-31.9375
1511883508734089,-29.25,2.4375,-24.875
1511883508756148,-28.4375,6.4375,-14.8125
1511883508779209,-4.5625,16.5625,-6.125
1511883508794249,13.3125,13.5625,-6.5
1511883508816812,13.0625,4.375,-2.375
1511883508838923,12.875,2,5.5625
1511883508854426,7,0.375,8.875
1511883508876541,-5.125,-2.5,11.875
1511883508893474,-7.8125,-8.1875,13.375
1511883508913535,-6.9375,-13.6875,11.625
1511883508936587,-8.8125,-12.6875,7.9375
1511883508952638,-8,-10.875,5.8125
1511883508973690,-9.625,-10.6875,4.625
1511883508996788,-14.125,-8.4375,4.3125
1511883509012794,-18.0625,-4.6875,3.3125
1511883509033906,-15.625,-2.125,2.5625
1511883509056349,-3.625,-1.875,2.125
1511883509072397,3.6875,-1.3125,0
1511883509093458,2.375,-0.25,-2.625
1511883509116519,3.875,1.125,-5.0625
1511883509133078,0.4375,2.5625,-3.5
1511883509153549,-4.125,0.3125,-3.1875
1511883509176585,-2.9375,-2.3125,-4.875
1511883509191626,-3.375,-4.0625,-6.875
1511883509213685,-5.6875,-4.9375,-10.125
1511883509236794,-8.1875,-7.625,-13.25
1511883509258839,-12.9375,-9.6875,-16.3125
1511883509273896,-16.4375,-7.8125,-22.375
1511883509295937,-29.6875,-12.4375,-30.1875
1511883509319028,-48.75,-26.875,-39.625
1511883509334090,-61.4375,-41.6875,-37.75
1511883509356742,-87.125,-54,-28.9375
1511883509378803,-122.938,-54,-24.3125
1511883509394848,-140.563,-49.3125,-9.375
1511883509415904,-123.438,-37.5625,10.8125
1511883509438966,-107.938,-25.375,13.75
1511883509455543,-73.4375,-15.1875,20.3125
1511883509476571,8.0625,-7.5,30.875
1511883509498662,49.4375,-6.75,30.125
1511883509515676,40.4375,-9.0625,29.8125
1511883509536759,6.9375,-14.3125,24.625
1511883509558729,-18.6875,-19.375,19.25
1511883509575753,-14.1875,-15,24.5
1511883509596795,0.375,-9.125,16.125
1511883509618880,11.5625,-7.625,11.25
1511883509635453,16.5,-8.875,12
1511883509656537,0.5625,-4.9375,14.8125
1511883509678592,-8.1875,-1.6875,9.4375
1511883509695646,-0.8125,-3.6875,6
1511883509716675,21.4375,-11,2.5625
1511883509739247,40.0625,-20.375,-8.6875
1511883509755616,46.25,-31.5,-22
1511883509776675,35.625,-42.6875,-27
1511883509798726,27.8125,-57.125,-34.875
1511883509815774,30.75,-70.9375,-46.9375
1511883509836851,44.25,-82.875,-61.0625
1511883509858644,60.8125,-94.25,-75.6875
1511883509875655,68.875,-100.5,-90.75
1511883509897710,75.0625,-109,-101.813
1511883509918769,71.375,-115.188,-111.438
1511883509935332,73.625,-114.688,-122
1511883509956543,88.4375,-115.688,-130.188
1511883509978628,90.0625,-113.25,-139.313
1511883509995647,84.75,-104.813,-146.938
