timestamp,roll,pitch,yaw
1511883637521476,-0.183168,-0.0217817,-0.485978
1511883637546543,-0.182997,-0.0205155,-0.487732
1511883637561585,-0.181255,-0.0189356,-0.488981
1511883637581694,-0.180086,-0.017051,-0.489504
1511883637603726,-0.179932,-0.0151341,-0.489664
1511883637618793,-0.179313,-0.0125616,-0.489519
1511883637642857,-0.178719,-0.0103402,-0.488946
1511883637689483,-0.178721,-0.00874641,-0.488075
1511883637690459,-0.178933,-0.00783064,-0.487153
1511883637703785,-0.178157,-0.00675347,-0.485703
1511883637724842,-0.177626,-0.0057124,-0.48402
1511883637739882,-0.177632,-0.00455234,-0.482369
1511883637763973,-0.178817,-0.00320656,-0.480996
1511883637806146,-0.180836,-0.0026213,-0.480202
1511883637816146,-0.183987,-0.00257281,-0.479514
1511883637822162,-0.187357,-0.00321016,-0.478906
1511883637844222,-0.189743,-0.0046762,-0.477543
1511883637867292,-0.190563,-0.00636893,-0.476012
1511883637881320,-0.191241,-0.00865093,-0.47442
1511883637903930,-0.192137,-0.011585,-0.47251
1511883637919932,-0.192526,-0.0151139,-0.470311
1511883637940991,-0.192354,-0.018849,-0.467681
1511883637964244,-0.192503,-0.0228455,-0.464407
1511883637980091,-0.192312,-0.026698,-0.460505
1511883638000825,-0.191192,-0.0302694,-0.456002
1511883638023915,-0.188191,-0.0333362,-0.450792
1511883638047145,-0.182553,-0.0359459,-0.444392
1511883638060986,-0.175227,-0.038316,-0.436384
1511883638084747,-0.165051,-0.0401271,-0.427084
1511883638106981,-0.1517,-0.0405966,-0.416178
1511883638121018,-0.134486,-0.0401425,-0.403313
1511883638144111,-0.115,-0.0388567,-0.388668
1511883638167140,-0.0924792,-0.0362232,-0.372668
1511883638182710,-0.0676704,-0.0314995,-0.354941
1511883638204319,-0.0419943,-0.0248073,-0.334901
1511883638226351,-0.0141496,-0.0168205,-0.313564
1511883638242395,0.0173583,-0.00732977,-0.290654
1511883638264452,0.0527299,0.00361068,-0.266174
1511883638294536,0.0901549,0.0153375,-0.240625
1511883638302385,0.129436,0.0281377,-0.215029
1511883638324470,0.171017,0.0418987,-0.189599
1511883638346528,0.214119,0.0554146,-0.163371
1511883638362545,0.257287,0.067586,-0.135975
1511883638384635,0.302293,0.0786953,-0.10894
1511883638406750,0.354549,0.090804,-0.0827035
1511883638422789,0.413823,0.104338,-0.0581646
1511883638443819,0.475859,0.119454,-0.0359361
1511883638467895,0.53809,0.137727,-0.0178216
1511883638482947,0.59716,0.160383,-0.00473289
1511883638504034,0.651952,0.187756,0.00346912
1511883638527096,0.703471,0.218932,0.00701967
1511883638542106,0.751963,0.254133,0.00532207
1511883638563189,0.79629,0.293087,-0.00195734
1511883638587259,0.836446,0.335302,-0.0140706
1511883638602856,0.870552,0.380016,-0.0305037
1511883638623885,0.896711,0.426643,-0.050058
1511883638646946,0.914716,0.474025,-0.0726029
1511883638663019,0.924817,0.521428,-0.0972402
1511883638683600,0.9251,0.568093,-0.124051
1511883638706833,0.916434,0.613296,-0.15367
1511883638722876,0.900589,0.656423,-0.188354
1511883638744937,0.88124,0.69694,-0.227757
1511883638767021,0.858785,0.732454,-0.270759
1511883638789610,0.829508,0.761445,-0.316609
1511883638805152,0.791123,0.784552,-0.36707
1511883638828215,0.743867,0.801815,-0.421227
1511883638849269,0.690064,0.811993,-0.477354
1511883638865356,0.63243,0.818187,-0.533744
1511883638888467,0.566876,0.81649,-0.592892
1511883638909583,0.494161,0.806301,-0.653772
1511883638925651,0.43065,0.783063,-0.7066
1511883638948825,0.371702,0.752593,-0.754418
1511883638969761,0.316299,0.716204,-0.795968
1511883638985329,0.26172,0.673885,-0.829929
1511883639008438,0.208711,0.625217,-0.853884
1511883639029526,0.15995,0.571674,-0.86723
1511883639044534,0.111066,0.514849,-0.872593
1511883639068601,0.0635307,0.456216,-0.870596
1511883639089815,0.026536,0.397125,-0.859436
1511883639105495,-0.00435466,0.338258,-0.838941
1511883639128555,-0.0370522,0.281304,-0.810313
1511883639149611,-0.0669512,0.227021,-0.77563
1511883639164651,-0.0891659,0.176172,-0.734371
1511883639188244,-0.111381,0.1302,-0.68926
1511883639208863,-0.127934,0.0884789,-0.641396
1511883639224872,-0.134841,0.052387,-0.593417
1511883639262974,-0.139893,0.0216625,-0.549515
1511883639263976,-0.14095,-0.00418529,-0.510147
1511883639293087,-0.123371,-0.0298731,-0.478452
1511883639315685,-0.0984927,-0.0538773,-0.456317
1511883639337737,-0.0674814,-0.0765305,-0.44533
1511883639366818,-0.0328296,-0.097701,-0.449223
1511883639391909,0.00238353,-0.116604,-0.469355
1511883639392410,0.0345586,-0.133937,-0.504378
1511883639418982,0.0520241,-0.146243,-0.550169
1511883639444076,0.0656417,-0.15898,-0.606787
1511883639445053,0.0755858,-0.171862,-0.673291
1511883639472158,0.086817,-0.18447,-0.748317
1511883639496193,0.0974377,-0.196218,-0.830445
1511883639518252,0.104067,-0.205777,-0.915239
1511883639556353,0.10711,-0.213227,-0.998562
1511883639557356,0.106272,-0.218561,-1.08157
1511883639565377,0.100076,-0.224362,-1.1633
1511883639585959,0.0946114,-0.231053,-1.24226
1511883639607519,0.0903962,-0.237524,-1.31565
1511883639630579,0.0888781,-0.243775,-1.37933
1511883639644617,0.0884788,-0.251647,-1.43315
1511883639667704,0.0842015,-0.261048,-1.47642
1511883639690797,0.0669092,-0.273227,-1.50502
1511883639704905,0.0579658,-0.283202,-1.52338
1511883639727968,0.0568859,-0.290535,-1.53378
1511883639751057,0.0581695,-0.295622,-1.53641
1511883639772110,0.0597511,-0.300129,-1.53047
1511883639787681,0.0626992,-0.303772,-1.51804
1511883639810243,0.0685482,-0.305835,-1.50343
1511883639831324,0.0776619,-0.305473,-1.48864
1511883639847341,0.0885962,-0.303372,-1.47302
