timestamp,x,y,z
1511883703505498,-0.525879,0.308594,0.783691
1511883703530566,-0.529297,0.306641,0.780273
1511883703550618,-0.543457,0.325684,0.791992
1511883703565658,-0.54834,0.345703,0.782715
1511883703590250,-0.544922,0.349609,0.776855
1511883703610303,-0.536133,0.322754,0.791992
1511883703625343,-0.529785,0.29834,0.800781
1511883703663959,-0.530762,0.291016,0.799805
1511883703680004,-0.53418,0.316406,0.800293
1511883703689028,-0.539063,0.32666,0.794922
1511883703708078,-0.536133,0.310547,0.789063
1511883703734148,-0.536133,0.287598,0.807617
1511883703749187,-0.540039,0.279297,0.816406
1511883703791301,-0.550781,0.288574,0.817871
1511883703792304,-0.554199,0.322266,0.803711
1511883703805339,-0.577637,0.332031,0.805664
1511883703828401,-0.570801,0.325195,0.814941
1511883703851462,-0.562988,0.323242,0.82373
1511883703865501,-0.56543,0.349609,0.856445
1511883703895583,-0.595703,0.380371,0.865723
1511883703910622,-0.644531,0.411133,0.894043
1511883703925662,-0.696289,0.447754,0.926758
1511883703948725,-0.750977,0.482422,0.961914
1511883703971290,-0.842285,0.553711,1.02686
1511883703985494,-0.911621,0.592773,1.02588
1511883704008598,-0.975098,0.601563,0.978516
1511883704031617,-0.978516,0.570313,0.933105
1511883704045654,-0.934082,0.511719,0.888672
1511883704068858,-0.89209,0.461426,0.860352
1511883704091551,-0.836426,0.402832,0.821777
1511883704105636,-0.756836,0.37207,0.769531
1511883704128699,-0.705078,0.373535,0.666016
1511883704150740,-0.667969,0.365234,0.555176
1511883704165853,-0.600098,0.353027,0.48584
1511883704188462,-0.566406,0.290527,0.463867
1511883704211524,-0.574219,0.234375,0.444336
1511883704233582,-0.571777,0.248535,0.384277
1511883704248652,-0.535645,0.312012,0.322754
1511883704271184,-0.508789,0.311523,0.23877
1511883704285771,-0.484375,0.28125,0.180664
1511883704308832,-0.401855,0.260254,0.137695
1511883704330918,-0.306641,0.244141,0.111816
1511883704344928,-0.239258,0.225586,0.0917969
1511883704368994,-0.210449,0.238281,0.0712891
1511883704390618,-0.19873,0.227539,0.0639648
1511883704406661,-0.203613,0.236816,0.0585938
1511883704428720,-0.226074,0.239746,0.0922852
1511883704450778,-0.25,0.201172,0.157227
1511883704467324,-0.301758,0.149414,0.23584
1511883704488882,-0.328125,0.162109,0.314453
1511883704510942,-0.29834,0.237305,0.378906
1511883704526984,-0.323242,0.292969,0.415039
1511883704548040,-0.421387,0.399902,0.48584
1511883704571103,-0.441406,0.460938,0.560059
1511883704587148,-0.400879,0.518066,0.61084
1511883704608203,-0.439453,0.612793,0.72168
1511883704631264,-0.479004,0.680176,0.856934
1511883704647307,-0.437988,0.786133,0.966309
1511883704667863,-0.383301,0.903809,1.07617
1511883704691427,-0.314941,0.936523,1.11865
1511883704706467,-0.287598,0.96875,1.20459
1511883704727523,-0.351074,0.939941,1.30811
1511883704750584,-0.415527,0.876953,1.33447
1511883704767129,-0.372559,0.767578,1.33545
1511883704789692,-0.342773,0.64209,1.40137
1511883704810774,-0.46582,0.52002,1.45996
1511883704858375,-0.597656,0.426758,1.45703
1511883704859377,-0.618652,0.314453,1.42236
1511883704872913,-0.554688,0.262695,1.33984
1511883704893971,-0.564941,0.156738,1.26221
1511883704911016,-0.595215,0.0561523,1.14111
1511883704940094,-0.740234,0.0317383,0.92334
1511883704953130,-0.514648,0.0581055,0.789063
1511883704969678,-0.636719,-0.0791016,0.993652
1511883704992603,-0.506348,0.106445,0.415527
1511883705006641,-0.584473,0.0307617,0.566406
1511883705029698,-0.507813,-0.0229492,0.47998
1511883705052758,-0.468262,-0.0205078,0.389648
1511883705073823,-0.434082,0.00390625,0.293457
1511883705089004,-0.402344,0.0219727,0.214844
1511883705112175,-0.337891,0.0600586,0.215332
1511883705133234,-0.282715,0.0927734,0.209961
1511883705149163,-0.241211,0.111328,0.216797
1511883705172835,-0.18457,0.108887,0.23584
1511883705193957,-0.112793,0.0976563,0.27832
1511883705208997,-0.0493164,0.0991211,0.359375
1511883705232058,0.00927734,0.0605469,0.456055
1511883705253114,0.0322266,0.0161133,0.614746
1511883705269661,0.0209961,-0.00927734,0.850586
1511883705292249,0.000488281,-0.00146484,1.06494
1511883705313332,-0.0776367,-0.0219727,1.28662
1511883705329347,-0.0878906,0.0102539,1.42139
1511883705352421,0.012207,-0.027832,1.54736
1511883705373517,0.131348,-0.081543,1.6499
1511883705389059,0.147461,-0.0610352,1.66455
1511883705412148,0.0830078,0.0341797,1.64893
1511883705433204,0.0356445,0.0629883,1.56836
1511883705449221,0.0273438,0.00634766,1.45605
1511883705472835,0.0273438,-0.0771484,1.37744
1511883705493960,0.0288086,-0.0761719,1.31689
1511883705508983,0.0390625,-0.0825195,1.25537
1511883705532069,0.0600586,-0.105469,1.18066
1511883705553093,0.0703125,-0.125,1.10059
1511883705569639,0.0732422,-0.141602,1.08203
1511883705592219,0.102539,-0.168945,1.05859
1511883705613284,0.121094,-0.182129,1.06152
1511883705629299,0.125977,-0.150879,1.04395
1511883705651357,0.114258,-0.129395,1.03369
1511883705673949,0.101563,-0.12207,1.02832
1511883705689032,0.0996094,-0.128906,1.03125
1511883705712074,0.10791,-0.150391,1.04541
1511883705733158,0.10498,-0.182617,1.05273
1511883705749174,0.108398,-0.191895,1.06348
1511883705772263,0.0976563,-0.16748,1.04395
1511883705794492,0.0908203,-0.215332,1.06348
1511883705809532,0.110352,-0.259277,1.08105
1511883705831590,0.0810547,-0.254883,1.12598
1511883705854651,-0.00976563,-0.269043,1.19727
1511883705869719,-0.0473633,-0.30957,1.23438
1511883705891776,-0.100098,-0.299805,1.29639
1511883705914838,-0.166504,-0.209473,1.36572
1511883705928891,-0.230957,-0.117676,1.3999
1511883705951937,-0.292969,-0.0585938,1.4165
1511883705974537,-0.350098,-0.0161133,1.41016
1511883705995661,-0.380371,0.0375977,1.37793
1511883706011703,-0.456055,0.12207,1.26904
