timestamp,x,y,z,w
1511883703505498,-0.0393677,-0.322937,-0.380554,-0.865662
1511883703530566,-0.0391235,-0.322937,-0.380798,-0.865601
1511883703550618,-0.0393677,-0.323059,-0.380981,-0.865479
1511883703565658,-0.0396729,-0.323242,-0.381165,-0.865295
1511883703590250,-0.0396118,-0.323181,-0.381592,-0.865173
1511883703610303,-0.0389404,-0.322571,-0.382019,-0.865234
1511883703625343,-0.0383301,-0.322021,-0.38208,-0.865417
1511883703663959,-0.0383301,-0.32196,-0.381775,-0.86554
1511883703680004,-0.0389404,-0.322449,-0.381226,-0.865601
1511883703689028,-0.0391235,-0.322876,-0.380981,-0.86554
1511883703708078,-0.0383911,-0.323059,-0.38092,-0.86554
1511883703734148,-0.0374146,-0.323181,-0.380798,-0.865601
1511883703749187,-0.0369263,-0.323669,-0.380371,-0.865601
1511883703791301,-0.0369873,-0.324707,-0.379822,-0.865479
1511883703792304,-0.0376587,-0.326111,-0.379333,-0.865112
1511883703805339,-0.0378418,-0.327393,-0.379333,-0.864624
1511883703828401,-0.0377808,-0.328247,-0.3797,-0.864136
1511883703851462,-0.0386353,-0.329224,-0.380127,-0.863586
1511883703865501,-0.0409546,-0.33075,-0.380005,-0.862915
1511883703895583,-0.0440063,-0.333435,-0.379089,-0.862122
1511883703910622,-0.0473633,-0.33728,-0.37738,-0.861206
1511883703925662,-0.0509033,-0.342224,-0.375061,-0.860107
1511883703948725,-0.0551758,-0.348755,-0.371643,-0.858704
1511883703971290,-0.0599976,-0.357056,-0.367249,-0.856812
1511883703985494,-0.0637207,-0.367188,-0.362732,-0.854187
1511883704008598,-0.0652466,-0.378967,-0.358521,-0.850708
1511883704031617,-0.065979,-0.391724,-0.354004,-0.846741
1511883704045654,-0.0675049,-0.404541,-0.348572,-0.842834
1511883704068858,-0.0703735,-0.417297,-0.341553,-0.839233
1511883704091551,-0.074646,-0.430176,-0.332947,-0.835815
1511883704105636,-0.0800171,-0.442627,-0.32428,-0.832214
1511883704128699,-0.0862427,-0.454651,-0.316589,-0.828125
1511883704150740,-0.0931396,-0.466064,-0.30896,-0.823853
1511883704165853,-0.098877,-0.476074,-0.301086,-0.820374
1511883704188462,-0.103638,-0.484253,-0.292358,-0.818176
1511883704211524,-0.108887,-0.491272,-0.282837,-0.81665
1511883704233582,-0.114441,-0.497681,-0.273315,-0.815247
1511883704248652,-0.119568,-0.502991,-0.264648,-0.814087
1511883704271184,-0.123413,-0.507263,-0.257202,-0.813293
1511883704285771,-0.125305,-0.51001,-0.251038,-0.813171
1511883704308832,-0.12677,-0.511597,-0.245422,-0.81366
1511883704330918,-0.128723,-0.512085,-0.240784,-0.814453
1511883704344928,-0.130981,-0.511597,-0.237549,-0.815369
1511883704368994,-0.134094,-0.510437,-0.235168,-0.816284
1511883704390618,-0.137085,-0.508118,-0.234009,-0.817505
1511883704406661,-0.139893,-0.504578,-0.235107,-0.818909
1511883704428720,-0.142395,-0.499084,-0.239258,-0.820679
1511883704450778,-0.144348,-0.490967,-0.246033,-0.823242
1511883704467324,-0.146973,-0.480591,-0.254456,-0.826294
1511883704488882,-0.151794,-0.468628,-0.263733,-0.829407
1511883704510942,-0.159485,-0.455933,-0.27301,-0.832031
1511883704526984,-0.165771,-0.44165,-0.283081,-0.835144
1511883704548040,-0.170288,-0.425232,-0.295166,-0.838562
1511883704571103,-0.173035,-0.406799,-0.308411,-0.842346
1511883704587148,-0.172485,-0.385925,-0.32196,-0.847229
1511883704608203,-0.170593,-0.363708,-0.334106,-0.852722
1511883704631264,-0.170471,-0.340759,-0.343994,-0.858276
1511883704647307,-0.170532,-0.317932,-0.350586,-0.864319
1511883704667863,-0.169922,-0.296265,-0.352905,-0.871155
1511883704691427,-0.167969,-0.276184,-0.351624,-0.878601
1511883704706467,-0.167236,-0.256836,-0.347473,-0.88623
1511883704727523,-0.163879,-0.239075,-0.339355,-0.894958
1511883704750584,-0.157898,-0.224182,-0.327148,-0.904358
1511883704767129,-0.148743,-0.212463,-0.311646,-0.914185
1511883704789692,-0.140198,-0.203125,-0.294373,-0.92334
1511883704810774,-0.133179,-0.195557,-0.275635,-0.931763
1511883704858375,-0.127808,-0.191895,-0.255676,-0.938904
1511883704859377,-0.123657,-0.193237,-0.235413,-0.944458
1511883704872913,-0.120789,-0.198608,-0.216003,-0.948364
1511883704893971,-0.118042,-0.206909,-0.198181,-0.950806
1511883704911016,-0.112549,-0.219177,-0.181152,-0.952148
1511883704940094,-0.109253,-0.236755,-0.164307,-0.951355
1511883704953130,-0.108459,-0.254333,-0.149231,-0.949402
1511883704969678,-0.104614,-0.272278,-0.135559,-0.946899
1511883704992603,-0.105896,-0.290161,-0.125061,-0.942871
1511883705006641,-0.105042,-0.30481,-0.117554,-0.939331
1511883705029698,-0.10437,-0.317566,-0.111816,-0.935852
1511883705052758,-0.104919,-0.328064,-0.106445,-0.9328
1511883705073823,-0.106201,-0.3349,-0.102844,-0.930603
1511883705089004,-0.106995,-0.337341,-0.101074,-0.929871
1511883705112175,-0.107727,-0.334473,-0.10083,-0.930847
1511883705133234,-0.108826,-0.32666,-0.101135,-0.933472
1511883705149163,-0.10968,-0.313782,-0.101379,-0.937744
1511883705172835,-0.109924,-0.295898,-0.101196,-0.943542
1511883705193957,-0.108643,-0.273621,-0.100891,-0.950378
1511883705208997,-0.104126,-0.246338,-0.101746,-0.958252
1511883705232058,-0.0955811,-0.214172,-0.103638,-0.966614
1511883705253114,-0.0834961,-0.177734,-0.105896,-0.974854
1511883705269661,-0.0698853,-0.138123,-0.107727,-0.982117
1511883705292249,-0.0559082,-0.0974121,-0.108826,-0.987732
1511883705313332,-0.0424194,-0.0576782,-0.110046,-0.991394
1511883705329347,-0.0283203,-0.0212402,-0.109985,-0.993347
1511883705352421,-0.0141602,0.00982666,-0.108704,-0.993958
1511883705373517,-0.000610352,0.0338135,-0.10614,-0.993835
1511883705389059,0.0108032,0.0501709,-0.101624,-0.99353
1511883705412148,0.0188599,0.0587769,-0.09552,-0.99353
1511883705433204,0.0271606,0.0619507,-0.088623,-0.993774
1511883705449221,0.0377197,0.0623169,-0.0812988,-0.99408
1511883705472835,0.048584,0.0612793,-0.0744629,-0.994202
1511883705493960,0.0566406,0.0597534,-0.0686646,-0.994263
1511883705508983,0.062439,0.0583496,-0.0645142,-0.994263
1511883705532069,0.0663452,0.057312,-0.0620728,-0.994263
1511883705553093,0.0681152,0.0567017,-0.0613403,-0.994202
