timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1511884322354016,-3,-1,-2,2,2,-1,-10,-7
1511884322354016,-4,-2,1,0,-2,1,3,-3
1511884322361034,-1,-1,-1,0,-2,-3,-1,2
1511884322361034,-2,0,0,0,0,0,1,-2
1511884322377236,0,-1,1,-1,-1,2,5,3
1511884322377236,3,1,1,0,0,3,2,6
1511884322384095,-1,-3,-1,0,-2,0,-2,-1
1511884322384095,-1,0,-1,-1,-1,2,7,2
1511884322400136,1,1,1,0,2,-5,-14,-5
1511884322400136,-3,-1,2,1,1,-2,-6,-10
1511884322401140,2,1,2,-1,0,-2,-2,-2
1511884322401140,0,0,-2,-3,0,-5,-5,3
1511884322414201,-1,-1,-2,-2,0,-1,1,2
1511884322414201,-1,-1,-2,-3,1,-1,4,0
1511884322421192,-6,-2,0,0,-2,-2,-2,-4
1511884322421192,3,-1,1,1,-3,1,-2,-1
1511884322437266,2,1,1,-1,-3,2,5,3
1511884322437266,-3,-1,0,2,-2,-1,0,0
1511884322443277,-1,1,0,-3,0,-1,-2,0
1511884322443277,-2,0,-3,-1,0,-1,-6,-1
1511884322460300,1,0,-3,2,0,2,3,0
1511884322460300,-3,-2,-1,0,1,1,4,-3
1511884322461303,-1,-2,-1,-4,-1,-1,-11,-1
1511884322461303,-3,-1,1,-1,-3,-4,-7,-11
1511884322474338,1,-1,1,-2,0,-2,3,1
1511884322474338,8,0,0,0,-2,0,4,12
1511884322481364,-1,0,0,1,1,-1,-4,-2
1511884322481364,-1,-3,-1,0,0,-2,-1,-3
1511884322496421,-1,-1,0,3,1,1,9,1
1511884322496421,-6,-1,-2,-1,-1,-3,-14,-2
1511884322503440,-5,0,-1,-1,-4,-4,-7,-7
1511884322503440,-3,-3,-1,-3,-3,-1,-1,0
1511884322519457,2,0,-2,-3,0,2,5,3
1511884322519457,1,-1,-1,-2,0,0,2,-1
1511884322521463,4,1,0,-1,2,2,10,4
1511884322521463,-3,-1,-1,1,-2,-3,-7,-3
1511884322534500,-3,-1,-2,0,-2,-5,-6,-4
1511884322534500,1,-2,-2,-2,-2,1,6,6
1511884322541547,-2,-1,-1,-1,1,-2,-9,-6
1511884322541547,-2,0,0,2,1,-1,5,-2
1511884322556587,7,1,0,-1,-2,-1,-2,5
1511884322556587,-5,1,-1,-2,-3,-3,-9,-11
1511884322563606,-1,-1,1,-2,1,3,9,3
1511884322563606,0,1,-1,-1,0,3,2,5
1511884322579649,-4,-2,1,-1,-2,-1,-2,-7
1511884322579649,1,-2,1,1,-2,-1,-3,-2
1511884322581676,-1,-2,-1,1,-3,0,5,3
1511884322581676,1,-1,-1,-1,0,-3,-8,-1
1511884322594689,-4,1,0,-2,0,0,-3,-4
1511884322594689,1,2,0,1,1,0,12,7
1511884322600704,-2,-1,0,0,2,-3,-7,-3
1511884322600704,-2,-4,-1,0,1,-3,-5,-8
1511884322616748,-2,-1,-1,0,1,0,-10,-6
1511884322616748,1,-1,-3,-1,-1,2,5,1
1511884322623792,3,-3,-2,0,-2,0,7,6
1511884322623792,3,1,0,-1,0,0,1,2
1511884322640313,-1,-1,-1,-2,0,1,2,-1
1511884322640313,-6,-3,0,0,0,0,-7,-8
1511884322641819,3,0,0,1,-3,1,5,8
1511884322641819,2,0,0,-1,0,-1,0,2
1511884322653850,0,-3,-2,2,-2,-3,-2,0
1511884322653850,-4,-2,-2,2,-2,0,3,2
1511884322662874,3,-1,-4,0,-1,-1,2,4
1511884322662874,-5,-2,-3,-2,-3,-2,-8,-10
1511884322676917,-2,-2,-2,-1,2,-2,-2,-2
1511884322676917,-2,-1,0,-2,2,-2,-6,-5
1511884322683931,-1,-1,1,0,1,-2,0,0
1511884322683931,4,2,0,-2,1,1,6,6
1511884322699974,0,1,1,-2,-1,0,3,4
1511884322699974,-2,-2,1,2,0,-1,-1,1
1511884322701985,-3,-1,2,0,-3,0,-5,-8
1511884322701985,-1,0,2,1,-2,2,1,0
1511884322714044,-1,0,-2,-1,-4,0,0,-2
1511884322714044,4,2,-1,-4,0,2,-1,2
1511884322723038,-2,-1,-3,-2,-1,-2,-2,-1
