timestamp,x,y,z
1511884671453321,1.75,1.5625,-0.3125
1511884671475383,1.6875,1.5,-0.1875
1511884671499609,1.8125,1.5,0.3125
1511884671514484,1.125,1.3125,0.75
1511884671535769,0.375,1.375,1.25
1511884671559955,1.125,1.625,1.25
1511884671573994,1.875,1.5625,1.25
1511884671628177,2.125,1,1.5625
1511884671629142,0.625,0.3125,1.875
1511884671639170,-2.125,-0.5625,1.9375
1511884671656211,-3.0625,-1.125,2.3125
1511884671680277,-2.75,-1.0625,2.125
1511884671697323,-2.375,-0.6875,0.9375
1511884671738618,-0.75,-0.5,0.1875
1511884671739432,1.125,-0.3125,-0.625
1511884671753473,0.5625,0.0625,-0.9375
1511884671776704,0.125,-0.0625,-1.25
1511884671798764,1.25,-0.0625,-1.4375
1511884671812844,2.0625,-0.4375,-1.25
1511884671835906,1.5,-1.1875,-0.3125
1511884671858969,0,-1.875,0.5625
1511884671873013,-1.6875,-2.4375,1.25
1511884671896027,-2,-2.375,1.625
1511884671919289,-2.5625,-2.0625,1.6875
1511884671933309,-0.375,-1.375,1
1511884671956370,0.625,-1,0.6875
1511884671978662,1.8125,-0.5625,0.8125
1511884671993664,2.375,-0.0625,0.875
1511884672016755,1.625,0.0625,1.3125
1511884672039014,0.5625,-0.0625,2.4375
1511884672053051,-0.75,-0.25,4.125
1511884672076316,-2.25,-0.8125,5.25
1511884672099177,-2.875,-1.875,6
1511884672113252,-2.875,-3.125,5.75
1511884672136313,-2.1875,-5.5,4
1511884672158372,-2,-7.3125,2.5625
1511884672173412,0.0625,-8.5,1.125
1511884672196854,2.625,-8.875,1
1511884672218930,1.0625,-9.75,1.0625
1511884672233008,-0.0625,-9.875,1.9375
1511884672256081,1,-9.6875,2.5625
1511884672279326,-0.625,-10.125,3.5625
1511884672294394,-5.125,-10.25,3.75
1511884672316527,-4.5625,-11.25,4.4375
1511884672338513,-6,-14.1875,7.125
1511884672354556,-11.4375,-20.375,9.875
1511884672376616,-2.125,-30.375,13.4375
1511884672398778,-3.125,-39.75,23.0625
1511884672414714,-20,-55.875,23.5625
1511884672436812,-25.6875,-75.8125,20.0625
1511884672458874,-20.375,-93.5625,20.5
1511884672474875,-20.75,-113.25,27.75
1511884672496074,-30.125,-135.313,35.0625
1511884672519302,-40.625,-157.813,37.375
1511884672534307,-50.625,-179.313,36.125
1511884672556360,-60.5625,-192.313,35.0625
1511884672578418,-58.75,-197.438,47.5625
1511884672594461,-77.4375,-199.25,56.875
1511884672615520,-86.25,-199.313,55.5625
1511884672638675,-92.4375,-195.063,53.25
1511884672654720,-105.5,-189.875,43.1875
1511884672675776,-110.563,-180.313,23.8125
1511884672698838,-103,-164.125,-7.5625
1511884672714913,-76.875,-144.813,-54.8125
1511884672736942,-55.5625,-120.375,-105.25
1511884672759170,-20.375,-85.6875,-155.938
1511884672781268,27.125,-45.375,-201.25
1511884672797455,68,-6.375,-241.063
1511884672820361,81.3125,31.5,-268.875
1511884672841420,86.4375,65.5625,-267.563
1511884672857612,77.625,96,-237.625
1511884672880716,85.375,114.125,-204
1511884672901961,91.625,122.313,-180.875
1511884672916836,69.125,128.125,-149.375
1511884672939895,18.875,140.875,-102.5
1511884672960986,-48.9375,144.375,-26.1875
1511884672976991,-78.8125,144.438,61.75
1511884673000061,-60.6875,139.313,132.875
