timestamp,x,y,z
1511884698438793,0.0302734,-0.647461,0.797363
1511884698460817,0.0327148,-0.637207,0.797363
1511884698483875,0.0258789,-0.638184,0.793945
1511884698498915,0.03125,-0.646484,0.788574
1511884698520975,0.034668,-0.644531,0.793457
1511884698544178,0.0341797,-0.633301,0.787598
1511884698598468,0.0234375,-0.640137,0.786621
1511884698598468,0.0371094,-0.646973,0.786133
1511884698608495,0.0332031,-0.64209,0.791504
1511884698621535,0.0283203,-0.64209,0.790527
1511884698641592,0.0234375,-0.631836,0.791016
1511884698666655,0.027832,-0.633301,0.787598
1511884698708770,0.0288086,-0.644043,0.786621
1511884698709775,0.0307617,-0.642578,0.791992
1511884698722854,0.0292969,-0.642578,0.794922
1511884698738851,0.0263672,-0.645996,0.793457
1511884698762061,0.0292969,-0.649902,0.797363
1511884698783138,0.0317383,-0.648926,0.792969
1511884698799135,0.0258789,-0.658203,0.810547
1511884698821194,0.0341797,-0.663086,0.818848
1511884698842250,0.0234375,-0.683105,0.836914
1511884698859295,0.019043,-0.75,0.889648
1511884698881354,0.046875,-0.815918,0.941406
1511884698902719,0.0913086,-0.799316,0.958496
1511884698925654,0.081543,-0.758301,1.02686
1511884698941696,-0.00488281,-0.734375,1.09521
1511884698962752,0.00292969,-0.751953,1.11182
1511884698985813,0.20752,-0.791504,1.10498
1511884699001856,0.414551,-0.793457,1.07178
1511884699022911,0.554199,-0.796875,1.00293
1511884699045976,0.574707,-0.777832,0.941895
1511884699062160,0.598145,-0.740234,0.875488
1511884699083317,0.641113,-0.679199,0.768066
1511884699106349,0.665039,-0.633301,0.648926
1511884699121393,0.65625,-0.600098,0.568359
1511884699142444,0.619629,-0.534668,0.509766
1511884699165508,0.595703,-0.516602,0.449707
1511884699181562,0.553223,-0.496582,0.388672
1511884699202604,0.490723,-0.441406,0.34668
1511884699225668,0.387207,-0.40332,0.280762
1511884699241708,0.291016,-0.395508,0.217773
1511884699262892,0.207031,-0.387207,0.169922
1511884699285954,0.150879,-0.368164,0.132324
1511884699302003,0.090332,-0.293945,0.134277
1511884699324053,0.0825195,-0.227051,0.110352
1511884699346110,0.127441,-0.275391,0.123047
1511884699362155,0.212891,-0.374023,0.145508
1511884699384309,0.216309,-0.353516,0.270996
1511884699405510,0.258301,-0.263672,0.380859
1511884699421548,0.372559,-0.30127,0.41748
1511884699444611,0.44043,-0.382324,0.465332
1511884699465896,0.397461,-0.331055,0.594727
1511884699481938,0.435547,-0.438477,0.678223
1511884699503997,0.401855,-0.624023,0.749512
1511884699526056,0.318848,-0.815918,0.791016
1511884699542099,0.23877,-1.09668,0.96875
1511884699564189,0.235352,-1.31445,1.03516
1511884699585445,0.20166,-1.41602,1.06006
1511884699602319,0.155762,-1.46924,1.04443
1511884699624349,0.149414,-1.36377,0.984375
1511884699645405,0.154297,-1.25928,0.945801
1511884699661448,0.108887,-1.23828,0.881348
1511884699706568,0.0917969,-1.20703,0.830566
1511884699707570,0.110352,-1.104,0.799316
1511884699729629,0.172363,-0.934082,0.78125
1511884699744801,0.26416,-0.775391,0.753418
1511884699767012,0.339355,-0.658203,0.745117
1511884699790075,0.29248,-0.571777,0.819824
1511884699804111,0.200195,-0.541016,0.816406
1511884699827172,0.232422,-0.492188,0.984375
1511884699850233,0.119629,-0.401855,0.970703
1511884699864269,-0.245117,-0.0844727,0.957031
1511884699886329,-0.383789,0.294434,1.11572
1511884699909390,0.0585938,0.366699,1.09277
1511884699930446,0.468262,0.125,1.04443
1511884699946488,0.60791,-0.15918,0.971191
1511884699969549,0.61084,-0.365723,0.933105
1511884699990606,0.606934,-0.452148,0.918457
1511884700006650,0.612305,-0.391602,0.872559
1511884700029735,0.600586,-0.300781,0.778809
1511884700050794,0.561523,-0.289063,0.710938
1511884700066809,0.555176,-0.362793,0.641113
1511884700089872,0.525391,-0.408203,0.548828
1511884700110929,0.473145,-0.38916,0.485352
1511884700126976,0.39209,-0.384766,0.447754
1511884700150030,0.338379,-0.43457,0.469238
1511884700171140,0.266113,-0.520508,0.46875
1511884700187135,0.180176,-0.470703,0.472168
1511884700210190,0.09375,-0.42041,0.400879
1511884700231297,0.074707,-0.425781,0.358398
1511884700247294,0.0546875,-0.453125,0.405762
1511884700270351,0.0219727,-0.416504,0.506348
1511884700291409,0.0209961,-0.45752,0.544434
1511884700306446,0.00830078,-0.580078,0.715332
1511884700330523,-0.0727539,-0.600098,0.814453
1511884700350563,-0.214844,-0.547363,0.949219
1511884700366607,-0.277832,-0.632324,1.15039
1511884700389666,-0.259766,-0.747559,1.31934
1511884700410726,-0.192871,-0.821777,1.42285
1511884700426766,-0.130371,-0.746582,1.43555
1511884700449828,-0.0517578,-0.658691,1.36377
1511884700471138,-0.00146484,-0.587402,1.2832
1511884700487151,0.00683594,-0.55957,1.20752
1511884700510238,-0.0214844,-0.562988,1.15186
1511884700531297,-0.0688477,-0.572266,1.08887
1511884700546328,-0.104492,-0.532715,0.98291
1511884700569398,-0.132324,-0.473145,0.893066
1511884700590424,-0.137695,-0.452148,0.848633
1511884700606467,-0.11377,-0.441406,0.848633
1511884700629556,-0.125,-0.443848,0.855469
1511884700650585,-0.14502,-0.432617,0.845703
1511884700666628,-0.164551,-0.404785,0.820801
1511884700689688,-0.148438,-0.401855,0.841309
1511884700703057,-0.129883,-0.441406,0.848145
1511884700726000,-0.151367,-0.479004,0.86084
1511884700740037,-0.169922,-0.458496,0.867676
1511884700763126,-0.17627,-0.436035,0.860352
1511884700786161,-0.162598,-0.459961,0.853516
1511884700800198,-0.132324,-0.496094,0.873047
1511884700822257,-0.100586,-0.496094,0.872559
1511884700846320,-0.102539,-0.497559,0.879883
1511884700868382,-0.101074,-0.489258,0.888672
1511884700882416,-0.0942383,-0.478516,0.887695
1511884700906528,-0.0991211,-0.463867,0.887695
1511884700920517,-0.104492,-0.470215,0.88623
1511884700942577,-0.108887,-0.494141,0.893066
1511884700965637,-0.113281,-0.500488,0.913086
1511884700980677,-0.114746,-0.491211,0.902832
1511884701002866,-0.11084,-0.480469,0.900391
1511884701025822,-0.108887,-0.481934,0.901367
1511884701039835,-0.108398,-0.493652,0.896973
1511884701062900,-0.111816,-0.495117,0.895996
1511884701086151,-0.109375,-0.493164,0.89502
1511884701100127,-0.11084,-0.491699,0.886719
1511884701123057,-0.109375,-0.479004,0.891602
1511884701146125,-0.0966797,-0.478516,0.895996
1511884701160156,-0.100586,-0.493164,0.888672
1511884701182647,-0.111328,-0.501465,0.882324
1511884701205754,-0.103027,-0.484863,0.879395
1511884701220625,-0.10498,-0.474609,0.874512
1511884701242788,-0.0981445,-0.481445,0.882324
1511884701266930,-0.0981445,-0.494141,0.884766
1511884701280842,-0.0996094,-0.503418,0.877441
1511884701303076,-0.10498,-0.496582,0.87207
1511884701326118,-0.100586,-0.486328,0.873047
1511884701340285,-0.103027,-0.47998,0.884766
1511884701363225,-0.108398,-0.502441,0.876953
1511884701386481,-0.103027,-0.498047,0.880859
1511884701400552,-0.10498,-0.495605,0.87793
1511884701424563,-0.106445,-0.491699,0.877441
1511884701445684,-0.100586,-0.48291,0.869629
1511884701468891,-0.0961914,-0.491699,0.880371
1511884701482782,-0.0966797,-0.489746,0.881836
1511884701505878,-0.103516,-0.494629,0.890625
1511884701520916,-0.0966797,-0.484863,0.898926
1511884701543942,-0.0883789,-0.494629,0.887695
1511884701566309,-0.0878906,-0.484375,0.882324
1511884701580356,-0.101074,-0.480469,0.874512
