timestamp,x,y,z
1511883992207637,-0.5625,1.375,-2.5
1511883992231845,0,1.75,-2.375
1511883992252767,0.125,2.25,-2.4375
1511883992268101,-0.0625,2.3125,-2.4375
1511883992292063,0.125,2.1875,-2.1875
1511883992313119,0.0625,2.125,-1.625
1511883992367990,0.375,2.4375,-0.875
1511883992370001,0.6875,1.75,-0.1875
1511883992374986,1.25,1.5,0.125
1511883992388044,1.25,1.375,0.5
1511883992413086,1,1,1.0625
1511883992426121,0.8125,0.625,1.5
1511883992470096,0.4375,0.1875,1.875
1511883992478118,-0.1875,-0.0625,2.1875
1511883992493157,-0.75,-0.25,2.5625
1511883992508197,-0.4375,-0.25,2.5
1511883992530252,-0.0625,-0.5625,1.5625
1511883992554847,-0.0625,-0.875,1.125
1511883992568931,-0.375,-0.5,1.5
1511883992591992,-1.1875,-0.4375,1.8125
1511883992614077,-2.25,-0.4375,1.5
1511883992629090,-2.875,-0.5,2.1875
1511883992652209,-6,-0.8125,2.8125
1511883992674807,-7.25,-0.6875,3.875
1511883992688844,-7.75,-0.9375,5.6875
1511883992711904,-7.4375,-2.0625,4.8125
1511883992733994,-7.125,-1.3125,4.9375
1511883992749034,-6.6875,0.125,4.9375
1511883992771718,-8.75,0.625,4.625
1511883992794803,-7.9375,-0.1875,4.875
1511883992808817,-8.375,-0.0625,7.3125
1511883992831892,-10.125,-0.75,7
1511883992854463,-8.8125,-1.0625,2.375
1511883992869069,0.9375,1.75,-2.875
1511883992892118,10.9375,4.8125,-6.4375
1511883992914157,15.125,3.75,-5.375
1511883992929189,12.1875,-1.5,-1.3125
1511883992952252,10.125,-5.5,8.375
1511883992974312,10.25,-4.1875,18.625
1511883992995400,11.0625,-1.0625,28.375
1511883993011412,-6.125,-1.25,39.5625
1511883993034473,-15.0625,-6.3125,51.5625
1511883993055533,-10.6875,-8.1875,54.75
1511883993071601,-1,-16.25,49.3125
1511883993094638,15.125,-23.375,49.6875
1511883993115724,24.1875,-33.25,48.9375
1511883993131736,32.875,-42.1875,53.25
1511883993154849,47.875,-46.8125,60.375
1511883993175542,51.75,-51.625,63.4375
1511883993191585,49.3125,-57.1875,61.75
1511883993214671,36.25,-76.5625,60.3125
1511883993235704,44.875,-99.25,64.5625
1511883993252277,69.4375,-113.25,62.375
1511883993274837,92.125,-124.563,56.25
1511883993295995,103.375,-144.125,54.5625
1511883993310933,114.375,-155.813,59
1511883993335018,126.688,-162.375,59.125
1511883993355552,135.75,-169.313,65.4375
1511883993371725,134.5,-171,80.9375
1511883993394785,119.375,-170.313,99.1875
1511883993415945,96.25,-163.375,110.875
1511883993430878,80.9375,-144.688,111.188
1511883993461014,73,-118.063,107.563
1511883993476605,75.6875,-87.5,103.125
1511883993499663,76.875,-52.625,90.3125
1511883993520720,77.1875,-19.1875,60.0625
1511883993536762,92.625,9.1875,33.25
1511883993559345,109.063,28.125,10.5
1511883993579950,101.375,32.375,-11.1875
1511883993602988,88.1875,28.25,-21.375
1511883993619062,75.6875,24.5625,-23.25
1511883993640114,65,23.9375,-25.5
1511883993657182,56,22,-23.875
1511883993679216,48.625,20.75,-14.6875
1511883993700299,33.4375,17.1875,-4.375
1511883993716314,13.375,14.5625,0.375
1511883993739376,7.25,16.875,1.6875
1511883993760434,11.8125,22.5,1.125
1511883993776528,17.625,26,0
1511883993799604,27.625,29.875,0.125
1511883993820645,27.25,29.375,1.4375
1511883993836675,24.1875,26.25,3.4375
1511883993861267,23.0625,21.25,3.375
1511883993880541,26.5,15.75,3.9375
1511883993902600,22,12.375,5.8125
1511883993919645,19.3125,13.25,9.875
1511883993940701,12.125,14.375,14.4375
1511883993956272,0.4375,13.9375,18.4375
1511883993979549,-3.6875,11.125,21.625
1511883994001577,-7.9375,7.375,25
1511883994016618,-10.75,4.9375,28
1511883994039711,-4.125,3.9375,29.375
1511883994062240,9.4375,7.4375,30.5
1511883994075778,17.5,14.375,31.4375
1511883994099842,11.125,18.4375,33.125
1511883994121902,-0.875,21.375,37.5
1511883994142984,-14.0625,22.4375,39.3125
1511883994159503,-24.1875,21.375,39.25
1511883994182119,-15.5,23.1875,36.5625
1511883994203148,-3.6875,25.5,32.75
1511883994219191,7.9375,25.6875,28.8125
1511883994242251,18.8125,27,24.5625
1511883994263336,26.75,31.625,20.375
1511883994279355,26.875,36.25,17.3125
1511883994302418,19,38.75,16.3125
1511883994323520,13.5,41.375,15.625
1511883994339516,11.625,45.5,15.125
1511883994369146,11.125,47.875,14.625
1511883994383400,10.0625,48.6875,15
1511883994399397,10.6875,50.625,15.6875
1511883994421474,8.125,51.5,15.6875
1511883994443511,7.6875,52.8125,16.4375
1511883994459597,3.875,54.125,16.75
1511883994481670,4,59.0625,15.125
1511883994502749,0.8125,63.875,16.25
1511883994519759,-0.25,72.25,15.3125
1511883994541817,-4.25,82.5,12.6875
1511883994563411,-6.8125,91.125,11.1875
1511883994579482,-11.1875,97.625,9.75
1511883994601539,-15.75,101,7.875
1511883994622617,-22.9375,98.625,6.3125
1511883994639641,-29.625,90.875,4
1511883994662226,-27.5625,81.875,1.875
1511883994682814,-18.125,73.625,-1.8125
1511883994699827,-5.625,69.75,-6.3125
1511883994721886,-3.125,65.0625,-10.8125
1511883994742943,-17.25,59.25,-14.25
1511883994759015,-38.25,55.125,-16.875
1511883994781604,-51.75,54.5625,-19.6875
1511883994802627,-49.6875,55.5,-20.9375
1511883994818676,-41.8125,55.375,-23.5625
1511883994841731,-34,54.1875,-28.75
1511883994863344,-30.3125,51.125,-33.1875
1511883994878854,-20.3125,48.3125,-37.375
1511883994901915,-16.0625,46.3125,-39.5625
1511883994922999,-18.875,44.9375,-42.375
1511883994939042,-22.75,42.625,-45.375
1511883994962130,-28.5625,38.6875,-46.4375
1511883994984194,-23.1875,37.9375,-49.6875
1511883995005273,-22.625,35.3125,-51.5
1511883995022321,-30.9375,34,-53.5625
1511883995044350,-29.625,30.875,-53.6875
1511883995058946,-20,27.5,-53.8125
1511883995082043,-9.75,27.25,-54.5
1511883995104099,-11.25,24.75,-53.8125
1511883995125131,-13.5625,20.5625,-51.6875
1511883995142200,-10.6875,17.375,-50.125
1511883995164797,-7.6875,18.75,-50.8125
1511883995185889,-2.9375,16.5625,-47.3125
1511883995201931,-3.4375,14.75,-45.5625
1511883995223989,-7,16.125,-44.4375
1511883995245066,-10.125,17.4375,-44.125
1511883995262092,-6.875,18,-45.1875
1511883995284297,-6.1875,17.4375,-40.625
1511883995305348,-8.5625,18.4375,-39.1875
1511883995322368,-12.8125,18.5625,-40.125
1511883995344426,-19.1875,14.4375,-37.9375
1511883995365492,-10.4375,10.875,-38.9375
1511883995382071,-3.5625,9.5,-40.75
1511883995404208,-1.5625,8.125,-43.125
1511883995425203,-5.1875,4.3125,-42.4375
1511883995442232,-4.4375,0.6875,-45.0625
1511883995464797,11.9375,-0.9375,-51.0625
1511883995485413,16,-3.6875,-54.6875
1511883995501455,4.0625,-8.875,-54.375
1511883995524516,8.75,-10.1875,-59.5
1511883995545571,37.875,-9.75,-66.25
1511883995562169,47.5,-13.4375,-69.4375
1511883995584289,36.625,-17.375,-71.3125
1511883995605344,48.375,-19.9375,-76.0625
1511883995622390,70.125,-24.1875,-81.125
1511883995644449,84.6875,-28.8125,-82.3125
1511883995665505,77.125,-36.125,-82.3125
1511883995681551,73.625,-40.3125,-87.5
1511883995704611,80.6875,-44.1875,-90.625
1511883995725667,83.3125,-47.375,-87.6875
1511883995741711,63.4375,-49.4375,-84.4375
1511883995764774,34.1875,-48.75,-80.1875
1511883995785406,21.75,-44.8125,-75.1875
1511883995801448,22.0625,-39.625,-67
1511883995824509,19.5,-34.5,-58.9375
1511883995845579,11.0625,-28.125,-48.0625
1511883995861634,4.9375,-21.75,-38.3125
1511883995884582,4,-14.875,-28.875
