timestamp,x,y,z
1511884172467565,0.478516,-0.316406,-0.918945
1511884172490731,0.437012,-0.334961,-0.944824
1511884172505361,0.365723,-0.284668,-0.972656
1511884172530425,0.324707,-0.279297,-0.961914
1511884172550597,0.325195,-0.302734,-0.946777
1511884172565522,0.333984,-0.310547,-0.919922
1511884172589272,0.335449,-0.290527,-0.91748
1511884172636768,0.296387,-0.291016,-0.937012
1511884172636768,0.299805,-0.331543,-0.929199
1511884172652805,0.283203,-0.368164,-0.897949
1511884172671864,0.273926,-0.413086,-0.895508
1511884172686143,0.298828,-0.407227,-0.879883
1511884172747896,0.253906,-0.384766,-0.894043
1511884172748896,0.305664,-0.39209,-0.893555
1511884172749898,0.30957,-0.382813,-0.888184
1511884172768948,0.300293,-0.388672,-0.892578
1511884172791511,0.287598,-0.380859,-0.891602
1511884172805075,0.277344,-0.359863,-0.894043
1511884172828111,0.296387,-0.316895,-0.901855
1511884172850169,0.369629,-0.322754,-0.853516
1511884172865233,0.255371,-0.358887,-0.891113
1511884172887826,0.206543,-0.330566,-0.974121
1511884172910487,0.239746,-0.364258,-0.947754
1511884172925517,0.333008,-0.393555,-0.931152
1511884172947552,0.373047,-0.393555,-0.878418
1511884172970640,0.333984,-0.430176,-0.861816
1511884172985682,0.344238,-0.449707,-0.849609
1511884173016264,0.346191,-0.547363,-0.886719
1511884173030303,0.304688,-0.62207,-0.95752
1511884173045316,0.255371,-0.642578,-0.974609
1511884173067373,0.248535,-0.680176,-0.974609
1511884173090463,0.256836,-0.697266,-0.977051
1511884173105508,0.256348,-0.754883,-1.00049
1511884173127536,0.251953,-0.788574,-0.986328
1511884173150625,0.285645,-0.802246,-0.941895
1511884173172658,0.311523,-0.777832,-0.918457
1511884173188230,0.313477,-0.745117,-0.927246
1511884173210762,0.299316,-0.724609,-0.912598
1511884173224821,0.231445,-0.774902,-0.933105
1511884173247861,0.147461,-0.82373,-0.946777
1511884173269919,0.0976563,-0.918457,-0.919434
1511884173285489,0.0581055,-0.909668,-0.889648
1511884173308047,0.0410156,-0.950684,-0.860352
1511884173330084,-0.00976563,-1.02637,-0.811523
1511884173345160,-0.0424805,-1.0542,-0.789551
1511884173368214,-0.0571289,-1.03271,-0.785156
1511884173390778,-0.0571289,-0.981934,-0.763672
1511884173404908,-0.0488281,-0.911133,-0.705566
1511884173427950,-0.0893555,-0.896973,-0.644531
1511884173449998,-0.138672,-0.907227,-0.576172
1511884173465066,-0.169434,-0.915039,-0.53125
1511884173488119,-0.188477,-0.879395,-0.51416
1511884173509838,-0.196289,-0.77832,-0.492188
1511884173525872,-0.224121,-0.691895,-0.465332
1511884173547932,-0.251953,-0.666504,-0.422363
1511884173570064,-0.260742,-0.612305,-0.378418
1511884173585517,-0.299316,-0.619141,-0.395996
1511884173607762,-0.351074,-0.629395,-0.424805
1511884173630822,-0.40625,-0.634766,-0.458496
1511884173645040,-0.446289,-0.59668,-0.512207
1511884173667922,-0.491211,-0.592285,-0.495605
1511884173690488,-0.469238,-0.535156,-0.541504
1511884173705871,-0.430664,-0.483398,-0.563477
1511884173730736,-0.384277,-0.48291,-0.577637
1511884173749816,-0.314941,-0.466309,-0.547363
1511884173767834,-0.270508,-0.388184,-0.533203
1511884173789422,-0.249023,-0.316895,-0.472168
1511884173810029,-0.342285,-0.248047,-0.434082
1511884173828058,-0.46582,-0.228516,-0.392578
1511884173849107,-0.538574,-0.44873,-0.398926
1511884173870190,-0.49707,-0.651367,-0.495117
1511884173888213,-0.409668,-0.735352,-0.654297
1511884173909270,-0.428223,-0.611328,-0.71875
1511884173930353,-0.431641,-0.510254,-0.710449
1511884173948397,-0.482422,-0.530762,-0.652832
1511884173970433,-0.52832,-0.589844,-0.637695
1511884173990490,-0.500488,-0.696289,-0.595703
1511884174008540,-0.496582,-0.753418,-0.615723
1511884174030599,-0.487793,-0.749512,-0.640137
1511884174050652,-0.496094,-0.726074,-0.63916
1511884174068724,-0.486328,-0.705566,-0.633789
1511884174090763,-0.47998,-0.70459,-0.650879
1511884174109841,-0.467285,-0.713379,-0.643066
1511884174127923,-0.464355,-0.698242,-0.645508
1511884174150980,-0.492676,-0.696289,-0.604004
1511884174170000,-0.472656,-0.727539,-0.587402
1511884174188599,-0.466309,-0.728027,-0.565918
1511884174210649,-0.463379,-0.69043,-0.554199
1511884174230703,-0.468262,-0.706055,-0.540039
1511884174247749,-0.462402,-0.705078,-0.51416
1511884174270836,-0.441895,-0.736328,-0.47998
1511884174290410,-0.456055,-0.73877,-0.452148
1511884174308142,-0.480469,-0.720703,-0.420898
1511884174330194,-0.447754,-0.774902,-0.384766
1511884174350274,-0.421387,-0.803223,-0.375
1511884174372312,-0.401855,-0.787598,-0.355469
1511884174390886,-0.441406,-0.790527,-0.321777
1511884174411414,-0.476563,-0.795898,-0.305176
1511884174432497,-0.461426,-0.869141,-0.262207
1511884174450518,-0.44873,-0.85498,-0.229004
1511884174470599,-0.452148,-0.876953,-0.207031
1511884174493166,-0.482422,-0.894043,-0.200684
