timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1511884172642864,-2,0,-3,-4,15,53,4,-5
1511884172642864,2,2,5,1,-8,-13,-3,0
1511884172643761,7,5,2,4,-27,-42,1,6
1511884172643761,-4,-2,-8,-6,23,48,2,-3
1511884172644764,-1,-7,-4,-2,-29,-68,-4,6
1511884172644764,-8,-5,4,5,50,76,1,-12
1511884172649777,4,6,-5,-3,-3,4,3,1
1511884172649777,0,-6,-5,-13,-17,-45,-1,3
1511884172653788,-3,2,48,0,-11,-6,-8,-5
1511884172653788,-2,10,-15,-9,15,51,5,-1
1511884172663814,1,19,25,7,-3,-20,-4,2
1511884172663814,3,-1,10,4,-6,5,2,2
1511884172671864,0,0,2,6,3,-26,-3,3
1511884172671864,-1,5,13,-1,-18,-18,2,0
1511884172680584,-3,0,52,4,12,32,0,-4
1511884172680584,5,10,-1,0,-5,-16,-1,2
1511884172694776,-1,7,18,4,7,4,1,-2
1511884172694776,1,8,-28,-1,-13,-15,-4,-1
1511884172708894,-5,-8,-3,-5,12,1,-3,-4
1511884172708894,0,-7,16,7,2,2,0,-1
1511884172750901,-6,-3,-41,-12,-19,-4,-1,-4
1511884172750901,0,1,-50,-6,10,0,0,1
1511884172753912,4,12,8,4,-24,-29,3,4
1511884172753912,4,15,-4,-7,10,35,0,-2
1511884172754912,-7,-42,22,-2,-2,-7,-3,-4
1511884172754912,-1,-6,-14,0,-5,-5,-2,2
1511884172755915,-1,5,13,1,-4,2,0,1
1511884172755915,2,3,66,9,-1,0,1,-1
1511884172759928,4,9,-20,-6,7,3,-1,3
1511884172759928,-4,-5,-5,0,-16,-6,-2,-5
1511884172768948,2,-4,2,2,7,-1,-1,1
1511884172768948,-4,36,42,-3,-4,-9,-4,-3
1511884172774965,0,-16,-18,9,21,4,1,-1
1511884172774965,-2,-5,19,-12,-21,10,-2,-1
1511884172792013,-5,9,-38,-9,-6,1,-2,-4
1511884172792013,-3,-13,-23,-1,10,-5,0,-1
1511884172798060,6,11,17,2,-7,-5,3,2
1511884172798060,-7,-9,-9,0,9,-10,-1,-3
1511884172821090,2,-2,13,1,-1,5,-3,-5
1511884172821090,-2,-15,-26,-3,-8,0,2,0
1511884172822093,1,5,3,3,0,-7,-2,0
1511884172822093,3,2,47,4,-1,0,2,-1
1511884172836130,-5,-9,-5,-2,8,11,-1,1
1511884172836130,0,-12,-27,1,1,-11,1,1
1511884172837134,-1,23,28,-3,-4,-1,-3,-3
1511884172837134,-1,5,9,0,2,3,-1,-2
1511884172858217,0,-8,-7,-1,5,0,1,-2
1511884172858217,-2,-11,-20,-4,-10,-5,0,1
1511884172859193,-1,8,39,8,1,6,1,1
1511884172859193,-7,-6,-19,-5,-1,0,1,0
1511884172881308,20,13,11,-2,3,0,1,3
1511884172881308,2,29,15,7,2,0,0,3
1511884172881783,-5,-11,-21,0,2,3,0,-1
1511884172881783,-2,4,9,3,4,-7,1,1
1511884172895440,-1,7,-1,2,1,6,0,0
1511884172895440,-4,-7,-9,-6,-8,-12,-4,-5
1511884172896443,11,13,-41,0,0,5,3,6
1511884172896443,2,3,-2,-3,-3,-2,0,-2
1511884172918475,-1,5,13,-1,4,0,-2,0
1511884172918475,-1,-13,-13,0,0,3,-1,0
1511884172919501,-5,-2,1,-4,-4,-5,-2,-4
1511884172919501,3,0,-2,3,1,1,1,0
1511884172940543,-8,-6,-9,-5,-2,-2,-2,-2
1511884172940543,-1,-6,-3,1,-1,-1,-2,-2
1511884172941535,-4,-4,4,-4,-1,-2,-3,-3
1511884172941535,3,1,-5,0,0,4,1,3
1511884172955573,-11,-6,6,-2,-11,-2,-7,-25
1511884172955573,5,6,-2,-1,4,-1,1,22
1511884172956576,2,-2,2,-2,-6,2,4,4
1511884172956576,2,4,-9,-3,-5,0,1,-11
1511884172978636,-7,1,-7,-6,-2,-4,-4,5
1511884172978636,3,0,-1,6,-14,-1,4,7
1511884172979666,-18,-24,-9,7,26,-1,-4,-12
1511884172979666,7,5,9,-18,-38,5,-3,-4
1511884173001224,-8,-25,-16,-5,3,-6,1,9
1511884173001224,0,7,5,3,8,2,-4,-12
1511884173001224,3,7,6,5,7,-2,-4,-6
1511884173001224,-6,-8,-8,-8,-10,-5,1,8
1511884173016264,0,-14,-4,2,4,14,16,10
1511884173016264,-6,-9,-3,-1,3,-18,-19,-13
1511884173023257,2,7,1,-13,-29,2,-1,0
1511884173023257,5,5,6,7,10,-8,-2,3
1511884173038297,2,7,2,5,7,3,-12,-5
1511884173038297,-7,1,0,-4,2,22,11,-37
1511884173039300,8,-16,-7,-1,-3,-13,22,56
1511884173039300,-3,5,7,7,6,-12,-10,-13
1511884173061357,4,-1,-7,-9,-1,-3,-4,12
1511884173061357,-8,-15,-6,1,34,6,-3,-30
1511884173061357,-2,10,7,0,-5,13,-36,-30
1511884173061357,9,-3,-3,-8,-18,2,49,53
1511884173075394,0,1,3,13,38,0,4,1
