timestamp,x,y,z
1511885738273378,-4.6875,8.25,-3.75
1511885738295439,-5,8.25,-4.125
1511885738320503,-4.5625,8.125,-3.5625
1511885738334543,-4.6875,8.375,-3.6875
1511885738355597,-4.625,8.5,-3.375
1511885738379823,-3.0625,7.8125,-3.5625
1511885738433898,-2.0625,6.875,-3.75
1511885738433898,0.6875,6.5,-3.4375
1511885738441830,3.3125,5.5625,-3.3125
1511885738455864,2.0625,3.875,-3
1511885738475954,2.125,2.3125,-2.9375
1511885738499980,2.875,1,-2.3125
1511885738544264,5.3125,-0.4375,-1.75
1511885738544264,7.125,-2.0625,-1.4375
1511885738558308,6,-3.375,0.3125
1511885738574311,6,-3.75,0.9375
1511885738597376,7.9375,-4.4375,1.1875
1511885738618543,8.375,-5,1.5625
1511885738634638,8.25,-5.625,1.75
1511885738656741,8,-5.1875,1.75
1511885738677800,7.375,-5.625,2.4375
1511885738694129,6.625,-5.8125,3.5625
1511885738717055,5.4375,-6.5,4.25
1511885738738112,3.375,-7.3125,5.25
1511885738754163,3.1875,-7.5625,6.1875
1511885738777218,2.875,-7.9375,7.0625
1511885738798274,2.25,-8.5,7.4375
1511885738814313,1.125,-9.375,8
1511885738837375,1.25,-10.1875,8.5
1511885738858615,3.0625,-11.6875,9.1875
1511885738881495,11,-15.5625,10.4375
1511885738896534,14,-19.25,12.0625
1511885738918609,11.9375,-18.9375,11.4375
1511885738934634,13.4375,-18.75,9.25
1511885738956716,12.8125,-20.8125,5.1875
1511885738977751,21.125,-24.25,0.0625
1511885738994794,24.9375,-30.6875,-5.125
1511885739016979,27.6875,-33.625,-8.9375
1511885739039036,27.625,-32.4375,-15.125
1511885739054197,20.6875,-34.9375,-16.25
1511885739077256,17.4375,-39.25,-16.4375
1511885739099313,29.6875,-49.875,-15.875
1511885739114593,49.625,-62.1875,-12.875
1511885739136652,58.6875,-68.5625,-5.5
1511885739159713,62.8125,-76,1.625
1511885739174920,59.1875,-86.3125,11.5625
1511885739196812,58.125,-99.5,26.4375
1511885739219873,64.0625,-107.938,42.6875
1511885739234917,57.0625,-114.188,60.5
1511885739256972,39.75,-128.563,82.375
1511885739279057,19.1875,-142.813,97.6875
1511885739301093,1.75,-158.375,109.688
1511885739317143,-8,-172.375,121.875
1511885739339196,-11.5,-178.875,139.188
1511885739360246,-15.375,-177.313,159.25
1511885739377453,-26.375,-179.063,173.375
1511885739399350,-38.5625,-184.063,181.125
1511885739420601,-41.5625,-184.688,184.063
1511885739437548,-52.9375,-182.188,184.438
1511885739459549,-76.8125,-184.5,183.5
1511885739480606,-98.8125,-187.938,180.25
1511885739496873,-99.1875,-186.063,171.188
1511885739519933,-94.1875,-173.938,158.75
1511885739541993,-85.8125,-155.938,149.813
1511885739565055,-75.75,-133.375,127.875
1511885739579097,-69.5,-116.75,93.875
1511885739593132,-71.25,-111.063,67.4375
1511885739617193,-76.6875,-103.75,55.625
1511885739638251,-86.5625,-91.9375,53.6875
1511885739661425,-93.3125,-78.3125,49.75
1511885739675466,-91.5625,-67.6875,35
1511885739698655,-80.6875,-59.625,21.625
1511885739721027,-59.125,-56.625,15.75
1511885739736062,-46.0625,-56.3125,20.9375
1511885739759029,-40.375,-54.75,26.875
1511885739781033,-37.0625,-52,26.75
1511885739804093,-29.3125,-48.6875,24.375
1511885739819132,-17.75,-47.25,22.1875
1511885739841303,-10.4375,-44.4375,22.3125
1511885739855231,-11.6875,-40.125,26.9375
1511885739879292,-8.9375,-34.25,29.8125
1511885739901532,-1.8125,-30.1875,28.375
1511885739915391,-1,-27.5625,24.75
1511885739938453,-0.6875,-23.75,21.75
1511885739961513,-1.4375,-17,21.3125
1511885739975551,2.25,-9,15.375
1511885739997735,9.6875,-6.6875,6.8125
1511885740020915,11.875,-5.0625,4.5
1511885740036007,10.9375,1.1875,5.875
1511885740058955,9.0625,11.75,1.75
1511885740081036,10.3125,15.75,-7.0625
1511885740095073,3.75,17.125,-11.25
1511885740118134,-0.6875,21.0625,-10.8125
1511885740142197,3.8125,25.875,-15.0625
1511885740155233,7.75,27.4375,-19.6875
1511885740178294,5.5625,30.5,-22.4375
1511885740201358,6.5625,34.6875,-25.9375
1511885740215395,10.1875,37.1875,-28.125
1511885740238506,2.5,35.1875,-29.6875
1511885740261558,-5.875,34.3125,-30.0625
1511885740275598,-5.75,36,-31.375
1511885740297853,3.9375,37.625,-34.125
1511885740320797,12.1875,35.1875,-35.5
1511885740335964,12.3125,32.75,-33.3125
1511885740358025,10.875,30.9375,-29.875
1511885740381086,3.625,31.4375,-30
1511885740395123,-4.9375,31.125,-33.5
1511885740418206,-2.875,28.125,-34.0625
1511885740441413,9.1875,26.625,-31.375
1511885740455281,18.8125,27.25,-28.6875
1511885740478341,15.375,30.625,-25.9375
1511885740501404,3.25,32.3125,-23.8125
1511885740515440,-3.75,35.3125,-23.25
1511885740537567,-3,43.375,-27.4375
1511885740561635,0.25,57.1875,-30.9375
1511885740575853,-4.3125,71,-32.25
1511885740597958,2.25,74.5,-35.3125
1511885740621022,33.625,75.9375,-41.5
1511885740635399,60.5,85.4375,-52.0625
1511885740658356,75.0625,99.6875,-61.8125
1511885740681417,59.6875,120.438,-68.9375
1511885740695451,48,128.063,-89.1875
1511885740718556,67.5,135.813,-103.5
1511885740741579,95.3125,150.25,-108.063
1511885740755613,76.9375,169.188,-111.438
1511885740793712,58.875,174.25,-133.563
1511885740809755,38.75,178,-152.813
1511885740818778,18.75,181.563,-151
1511885740837993,8.75,174.438,-146.938
1511885740860891,27.0625,163.563,-153.063
1511885740875934,32.75,161.75,-154.375
1511885740897989,35.375,153.188,-145.125
1511885740921233,44.9375,138.625,-139.25
1511885740935091,31.0625,124.688,-127.125
1511885740958153,14.3125,106.875,-106
1511885740981214,19.5625,92.5625,-81.75
1511885740995339,35.4375,77.125,-62.8125
1511885741018443,20.0625,54.125,-47.3125
1511885741041504,-1.6875,37.8125,-30.3125
1511885741055499,-7.125,29.5,-14.8125
1511885741077806,-3.5,17.125,-2.875
1511885741100871,-3.75,4.625,10.6875
1511885741115911,-0.25,-1.125,17.5
1511885741137969,1.3125,-4.125,18.625
1511885741161208,-0.875,-9.625,16.8125
1511885741175067,0.9375,-12.25,17.3125
1511885741198129,-0.1875,-12.875,18.875
1511885741220193,1.6875,-13.8125,20
1511885741235333,4.125,-14.4375,18.125
1511885741258289,2.8125,-14.75,16.5
1511885741281350,1.25,-13.75,15.5625
1511885741295414,-0.125,-11.875,14.75
1511885741318479,-3.9375,-9.8125,13.25
1511885741341691,-7.25,-8.3125,11.875
1511885741355700,-7.9375,-7.0625,10.3125
1511885741378004,0.125,-8.4375,8.5
1511885741400224,6.375,-7.25,6.375
1511885741415233,3.9375,-5.3125,4.375
1511885741438328,-2.3125,-4.4375,2.5625
1511885741460341,-5.75,-3.6875,2
1511885741475385,-5.1875,-3.625,0.875
1511885741498468,-2.8125,-2.8125,0.375
1511885741520539,-2.8125,-2,0
1511885741535542,-0.625,-1.375,-0.6875
1511885741557722,-0.8125,-1.1875,0.25
1511885741580783,-3.0625,-1.6875,1.3125
1511885741596010,-2.9375,-1.5625,1.5
1511885741618124,-0.1875,-0.75,2.0625
1511885741640062,-1.375,-1.0625,2
1511885741664135,-4,-1.125,2.5625
1511885741678160,-3.8125,-0.8125,2.125
1511885741700349,-1.1875,-0.625,2.8125
1511885741715387,0.125,-0.25,2.9375
1511885741738537,-2.5625,-0.75,2.9375
1511885741760637,-4.375,-1.125,2.9375
1511885741775682,-1.25,-1.125,2.8125
1511885741797906,0.1875,-1.0625,3.25
1511885741820968,-0.625,-1.3125,3.375
1511885741835006,-3.0625,-0.9375,3.3125
1511885741858066,-2.8125,-0.375,2.8125
1511885741880125,-2.875,-1,2.625
1511885741895165,-2.5,-1,3.125
1511885741918475,-0.8125,-0.9375,3.25
1511885741940409,1.6875,-0.875,2.3125
1511885741955445,-0.4375,-0.8125,1.9375
1511885741978508,-2.875,-1,2.25
1511885742000569,-1.8125,-0.3125,2.5
1511885742015609,-0.25,0.0625,2.3125
1511885742037668,-0.75,0.3125,2.1875
1511885742060767,-2.8125,0,1.6875
1511885742075807,-3.5625,0.1875,1.75
1511885742097870,-1.25,0,1.75
1511885742120886,0.3125,0.25,2.1875
1511885742136929,-0.625,0.625,2
1511885742158027,-3.1875,0.1875,1.8125
1511885742180045,-2.8125,-0.6875,1.8125
1511885742197092,0,-0.0625,1.3125
1511885742218148,-0.375,0.3125,0.875
1511885742240626,-1.6875,0.5,0.875
1511885742256717,0.6875,0.0625,0.5
1511885742277658,1.625,0.625,-0.5
1511885742300868,0.1875,0.25,-1.375
1511885742317003,-1,-0.6875,-1.0625
1511885742338062,0.5625,-0.6875,-0.8125
1511885742360290,0.25,-0.625,-0.625
1511885742377395,0.4375,-0.375,0
1511885742398346,1.0625,-0.8125,0.5625
1511885742420497,2,-1.125,1.0625
1511885742437498,0.8125,-1.3125,1.6875
1511885742458529,0,-0.8125,1.875
1511885742480565,0.375,-0.75,2.1875
1511885742496687,-0.75,-0.8125,2.3125
1511885742517850,0.625,-0.8125,2.3125
1511885742540912,1.5,-1.25,2.375
1511885742556847,1.625,-1.4375,2.875
1511885742578144,-1.8125,-2.0625,4.25
1511885742600498,-2.875,-2.8125,6.375
1511885742617450,-3.625,-3.5,7.5
1511885742638517,-3.5,-4.75,10.125
1511885742660787,1.875,-6.5,13.9375
1511885742682848,9.375,-11.3125,18.6875
1511885742697888,12.0625,-12.875,23.5
1511885742721037,9.625,-13.125,25.625
1511885742743125,2.125,-15.875,26.75
1511885742758080,0.6875,-20.5,30.125
1511885742780142,9.125,-23,36.9375
1511885742803207,13.25,-23.4375,44
1511885742818243,5.6875,-27.6875,54.1875
1511885742840304,-6.5625,-38.125,64
1511885742863361,-1.125,-49.375,74.8125
1511885742878402,8.625,-57.9375,87.125
1511885742900462,0.875,-64.875,96.0625
1511885742923529,-13.875,-76,102.25
1511885742938614,-21.6875,-85.0625,109.688
1511885742960623,-25,-89.75,113.25
1511885742982680,-26.375,-94.6875,119
1511885742997721,-29.0625,-100.313,119.75
1511885743020907,-33.5,-106.875,117.75
1511885743043162,-36.875,-111.188,120.938
1511885743067122,-40.5625,-112.125,123.813
1511885743080384,-44.5,-114.938,118.563
1511885743103484,-49.625,-116.625,111.313
1511885743119509,-50.25,-113.75,106.188
1511885743140758,-47.1875,-107.875,102.563
1511885743162764,-43.9375,-103,97.625
1511885743179767,-44.75,-101.125,93.375
1511885743200823,-53.6875,-99.1875,88.5625
1511885743222879,-58.9375,-93.6875,84.375
1511885743240056,-59.9375,-84.875,76.375
1511885743260097,-55.625,-78.125,64
1511885743283042,-49.375,-74.5,56
1511885743299122,-48.1875,-69.1875,52.9375
1511885743320183,-55.25,-61.0625,49.6875
1511885743343322,-57.625,-55.5,44.0625
1511885743359241,-58.875,-52.875,36.625
1511885743380300,-59.125,-51.6875,25.1875
1511885743403359,-55.8125,-46.125,18.75
1511885743419402,-43.25,-34.1875,14.75
1511885743440566,-38.3125,-25.0625,8.875
1511885743462846,-46.8125,-29.5625,0.625
1511885743479797,-53.625,-34.3125,-3.125
1511885743500852,-44.5625,-29.125,-2
1511885743522992,-30.5625,-26.4375,-3.6875
1511885743540048,-26,-27.125,-4.0625
1511885743560076,-17.625,-32.375,-5.5
1511885743583263,-12.5,-34.6875,-4.5
1511885743599306,-8.4375,-31.5,-2.5
1511885743620365,-6.875,-24.125,-2.5
1511885743643537,-2.6875,-19.8125,-6.375
1511885743659466,-1.8125,-19.3125,-9.75
1511885743680660,-4,-18.125,-9
1511885743702749,-5.4375,-14.0625,-6.375
1511885743719798,-2.9375,-9.125,-7.625
1511885743740964,-2.9375,-6.625,-8.1875
1511885743763073,-4.5,-4,-6.5625
1511885743779112,-3.1875,-1.125,-5.8125
1511885743800369,-4,-0.9375,-4.1875
1511885743823324,-4.125,-0.25,-4.9375
1511885743839353,-1.9375,2.5625,-6.4375
1511885743860517,-1.625,5.5625,-6.25
1511885743883467,2,6.6875,-7.0625
1511885743899508,5.9375,6.6875,-7.4375
1511885743920759,6.6875,7.9375,-8.3125
1511885743942926,-1.3125,10.875,-8.25
1511885743959795,-7.8125,11.875,-9.3125
1511885743980007,-3.6875,12.625,-10.5625
1511885744003030,7.75,13.1875,-10
1511885744019076,5.8125,14.0625,-10.1875
1511885744042135,1.625,14.75,-11.3125
1511885744063194,3.75,16.8125,-11.9375
1511885744079238,10.6875,18.25,-13.5625
1511885744102297,11.8125,20.4375,-16.3125
1511885744123357,7.6875,23.5625,-17.625
1511885744139394,10.125,26.9375,-18.875
1511885744161452,15.8125,30.125,-20.3125
1511885744182615,15.625,34.3125,-22.375
1511885744206706,9.375,37.4375,-24.625
1511885744221715,7.1875,40.375,-24.625
1511885744242949,12.5,43.625,-23.5625
1511885744259928,17.3125,46.8125,-22.9375
1511885744287895,20.4375,49.125,-22.5
1511885744303086,14.75,56.875,-22.875
1511885744319066,8.0625,66.1875,-26.375
1511885744349054,1.1875,74.9375,-29.25
1511885744363094,3,78,-29.375
1511885744379198,21.3125,82.25,-30.75
1511885744402200,38.3125,86.875,-39.625
1511885744423507,44.125,93.5625,-45.6875
1511885744439553,48.6875,104.875,-48.8125
1511885744461620,46.75,114.063,-56.125
1511885744482711,52.25,125.938,-72.3125
1511885744499786,46.625,137,-87.6875
1511885744521845,41.3125,143.313,-91.9375
1511885744543239,75.375,141.063,-95.4375
1511885744583252,106.25,152.313,-108.75
1511885744584231,66.75,172.375,-121.625
1511885744618370,18.625,167.875,-132.563
1511885744635484,23.625,153.25,-135.625
1511885744643386,31,160.813,-134
1511885744663451,17.375,155.5,-133
1511885744685679,24.25,135.438,-134.25
1511885744701785,27.8125,113.313,-118.875
1511885744722970,23.9375,108.813,-97.5625
1511885744745344,16.875,90.0625,-81.3125
1511885744762289,11.5625,64.3125,-61.375
1511885744783341,19.8125,48.1875,-37.875
1511885744805400,19.75,38.1875,-20.0625
1511885744821445,19.625,21.4375,-9.3125
1511885744842747,6.0625,6,0.0625
1511885744865811,0.5,-2.3125,9.375
