timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1511885843882563,-1,-1,-2,-2,-1,-2,0,-2
1511885843882563,1,-1,-2,-2,-1,-2,-1,0
1511885843883566,0,-1,0,0,2,1,0,-1
1511885843883566,-2,1,-5,-2,-2,0,-2,-1
1511885843884569,-2,0,2,-1,-1,-2,-2,-1
1511885843884569,-1,-1,2,-4,-1,-5,1,-1
1511885843888578,1,-1,-7,-6,-1,4,0,-1
1511885843888578,-2,1,17,14,0,-2,-1,1
1511885843894595,-2,-2,-27,-3,1,-2,-2,-1
1511885843894595,-1,-2,4,5,-2,0,-3,0
1511885843905626,-1,0,0,-7,-4,-3,0,-2
1511885843905626,-1,-1,11,-4,-2,1,3,-2
1511885843909638,2,-1,-12,6,-1,0,0,1
1511885843909638,0,-1,2,-6,2,3,-1,0
1511885843925678,1,0,-5,-14,-3,-4,1,1
1511885843925678,0,2,3,13,4,3,-1,-2
1511885843933700,-1,0,6,1,-3,1,0,-1
1511885843933700,-2,0,-5,-1,-3,-4,0,-2
1511885843955757,-1,-3,4,4,0,-1,-2,0
1511885843955757,-1,-3,-11,-13,0,2,-2,-1
1511885843955757,-1,0,5,-5,-2,-4,0,0
1511885843955757,0,0,-5,-3,2,6,0,-2
1511885844001934,-1,-1,-3,1,-1,-5,1,-1
1511885844001934,0,1,3,0,-4,-2,-4,-1
1511885844002887,1,-1,-2,-2,0,4,0,0
1511885844002887,-1,0,2,1,1,0,-1,0
1511885844003887,-1,-2,2,-14,-3,-10,-2,-1
1511885844003887,-1,1,0,18,4,7,2,-1
1511885844006999,-2,-1,-13,-7,-3,-3,-2,-1
1511885844006999,-2,-1,3,2,-2,0,0,-1
1511885844014916,0,-1,-4,-4,-1,1,-1,-2
1511885844014916,-2,-2,1,-6,1,-1,-2,-2
1511885844023945,0,1,6,-7,-3,-3,1,0
1511885844023945,-1,-3,-8,-1,-1,3,1,-1
1511885844029223,1,1,5,1,0,2,0,0
1511885844029223,-1,-2,-12,-2,-2,-2,0,0
1511885844046150,-2,-1,-1,1,2,-4,0,-1
1511885844046150,0,-1,-1,-8,-1,-2,-2,-1
1511885844052206,0,-1,0,14,1,2,-1,-1
1511885844052206,0,0,1,-4,-2,-2,0,0
1511885844075361,-1,-1,-2,-4,-4,-2,-1,1
1511885844075361,1,-2,-1,0,5,-4,-1,-1
1511885844075361,-2,1,10,4,2,2,0,1
