timestamp,x,y,z,w
1511885843721989,-0.227722,-0.0547485,-0.965881,-0.111145
1511885843745155,-0.227539,-0.0549316,-0.965942,-0.110901
1511885843768108,-0.227234,-0.0547485,-0.966003,-0.11084
1511885843783148,-0.227173,-0.0547485,-0.966003,-0.11084
1511885843804208,-0.227112,-0.0548096,-0.966003,-0.11084
1511885843828270,-0.226929,-0.0550537,-0.966064,-0.110657
1511885843873710,-0.226685,-0.0552368,-0.966125,-0.110413
1511885843882563,-0.226318,-0.0554199,-0.966248,-0.110352
1511885843887576,-0.225952,-0.0551758,-0.96637,-0.110291
1511885843903618,-0.225525,-0.0549316,-0.966431,-0.110229
1511885843925678,-0.225037,-0.0551147,-0.966553,-0.110168
1511885843939841,-0.22467,-0.055481,-0.966675,-0.110107
1511885843962776,-0.224365,-0.0558472,-0.966675,-0.110107
1511885843991855,-0.224121,-0.0559082,-0.966736,-0.110107
1511885844004889,-0.22406,-0.0559692,-0.966736,-0.110107
1511885844023053,-0.223999,-0.0560303,-0.966736,-0.110168
1511885844045184,-0.223999,-0.0563354,-0.966797,-0.109924
1511885844059333,-0.223999,-0.0564575,-0.966797,-0.109741
1511885844082338,-0.223877,-0.0563354,-0.966858,-0.109558
1511885844104398,-0.223694,-0.0560303,-0.966919,-0.109314
1511885844119436,-0.22345,-0.0561523,-0.96698,-0.109131
1511885844141497,-0.223145,-0.0562134,-0.967102,-0.108948
1511885844164593,-0.222961,-0.0560303,-0.967163,-0.108765
1511885844179753,-0.222717,-0.0562134,-0.967224,-0.108459
1511885844201732,-0.222534,-0.0562744,-0.967285,-0.108276
1511885844224866,-0.222351,-0.0559692,-0.967407,-0.108093
1511885844239926,-0.222168,-0.0556641,-0.967468,-0.107788
1511885844262076,-0.221985,-0.0552979,-0.96759,-0.107483
1511885844284187,-0.221924,-0.0551147,-0.967651,-0.107056
1511885844299252,-0.221924,-0.0548096,-0.967712,-0.106689
1511885844322396,-0.221924,-0.0545044,-0.967773,-0.106384
1511885844344644,-0.221924,-0.0542603,-0.967834,-0.105957
1511885844359533,-0.222168,-0.0543823,-0.967773,-0.105713
1511885844381557,-0.22229,-0.0543213,-0.967773,-0.105652
1511885844404815,-0.222412,-0.0540161,-0.967773,-0.105164
1511885844419088,-0.222595,-0.0533447,-0.967896,-0.10437
1511885844442150,-0.222961,-0.0527344,-0.967957,-0.10321
1511885844464210,-0.22345,-0.0516968,-0.968018,-0.102112
1511885844479367,-0.22406,-0.0501099,-0.968079,-0.100952
1511885844502338,-0.224548,-0.0484619,-0.968201,-0.0996704
1511885844524364,-0.225098,-0.0475464,-0.968262,-0.0983276
1511885844539408,-0.225708,-0.046814,-0.968201,-0.0973511
1511885844561599,-0.226013,-0.0459595,-0.968262,-0.0967407
1511885844584606,-0.226135,-0.0449829,-0.968323,-0.0961304
1511885844599653,-0.226135,-0.0442505,-0.968445,-0.0955811
1511885844621994,-0.226318,-0.0440063,-0.968445,-0.0952148
1511885844644931,-0.226379,-0.0437012,-0.968445,-0.0950928
1511885844659091,-0.226379,-0.0429077,-0.968506,-0.0949707
1511885844682074,-0.226501,-0.0426025,-0.968506,-0.0947876
1511885844704089,-0.226624,-0.0431519,-0.968445,-0.0946655
1511885844719153,-0.226868,-0.0441284,-0.968323,-0.0948486
1511885844742461,-0.227051,-0.0446777,-0.968262,-0.0950928
1511885844764375,-0.227051,-0.0448608,-0.968201,-0.0951538
1511885844779608,-0.226807,-0.0447388,-0.968262,-0.0951538
1511885844801473,-0.226379,-0.0443726,-0.968384,-0.0952148
1511885844824667,-0.225891,-0.0437622,-0.968506,-0.0952148
