timestamp,roll,pitch,yaw
1511885873137104,0.592324,-0.299968,3.12567
1511885873160176,0.56883,-0.321033,3.12979
1511885873175202,0.544122,-0.340667,3.13283
1511885873197266,0.517732,-0.36051,3.13596
1511885873220321,0.492475,-0.380177,3.13859
1511885873235361,0.470706,-0.399106,3.14003
1511885873287854,0.45067,-0.417279,3.14144
1511885873288746,0.431239,-0.434849,-3.13968
1511885873297769,0.412033,-0.452094,-3.13776
1511885873310803,0.391868,-0.46955,-3.13686
1511885873331859,0.371808,-0.487009,-3.13686
1511885873355924,0.354775,-0.503788,-3.13793
1511885873399139,0.340668,-0.52005,-3.14057
1511885873409065,0.330346,-0.534882,3.13827
1511885873415080,0.322823,-0.548014,3.13487
1511885873430174,0.319262,-0.559689,3.13178
1511885873453272,0.31848,-0.570049,3.12749
1511885873482349,0.31961,-0.57923,3.12154
1511885873498396,0.319466,-0.586838,3.11582
1511885873520799,0.31897,-0.592018,3.11176
1511885873543832,0.32034,-0.59528,3.10924
1511885873557871,0.321849,-0.597429,3.10609
1511885873580947,0.319933,-0.59902,3.10344
1511885873604118,0.316323,-0.60026,3.10204
1511885873619036,0.314167,-0.601059,3.10169
1511885873641123,0.313503,-0.601205,3.10097
1511885873664157,0.312171,-0.601379,3.10071
1511885873678190,0.310506,-0.601722,3.10157
1511885873701251,0.309971,-0.602082,3.10166
1511885873723441,0.309521,-0.60245,3.10071
1511885873738617,0.308594,-0.602902,3.09963
1511885873761712,0.308761,-0.603847,3.09891
1511885873783740,0.312085,-0.604765,3.09758
1511885873797779,0.31621,-0.605592,3.09538
1511885873820843,0.318415,-0.606409,3.09351
1511885873844051,0.320846,-0.607041,3.09212
1511885873857939,0.325532,-0.608576,3.09037
1511885873881001,0.331092,-0.610743,3.08847
1511885873904060,0.334887,-0.612185,3.08791
1511885873918097,0.341387,-0.612604,3.08682
1511885873941169,0.348799,-0.611297,3.08481
1511885873963217,0.355799,-0.6093,3.08268
1511885873978258,0.360736,-0.607137,3.08163
1511885874001319,0.365997,-0.603599,3.08131
1511885874023500,0.37505,-0.598998,3.08051
1511885874044678,0.386245,-0.593777,3.07938
1511885874061595,0.39357,-0.586709,3.0809
1511885874083652,0.398176,-0.576042,3.08486
1511885874104827,0.398074,-0.561983,3.09157
1511885874120873,0.393044,-0.546669,3.09979
1511885874143934,0.388185,-0.530821,3.1103
1511885874164963,0.382821,-0.513455,3.12421
1511885874181006,0.372159,-0.492782,-3.14086
1511885874204178,0.357161,-0.469824,-3.12083
1511885874224121,0.342282,-0.445424,-3.10045
1511885874241167,0.323961,-0.421099,-3.07986
1511885874263225,0.303892,-0.397428,-3.05832
1511885874284380,0.289883,-0.373588,-3.03305
1511885874301327,0.283764,-0.344681,-3.00649
1511885874323385,0.27564,-0.314892,-2.98181
1511885874344562,0.263637,-0.28912,-2.95753
1511885874361490,0.254391,-0.267153,-2.93291
1511885874389747,0.245379,-0.243762,-2.91027
1511885874406611,0.232059,-0.22204,-2.89174
1511885874411623,0.226082,-0.205654,-2.87516
1511885874433681,0.228114,-0.190607,-2.86184
1511885874456742,0.226083,-0.176943,-2.8523
1511885874471888,0.220884,-0.16466,-2.84648
1511885874493935,0.217595,-0.153336,-2.84427
1511885874516902,0.214233,-0.143343,-2.84552
1511885874531939,0.210013,-0.135207,-2.84998
1511885874554001,0.204964,-0.129772,-2.85828
1511885874577060,0.200699,-0.124999,-2.87227
1511885874592099,0.199386,-0.120236,-2.89176
