timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1512354308495839,2,0,4,3,0,-3,3,-1
1512354308495839,-4,-4,-3,-1,-1,3,-4,-1
1512354308495839,-1,0,3,1,0,0,-2,-2
1512354308495839,1,0,-3,0,3,-3,1,1
1512354308496839,-2,-2,-4,0,-1,-2,-1,0
1512354308496839,-1,-1,-1,-2,-1,-1,-2,-1
1512354308497839,1,0,0,2,1,1,1,3
1512354308497839,0,2,4,2,-2,0,2,-2
1512354308501839,-2,-2,-2,-1,3,0,-4,0
1512354308501839,3,-1,0,-6,-3,-6,-1,-1
1512354308516839,1,2,2,0,-2,-5,3,1
1512354308516839,-6,-4,-1,-3,-2,4,-6,-1
1512354308523839,2,-2,-5,-3,-2,-2,-2,1
1512354308523839,4,4,2,0,2,-1,4,-4
1512354308531839,-2,-2,-3,-3,-2,0,-1,-1
1512354308531839,0,-2,0,-1,-1,-1,1,-1
1512354308547839,-2,-1,-2,-3,1,2,2,-5
1512354308547839,1,-2,-2,0,-2,-3,1,2
1512354308553839,0,-4,-3,-3,1,1,-3,-4
1512354308553839,3,1,-2,1,-3,2,2,3
1512354308561839,-2,0,3,1,0,0,-1,-1
1512354308561839,-2,0,-2,0,-1,-1,-3,-2
1512354308576839,-3,-2,-2,-7,-2,1,0,-4
1512354308576839,0,2,1,2,2,1,-4,-3
1512354308616839,-5,-3,-2,1,0,5,-6,-3
1512354308616839,-2,-4,1,-4,1,-1,-3,-1
1512354308617839,0,3,2,3,1,-1,2,1
1512354308617839,-2,-1,-3,-2,-2,1,0,0
1512354308617839,1,3,-3,-5,-5,0,-1,2
1512354308617839,0,0,-2,-1,-1,-2,1,1
1512354308620839,0,-4,-3,3,-5,1,-1,0
1512354308620839,1,0,2,-6,0,-3,-5,-3
1512354308629839,-2,-2,0,1,2,-2,-1,-4
1512354308629839,1,-1,-1,2,-4,2,3,2
1512354308635839,-3,-2,3,-1,0,0,0,-3
1512354308635839,-1,-1,-4,0,1,0,0,0
1512354308644839,-2,1,0,-2,1,-3,1,1
1512354308644839,-2,-1,0,2,0,-2,-1,0
1512354308657839,0,-2,-2,0,2,2,-2,-1
1512354308657839,1,-1,-3,1,-1,-3,0,1
1512354308666839,5,-1,-2,1,2,0,0,1
1512354308666839,-3,-3,1,-2,0,2,-2,-5
1512354308672839,1,0,-1,-3,-1,-1,-3,0
1512354308672839,0,-2,-3,-2,-2,0,-1,-2
1512354308689839,-1,-2,-2,-4,-1,1,-2,0
1512354308689839,1,-3,-1,-3,-1,0,-2,2
1512354308695839,-2,-1,2,-2,-3,4,-1,-2
1512354308695839,0,0,-2,0,1,2,0,-1
1512354308704839,-4,0,0,0,2,-2,1,-2
1512354308704839,-1,0,0,1,0,-1,0,-1
1512354308717839,-1,-3,-5,-1,-1,1,-2,-3
1512354308717839,-3,-2,-2,-1,-2,3,1,-2
1512354308726839,-2,-1,1,-5,-6,-1,0,-1
1512354308726839,-2,1,-3,-2,-2,-1,1,1
1512354308732839,-1,-1,-4,-5,1,2,-1,-1
1512354308732839,-2,1,4,5,0,-1,-1,3
1512354308749839,-3,-1,-5,2,-3,1,-2,-1
1512354308749839,-2,-1,-3,-3,-1,1,-3,-2
1512354308755839,-1,-2,1,-2,0,-2,-3,-1
1512354308755839,-1,0,-2,-3,-3,-1,-1,-1
1512354308764839,-1,-3,3,-1,0,0,-1,0
1512354308764839,-1,0,-2,-2,-1,0,-1,-2
1512354308777839,-2,2,-1,2,1,-1,-1,-5
1512354308777839,1,-1,-1,-3,-2,0,0,0
1512354308786839,2,-1,-4,-4,-1,-2,0,0
1512354308786839,-3,0,-4,-5,-4,-4,0,-2
1512354308800839,0,2,2,1,-1,0,-1,-3
1512354308800839,-2,-3,3,3,4,0,-2,-2
1512354308809839,-1,-2,-1,3,-3,2,-4,-1
1512354308809839,-1,-1,-1,1,-3,0,-2,-2
1512354308815839,-1,-3,-1,-2,-1,0,-5,0
1512354308815839,0,0,0,0,1,-2,-2,0
1512354308824839,0,1,1,-2,2,-1,-1,-2
1512354308824839,0,1,-1,2,-1,-1,-2,0
1512354308837839,-2,-1,-2,-2,-1,0,-2,0
1512354308837839,0,2,1,-1,-2,-1,-3,-1
1512354308846839,1,-1,4,0,2,1,3,1
1512354308846839,-1,-3,-1,0,1,4,-4,1
1512354308860839,2,3,2,1,0,-2,-1,0
1512354308860839,-3,-3,-8,-3,-3,-2,-1,-4
1512354308869839,1,0,0,1,-2,-4,1,1
1512354308869839,-2,0,2,0,1,2,-1,-1
1512354308875839,-3,-3,-1,-3,-1,-1,-1,-4
1512354308875839,-1,-2,3,1,1,1,0,1
1512354308884839,-1,1,0,1,-1,-2,-2,-3
1512354308884839,0,-5,-1,-1,1,-2,0,-2
1512354308897839,-1,3,1,-2,-2,-3,4,0
1512354308897839,0,0,-2,-5,-1,0,-1,-3
1512354308906839,2,0,-1,-4,0,-2,-6,-3
1512354308906839,2,1,1,-2,0,0,0,1
1512354308920839,-1,0,-6,1,2,2,-1,1
1512354308920839,-1,2,-1,2,-5,-1,-1,-2
1512354308929839,0,-1,0,1,-2,1,1,1
1512354308929839,0,0,2,0,2,-3,-1,-2
1512354308935839,-1,-2,-7,-2,1,-1,-2,1
1512354308935839,-2,0,1,1,-1,1,-1,2
1512354308944839,-3,-2,-1,-2,0,-1,-1,-1
1512354308944839,0,-1,1,-1,1,2,0,-2
1512354308957839,1,-1,0,0,-3,-2,2,0
1512354308957839,-2,-2,2,1,3,1,-4,1
1512354308966839,-1,0,1,-1,0,1,-1,-6
1512354308966839,-2,2,-1,1,0,1,-3,0
1512354308980839,0,3,0,-1,-2,0,0,0
1512354308980839,1,-1,1,-6,-1,2,-1,-1
1512354308989839,-1,-2,-2,1,2,-2,2,0
1512354308989839,-3,0,0,-1,-2,0,0,0
1512354308995839,-5,-3,1,2,2,-1,-2,1
1512354308995839,-3,-1,0,1,0,-1,-2,-1
1512354309004839,0,1,3,0,-1,-3,-2,-1
1512354309004839,-2,-2,-6,-1,-5,0,0,-1
1512354309017839,2,-1,2,-3,0,0,0,0
1512354309017839,-2,-2,-1,1,-2,-2,0,-1
1512354309026839,-2,-3,3,0,1,0,-1,0
1512354309026839,-1,1,-3,-1,-1,-1,0,-1
1512354309040839,1,0,0,0,-3,0,-4,1
1512354309040839,-1,2,-1,0,-1,-3,1,0
1512354309049839,0,-3,-1,-1,-4,1,-1,-1
1512354309049839,0,-1,0,-4,4,3,-1,2
1512354309055839,2,0,1,0,1,-3,-2,-2
1512354309055839,1,-2,-3,-1,-3,-1,0,-1
1512354309064839,-1,0,-4,-1,1,0,0,4
1512354309064839,-1,2,3,4,0,-2,-2,-2
1512354309077839,0,-5,-4,-2,-3,2,-2,0
1512354309077839,-3,1,-3,-4,1,2,-1,-3
1512354309086839,0,1,1,0,-3,1,1,-4
1512354309086839,0,1,-5,-4,-3,-8,0,2
1512354309100839,-5,-1,3,0,2,3,1,-2
1512354309100839,4,-1,2,2,1,-2,-2,1
1512354309109839,-2,-1,-5,1,-1,1,-2,1
1512354309109839,0,-1,4,2,0,2,4,-4
1512354309115839,-2,0,-8,-2,-2,-2,-1,-2
1512354309115839,-3,0,-2,0,-2,-1,-2,-3
1512354309130839,-1,4,-1,-2,0,1,0,0
1512354309130839,-1,1,-2,1,-3,-3,0,1
1512354309137839,0,-2,0,-3,0,-3,-4,-1
1512354309137839,0,-1,0,-2,1,-4,2,-1
1512354309146839,0,-2,-1,2,-3,0,-3,1
1512354309146839,-1,-2,2,-1,1,3,-2,-1
1512354309169839,0,1,1,0,-4,-2,-2,2
1512354309169839,1,1,-1,-4,0,3,-3,1
1512354309170839,0,-4,1,-3,2,-2,0,-2
1512354309170839,3,-2,-3,2,1,-1,0,1
1512354309175839,-1,2,-1,1,2,-2,2,-2
1512354309175839,-3,1,-2,-1,1,2,2,0
1512354309190839,0,0,5,1,-1,1,-2,1
1512354309190839,-2,-2,-2,-3,-1,0,-2,-2
1512354309197839,0,2,-5,-4,1,1,3,-1
1512354309197839,0,-1,0,1,-2,-5,-3,-2
1512354309206839,-2,-1,-5,2,-2,-1,1,3
1512354309206839,-1,1,0,-2,1,-4,-3,-1
1512354309220839,-1,-6,3,1,-2,1,2,-1
1512354309220839,-1,-1,1,-2,1,1,1,-4
1512354309229839,0,0,-4,-6,-1,-3,-3,-3
1512354309229839,2,-1,1,-3,-3,-3,-1,-4
1512354309235839,1,-1,-1,-1,1,-4,-1,0
1512354309235839,-2,-4,1,3,0,3,2,3
1512354309250839,-1,0,0,-1,-2,0,2,-1
1512354309250839,2,0,1,2,1,1,1,-2
1512354309257839,-1,0,-2,-3,-1,-2,0,-2
1512354309257839,1,-1,1,4,-2,-1,-1,-1
1512354309266839,-2,2,1,0,0,0,-3,-2
1512354309266839,0,-1,1,-1,0,6,-1,0
