timestamp,x,y,z
1512354308343839,0.6875,-1.375,0.3125
1512354308366839,-0.375,-1.5625,-0.0625
1512354308388839,-0.6875,-2.125,-0.4375
1512354308403839,0,-2.5,-0.5625
1512354308426839,0.375,-2.5,-0.3125
1512354308448839,0.375,-2.5,-0.125
1512354308487839,0.375,-2.375,-0.0625
1512354308489839,-0.1875,-2.25,-0.125
1512354308508839,-0.6875,-2.125,-0.25
1512354308524839,0.0625,-1.4375,-0.1875
1512354308549839,1.375,-0.8125,0
1512354308568839,1.125,-0.5,-0.375
1512354308605839,-0.0625,0.125,0.125
1512354308615839,0.0625,0.25,0.0625
1512354308628839,0.8125,0.4375,-0.1875
1512354308643839,1.25,0.25,-0.0625
1512354308666839,1.0625,0.6875,-0.3125
1512354308688839,0.8125,0.6875,0.0625
1512354308703839,1.4375,0.3125,0.25
1512354308726839,2,0.125,0.125
1512354308748839,1.4375,0.0625,0.5625
1512354308763839,1.0625,0.125,0.4375
1512354308786839,0.6875,0.375,0.6875
1512354308808839,1.0625,0.8125,1.0625
1512354308823839,2.4375,1.125,1.0625
1512354308846839,1.1875,1.375,0.875
1512354308868839,-0.625,2.3125,0.9375
1512354308883839,-0.9375,2.75,1.1875
1512354308906839,0,2.25,1.4375
1512354308928839,0.375,1.9375,2
1512354308943839,-0.5,2.125,2.375
1512354308966839,-1.8125,1.5,2.4375
1512354308988839,-2.5,1.125,2.5625
1512354309003839,-2.3125,1.375,3.0625
1512354309026839,-2.875,1.6875,3.25
1512354309048839,-3.1875,1.9375,2.5625
1512354309063839,-3.25,2.5625,2.125
1512354309086839,-1.5,2.6875,1.625
1512354309108839,0,2.25,0.75
1512354309122839,0.625,1.8125,0.6875
1512354309146839,-1.1875,1.5625,0.5
1512354309170839,-2.25,1.375,1.125
1512354309182839,-1.4375,1.5,1.1875
1512354309206839,-1.25,0.9375,0.625
1512354309228839,-1.5,0.75,1.625
1512354309242839,-1.375,0.875,2.5625
1512354309266839,-1.25,0.75,3.0625
1512354309288839,-2.4375,0.4375,3.3125
1512354309302839,-2.875,0.5625,3.4375
1512354309326839,-3.25,-0.0625,3
1512354309348839,-2.625,-0.375,2.9375
1512354309362839,-1.25,-0.4375,2.8125
1512354309386839,-1.25,-1.125,2.625
1512354309408839,-1.4375,-1.3125,2.5
1512354309422839,-2.25,-1.125,2.1875
1512354309446839,-2,-0.6875,2.375
1512354309468839,-1.5625,-0.125,1.75
1512354309482839,-1.25,0.4375,1.625
1512354309506839,-1.0625,0.4375,1.1875
1512354309528839,-0.8125,0.625,0.125
1512354309542839,-0.25,0.75,-0.5625
1512354309566839,-0.0625,0.4375,-1.125
1512354309588839,0.3125,0.3125,-0.9375
1512354309604839,1.125,0.3125,-0.875
1512354309627839,0.75,0.4375,-0.75
1512354309648839,0.625,1.75,-0.125
1512354309664839,1.4375,1.8125,-0.1875
1512354309687839,3.5,2.8125,0.625
1512354309708839,5.5,4.375,1.875
1512354309724839,6,6.8125,3.5625
1512354309747839,5.25,7.9375,4.5625
1512354309768839,4.625,9.625,5.6875
1512354309784839,5.625,12.25,8.3125
1512354309807839,5.9375,13.3125,11.5625
1512354309828839,5.875,13.5,14.3125
1512354309851839,0.5625,13.4375,16.8125
1512354309867839,2.3125,15.375,21.625
1512354309888839,3.9375,18.25,28.125
1512354309911839,4.375,19.25,30.8125
1512354309927839,6.375,18.1875,31.875
1512354309948839,4.9375,18.625,34.125
1512354309970839,2.0625,22.625,36.6875
1512354309987839,1.6875,26.75,39.5
1512354310008839,2.8125,27.125,41.1875
1512354310030839,5.375,27,42
1512354310046839,8.0625,27.6875,42.75
1512354310068839,6.9375,27.3125,44.6875
1512354310090839,7.875,25.25,46.1875
1512354310106839,8.4375,23.0625,47.25
1512354310128839,9.1875,22.375,50.9375
1512354310150839,8.5625,22,55.0625
1512354310166839,6.1875,19.3125,60.1875
1512354310188839,3,15.3125,64.1875
1512354310210839,-3.9375,12.3125,66.5625
1512354310226839,-9.875,10.5,71.25
1512354310249839,-13.9375,7.75,75.875
1512354310278839,-19.5625,3.75,78.875
1512354310286839,-25,0.625,81.875
1512354310309839,-30.25,-3.25,82.8125
1512354310330839,-34.25,-11.8125,82.375
1512354310346839,-37.4375,-21.25,82.3125
1512354310369839,-41,-29.25,82.4375
1512354310390839,-45.9375,-37.625,80.125
1512354310406839,-49.9375,-43.9375,77.125
1512354310429839,-50.25,-51.75,72
1512354310450839,-50.75,-60.875,67.25
1512354310466839,-49,-67.375,62.8125
1512354310489839,-44.5625,-73.75,54.1875
1512354310510839,-39.4375,-80.4375,45.875
1512354310526839,-36.75,-86.25,39.1875
1512354310555839,-37.5625,-90.9375,32.5
1512354310570839,-38.9375,-97.8125,23.3125
1512354310586839,-41.3125,-105.063,14.375
1512354310609839,-41.625,-108.625,7.1875
1512354310630839,-42.5625,-113,-0.5
1512354310646839,-42.8125,-117.063,-9.75
1512354310669839,-41.1875,-120.063,-18.75
1512354310690839,-41.6875,-122.375,-26.625
1512354310706839,-42.1875,-121.688,-34.6875
1512354310729839,-43.625,-120.188,-42.1875
1512354310750839,-46.3125,-118.5,-47.375
1512354310766839,-48.9375,-114.688,-52.4375
1512354310789839,-52.8125,-110.313,-58.3125
1512354310810839,-58.0625,-105.625,-63.0625
1512354310826839,-63.9375,-99.25,-68.5
1512354310849839,-69,-90.125,-73.25
1512354310870839,-70.9375,-79,-77.9375
1512354310886839,-71.3125,-65.8125,-81.4375
1512354310909839,-69.5625,-53.8125,-84
1512354310930839,-64.5625,-42.9375,-85.75
1512354310946839,-58,-32.375,-86.9375
1512354310969839,-51,-21.625,-87.625
1512354310990839,-44.9375,-11.8125,-85.3125
1512354311006839,-44.75,-6.8125,-78.875
1512354311029839,-50.875,1.0625,-73.4375
1512354311050839,-57.0625,12.5,-68.8125
1512354311066839,-60.3125,24.875,-65.125
1512354311089839,-57.25,34.625,-63.25
1512354311110839,-46.375,43.8125,-60.75
1512354311126839,-31.875,53.5,-56.8125
1512354311149839,-17.8125,60.5,-55.0625
1512354311170839,-9.8125,69.5,-50.8125
1512354311186839,-12.4375,80.75,-45.5625
1512354311209839,-18.0625,92.625,-43.4375
