timestamp,x,y,z,w
1512354361957839,0.0512085,0.000976563,0.0874023,0.994812
1512354361981839,0.0510254,0.000732422,0.0875854,0.994812
1512354361996839,0.0510254,0.000366211,0.0877075,0.994812
1512354362017839,0.0512085,0.000183105,0.0878296,0.994751
1512354362041839,0.0513916,-6.10352e-005,0.0878906,0.994751
1512354362056839,0.0513916,-0.000488281,0.0878906,0.994751
1512354362077839,0.0513306,-0.000793457,0.0877686,0.994812
1512354362118839,0.0513916,-0.0010376,0.0875854,0.994812
1512354362119839,0.0513916,-0.0010376,0.0875854,0.994812
1512354362138839,0.0513916,-0.0010376,0.0875854,0.994812
1512354362153839,0.0513916,-0.00109863,0.0875854,0.994812
1512354362177839,0.0513916,-0.00109863,0.0875854,0.994812
1512354362198839,0.0513916,-0.00115967,0.0876465,0.994812
1512354362234839,0.0511475,-0.00134277,0.0877686,0.994812
1512354362245839,0.0509033,-0.00140381,0.0878296,0.994812
1512354362258839,0.0505371,-0.00146484,0.0878906,0.994812
1512354362273839,0.0501709,-0.00164795,0.0880127,0.994812
1512354362295839,0.0499268,-0.00170898,0.0880737,0.994812
1512354362318839,0.0495605,-0.00183105,0.0882568,0.994812
1512354362333839,0.0491943,-0.00213623,0.088623,0.994812
1512354362355839,0.0490112,-0.0022583,0.0889282,0.994812
1512354362378839,0.0487671,-0.00244141,0.0892334,0.994751
1512354362393839,0.048645,-0.00256348,0.0896606,0.994751
1512354362415839,0.0484619,-0.00256348,0.0899658,0.994751
1512354362438839,0.0482178,-0.00244141,0.09021,0.99469
1512354362453839,0.0480347,-0.00231934,0.0905151,0.99469
1512354362475839,0.0479126,-0.00219727,0.0906982,0.99469
1512354362498839,0.0477905,-0.00219727,0.0909424,0.99469
1512354362513839,0.0477295,-0.00219727,0.0909424,0.99469
1512354362535839,0.0477295,-0.00219727,0.0909424,0.99469
1512354362558839,0.0477295,-0.00219727,0.0909424,0.99469
1512354362573839,0.0477295,-0.00219727,0.0909424,0.99469
1512354362595839,0.0476074,-0.00256348,0.0909424,0.99469
1512354362618839,0.0476074,-0.00286865,0.0909424,0.99469
1512354362633839,0.0476074,-0.00292969,0.0909424,0.99469
1512354362655839,0.0476074,-0.00299072,0.0911865,0.994629
1512354362678839,0.0477295,-0.00317383,0.0914917,0.994629
1512354362693839,0.0477295,-0.00335693,0.09198,0.994568
1512354362715839,0.0474243,-0.00366211,0.0925293,0.994507
1512354362738839,0.046814,-0.00402832,0.0932617,0.994507
1512354362753839,0.0461426,-0.00445557,0.0941772,0.994446
1512354362775839,0.0456543,-0.00524902,0.0951538,0.994385
1512354362798839,0.0450439,-0.00628662,0.0961914,0.994263
1512354362812839,0.0440674,-0.00744629,0.09729,0.994202
1512354362835839,0.0427246,-0.00915527,0.0985718,0.994141
1512354362858839,0.0419922,-0.0110474,0.100037,0.994019
1512354362872839,0.0413818,-0.0137329,0.100769,0.993896
1512354362895839,0.0396118,-0.0182495,0.100952,0.993896
1512354362918839,0.0379028,-0.0240479,0.101196,0.993835
1512354362932839,0.0368652,-0.0305176,0.10144,0.993652
1512354362955839,0.0355225,-0.0374146,0.101868,0.993408
1512354362978839,0.0330811,-0.0449829,0.102844,0.993103
1512354362992839,0.0294189,-0.0527344,0.104614,0.992676
1512354363015839,0.024353,-0.0609741,0.106445,0.992126
1512354363037839,0.0174561,-0.0698242,0.108276,0.991455
1512354363052839,0.00952148,-0.0794067,0.110535,0.990601
1512354363075839,0.00158691,-0.0899048,0.112671,0.989502
1512354363098839,-0.0057373,-0.101257,0.114319,0.98822
1512354363112839,-0.012146,-0.11322,0.115601,0.986694
1512354363135839,-0.0176392,-0.125671,0.116211,0.985046
1512354363158839,-0.022583,-0.138489,0.116089,0.983276
1512354363172839,-0.0272217,-0.151306,0.115295,0.981323
1512354363195839,-0.0316162,-0.16394,0.113892,0.97937
1512354363218839,-0.0355225,-0.17511,0.112183,0.977478
1512354363233839,-0.0389404,-0.184998,0.110229,0.975708
1512354363256839,-0.0428467,-0.194397,0.108276,0.973938
1512354363278839,-0.0477905,-0.203796,0.106323,0.972046
1512354363293839,-0.0534058,-0.212952,0.104248,0.969971
1512354363316839,-0.0602417,-0.221924,0.102295,0.967773
1512354363337839,-0.0681763,-0.230652,0.100647,0.965393
1512354363353839,-0.0765991,-0.239197,0.0988159,0.96283
1512354363376839,-0.0847778,-0.247437,0.0968628,0.960266
1512354363397839,-0.0926514,-0.255249,0.0950928,0.957703
1512354363413839,-0.0998535,-0.262451,0.0935669,0.9552
1512354363436839,-0.106262,-0.268921,0.0922241,0.95282
1512354363457839,-0.112183,-0.274597,0.0908203,0.950623
1512354363473839,-0.118042,-0.279419,0.0891724,0.948669
1512354363497839,-0.124512,-0.283447,0.0869141,0.946838
1512354363518839,-0.131958,-0.287048,0.0841064,0.945007
1512354363533839,-0.140137,-0.290344,0.0803223,0.943176
1512354363557839,-0.148621,-0.293396,0.0751343,0.941345
1512354363578839,-0.156799,-0.295837,0.0686646,0.939758
1512354363593839,-0.164612,-0.297241,0.0604858,0.938538
1512354363616839,-0.171448,-0.297791,0.0505371,0.937744
1512354363637839,-0.176758,-0.297546,0.0392456,0.937378
1512354363660839,-0.180481,-0.295959,0.0272217,0.937561
1512354363676839,-0.182007,-0.293152,0.0145874,0.938477
