timestamp,x,y,z
1512354210518839,-0.0698242,0.928711,0.271973
1512354210533839,-0.0708008,0.921387,0.276367
1512354210558839,-0.0712891,0.928711,0.263672
1512354210578839,-0.0688477,0.92627,0.272949
1512354210593839,-0.0639648,0.92041,0.26416
1512354210616839,-0.0683594,0.935547,0.270996
1512354210662839,-0.0639648,0.931152,0.27832
1512354210664839,-0.0688477,0.924805,0.276855
1512354210677839,-0.0742188,0.931152,0.271973
1512354210698839,-0.0693359,0.927734,0.27832
1512354210714839,-0.0668945,0.927734,0.272949
1512354210744839,-0.0703125,0.930176,0.277344
1512354210788839,-0.0693359,0.92627,0.272461
1512354210798839,-0.0668945,0.931152,0.272461
1512354210799839,-0.0629883,0.931152,0.27832
1512354210818839,-0.0732422,0.927734,0.272949
1512354210833839,-0.0727539,0.933594,0.277344
1512354210855839,-0.0668945,0.936523,0.277344
1512354210878839,-0.0712891,0.934082,0.283691
1512354210893839,-0.0668945,0.930176,0.282227
1512354210915839,-0.0683594,0.930664,0.284668
1512354210938839,-0.0712891,0.929688,0.280762
1512354210953839,-0.0712891,0.923828,0.277344
1512354210975839,-0.0698242,0.919434,0.268066
1512354210998839,-0.0688477,0.926758,0.274414
1512354211013839,-0.0732422,0.931641,0.271484
1512354211035839,-0.0712891,0.932129,0.274902
1512354211058839,-0.0727539,0.938965,0.285156
1512354211073839,-0.0795898,0.941895,0.280762
1512354211095839,-0.0727539,0.928223,0.286621
1512354211118839,-0.0698242,0.923828,0.289063
1512354211133839,-0.0805664,0.928711,0.290039
1512354211155839,-0.078125,0.928223,0.29248
1512354211178839,-0.0766602,0.950684,0.29248
1512354211193839,-0.0834961,0.964844,0.292969
1512354211215839,-0.0810547,0.967773,0.298828
1512354211238839,-0.0712891,0.945313,0.290039
1512354211254839,-0.0717773,0.935547,0.296875
1512354211275839,-0.0864258,0.924805,0.310547
1512354211298839,-0.0898438,0.948242,0.308594
1512354211314839,-0.0966797,0.953613,0.301758
1512354211335839,-0.110352,0.944336,0.285156
1512354211358839,-0.117676,0.921875,0.291504
1512354211374839,-0.128418,0.90332,0.288574
1512354211395839,-0.124023,0.895996,0.28418
1512354211418839,-0.115723,0.888672,0.303223
1512354211434839,-0.106934,0.875,0.314941
1512354211455839,-0.109375,0.87793,0.321289
1512354211478839,-0.104492,0.891602,0.327637
1512354211494839,-0.102051,0.910156,0.341797
1512354211515839,-0.0981445,0.921875,0.339355
1512354211538839,-0.09375,0.930664,0.344238
1512354211554839,-0.131836,0.946777,0.359863
1512354211575839,-0.150879,0.92041,0.375977
1512354211598839,-0.128418,0.900391,0.403809
1512354211614839,-0.118652,0.922363,0.404785
1512354211635839,-0.120117,0.916504,0.379883
1512354211658839,-0.140625,0.919922,0.356934
1512354211676839,-0.113281,0.913574,0.37207
1512354211695839,-0.117676,0.876465,0.347656
1512354211718839,-0.126465,0.874512,0.343262
1512354211736839,-0.129395,0.867188,0.342773
1512354211755839,-0.137207,0.852051,0.34375
1512354211779839,-0.126953,0.857422,0.336914
1512354211796839,-0.144043,0.889648,0.332031
1512354211818839,-0.132813,0.907227,0.286133
1512354211839839,-0.132324,0.91748,0.285645
1512354211856839,-0.135742,0.919434,0.312012
1512354211878839,-0.128906,0.870117,0.304199
1512354211899839,-0.133789,0.890137,0.256348
1512354211920839,-0.134766,0.993164,0.254395
1512354211938839,-0.117188,1.03076,0.281738
1512354211959839,-0.0996094,0.991699,0.317383
1512354211980839,-0.0854492,0.976074,0.349121
1512354211998839,-0.0644531,1,0.342285
1512354212019839,-0.0644531,0.995117,0.342285
1512354212040839,-0.0664063,0.963867,0.374512
1512354212058839,-0.0673828,0.928223,0.397949
1512354212079839,-0.0678711,0.927246,0.410645
1512354212100839,-0.0698242,0.90918,0.437988
1512354212118839,-0.0634766,0.922852,0.451172
1512354212141839,-0.0625,0.929199,0.444824
1512354212161839,-0.0737305,0.914551,0.441895
1512354212177839,-0.0991211,0.879395,0.430664
1512354212200839,-0.114746,0.837402,0.413574
1512354212221839,-0.112305,0.815918,0.390625
1512354212237839,-0.0932617,0.807129,0.333008
1512354212260839,-0.0927734,0.847656,0.313477
1512354212281839,-0.10791,0.896484,0.312012
1512354212297839,-0.149902,0.856445,0.305176
1512354212326839,-0.153809,0.762207,0.32373
1512354212341839,-0.152344,0.647461,0.370117
1512354212357839,-0.174316,0.61377,0.556152
1512354212380839,-0.117188,0.666016,0.638184
1512354212401839,-0.0942383,0.777344,0.62793
1512354212417839,-0.13623,0.907715,0.581543
1512354212440839,-0.160645,0.955566,0.560547
1512354212461839,-0.181152,0.906738,0.606445
1512354212477839,-0.182129,0.86377,0.666504
1512354212500839,-0.192383,0.874512,0.69873
1512354212521839,-0.196777,0.904297,0.730957
1512354212537839,-0.1875,0.95166,0.760742
1512354212560839,-0.179199,0.975586,0.785156
1512354212581839,-0.18457,0.994629,0.813477
1512354212598839,-0.169922,0.97998,0.833008
1512354212620839,-0.151367,0.987305,0.818359
1512354212641839,-0.140625,0.969727,0.814453
1512354212657839,-0.119141,0.950195,0.810547
1512354212680839,-0.0996094,0.907227,0.802246
1512354212701839,-0.074707,0.869629,0.79834
1512354212717839,-0.0751953,0.851074,0.734863
1512354212740839,-0.0551758,0.786621,0.70752
1512354212761839,-0.0195313,0.754883,0.695801
1512354212777839,0.0302734,0.749023,0.679199
1512354212800839,0.0708008,0.734375,0.651367
1512354212821839,0.100586,0.719238,0.597656
1512354212837839,0.108398,0.645508,0.591309
1512354212860839,0.166016,0.56543,0.589844
