timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1512354210670839,-1,0,1,-1,2,8,1,7
1512354210670839,1,0,-3,-1,1,0,-5,1
1512354210671839,-3,0,-1,-17,-50,-9,-23,-18
1512354210671839,3,-1,2,8,7,-11,24,12
1512354210671839,-2,-3,-1,-5,-8,-2,-10,-6
1512354210671839,-1,-3,-2,0,7,3,0,7
1512354210672839,-1,0,-1,-2,-1,3,14,-10
1512354210672839,1,1,-2,1,-6,5,27,19
1512354210683839,0,-2,-2,-13,-21,-13,-26,-9
1512354210683839,-3,-2,-2,-3,1,-1,10,-4
1512354210691839,-1,-4,-3,-3,-2,6,5,4
1512354210691839,-5,-2,-1,-3,-3,5,-13,-15
1512354210699839,2,2,3,11,32,-9,-4,4
1512354210699839,1,1,0,-3,-4,2,-7,0
1512354210713839,0,2,0,6,5,-4,-17,1
1512354210713839,-1,0,-1,-4,-4,-6,-17,-4
1512354210723839,-1,1,-2,0,6,14,13,-5
1512354210723839,-2,-2,0,0,20,-1,-14,-4
1512354210736839,1,0,1,1,-11,-2,4,5
1512354210736839,-2,-2,-1,-2,-9,-14,-6,-6
1512354210744839,0,1,1,8,21,1,8,14
1512354210744839,1,1,2,2,-20,-1,6,-4
1512354210758839,-1,-1,-2,1,12,13,9,-2
1512354210758839,3,1,1,-3,8,-5,-10,9
1512354210799839,-3,-4,-4,-10,-20,4,-12,-13
1512354210799839,-1,-2,-4,-6,-8,7,31,6
1512354210800839,-1,0,-1,-6,-5,-4,-13,-8
1512354210800839,-3,-3,-1,3,14,-1,-12,-1
1512354210803839,0,-2,-1,-3,-3,6,-1,5
1512354210803839,-1,1,1,2,10,-15,-16,-12
1512354210804839,1,0,0,-1,19,-3,-3,-1
1512354210804839,-1,-1,-1,-9,-18,7,-4,-1
1512354210810839,-1,-2,-1,3,4,22,16,-2
1512354210810839,0,1,1,-4,-2,-7,-11,-8
1512354210819839,1,-2,-3,3,5,5,3,17
1512354210819839,0,2,1,-6,6,-14,-15,-14
1512354210825839,-2,0,-1,1,5,-2,10,8
1512354210825839,-1,-1,2,4,-5,1,-9,-6
1512354210840839,-3,-3,-2,-1,-9,15,5,-9
1512354210840839,0,-4,-2,0,-6,0,30,10
1512354210848839,1,0,0,4,4,-2,0,-2
1512354210848839,-4,-4,-4,-7,-10,4,-9,-4
1512354210871839,1,0,2,9,9,-11,16,5
1512354210871839,1,1,1,2,-1,22,33,3
1512354210872839,0,2,2,-1,-8,-14,-25,-2
1512354210872839,0,-1,-1,1,-8,-1,-4,5
1512354210886839,0,0,0,0,6,1,3,-5
1512354210886839,0,0,1,0,-5,-11,-15,5
1512354210887839,2,-1,-1,3,4,5,15,7
1512354210887839,-3,-3,-5,-19,-23,-8,10,-1
1512354210908839,-1,-1,0,3,-1,4,-36,-10
1512354210908839,0,-2,-1,-3,-9,-1,-2,-1
1512354210909839,-3,-3,-3,-2,10,8,23,1
1512354210909839,2,0,-2,1,11,14,-5,-6
1512354210931839,-3,-2,-1,4,12,-5,9,12
1512354210931839,-1,-2,-3,-4,-9,9,1,-1
1512354210932839,-3,-1,1,0,-3,-13,-26,-8
1512354210932839,-2,-1,1,6,-2,-13,-14,1
1512354210946839,0,-2,-2,-2,7,10,10,6
1512354210946839,2,1,-1,2,6,-1,-14,-1
1512354210947839,-2,-2,-1,-5,-2,-20,-6,-2
1512354210947839,1,2,5,15,7,-3,-1,-2
1512354210968839,0,0,0,-8,-19,-10,-8,-6
1512354210968839,0,1,-1,3,-19,-12,-16,1
1512354210969839,-1,-1,-2,-4,9,2,-7,-5
1512354210969839,2,-1,0,-5,-4,-2,6,15
1512354210991839,0,1,0,0,-5,2,11,-2
1512354210991839,-1,-2,0,-4,-23,0,4,-2
1512354210992839,1,0,2,2,-2,-5,6,-1
1512354210992839,0,1,0,1,5,22,9,2
1512354211006839,2,-2,-6,-9,-21,-23,20,10
1512354211006839,-3,-2,-1,9,40,6,-9,-9
1512354211007839,1,1,1,0,-7,0,-5,5
1512354211007839,2,0,0,8,31,14,19,0
1512354211028839,-2,-3,-2,-1,-11,-5,-5,-12
1512354211028839,-1,-2,-3,3,20,0,20,7
1512354211029839,0,1,-1,-13,-41,-12,-18,5
1512354211029839,-1,-1,-1,-5,-39,-5,-2,-5
