timestamp,x,y,z
1512354210518839,-0.8125,0.6875,-0.3125
1512354210533839,-0.25,0.5,-0.3125
1512354210558839,0.1875,0.4375,-0.125
1512354210578839,-0.5625,0.1875,0.25
1512354210593839,-0.25,0.1875,0.25
1512354210616839,0.625,0.0625,0.1875
1512354210662839,-0.1875,-0.125,0.4375
1512354210664839,0.125,0.125,0.3125
1512354210677839,0.625,0,0.3125
1512354210698839,-0.125,-0.125,0.6875
1512354210714839,-0.125,0,0.4375
1512354210744839,0,-0.0625,-0.0625
1512354210788839,-0.0625,0.125,0.25
1512354210798839,0.1875,0.125,0.4375
1512354210799839,-0.25,0.125,0.0625
1512354210818839,-0.1875,0.1875,-0.125
1512354210833839,-0.25,0.1875,-0.0625
1512354210855839,-0.1875,0.4375,-0.375
1512354210878839,-0.625,0.5625,-0.4375
1512354210893839,-1.375,0.75,-0.4375
1512354210915839,-1.125,1.125,-0.875
1512354210938839,-1.4375,1.3125,-1
1512354210953839,-2.1875,1.25,-0.9375
1512354210975839,-1.75,1.25,-0.8125
1512354210998839,-1.5625,1.0625,-0.8125
1512354211013839,-2.1875,0.8125,-0.9375
1512354211035839,-1.75,0.5625,-0.6875
1512354211058839,-1.0625,0.5625,-0.9375
1512354211073839,-2.375,0.5,-0.8125
1512354211095839,-3.25,0.4375,-0.5625
1512354211118839,-2.6875,0.9375,-0.875
1512354211133839,-3.875,1.125,-1.5625
1512354211155839,-4.3125,1.4375,-1.375
1512354211178839,-4.375,1.4375,-2.375
1512354211193839,-6,1.5,-3.625
1512354211215839,-8.375,1.875,-4.6875
1512354211238839,-9.625,2.125,-5.5625
1512354211254839,-7.875,2.3125,-7.0625
1512354211275839,-5.4375,2.75,-7.6875
1512354211298839,-4.5625,3.0625,-8.4375
1512354211314839,-4.1875,3.5,-10.4375
1512354211335839,-9.75,2.9375,-11.4375
1512354211358839,-10.8125,2.4375,-11.6875
1512354211374839,-9.4375,2.1875,-11.6875
1512354211395839,-9.625,1.6875,-10.375
1512354211418839,-9.375,0.1875,-8.8125
1512354211434839,-9.375,-0.1875,-7.125
1512354211455839,-7.9375,0,-6.8125
1512354211478839,-7.25,-0.5,-6
1512354211494839,-5.125,-0.625,-4.9375
1512354211515839,-3.75,1.0625,-3.1875
1512354211538839,-3.5625,3.1875,-2.3125
1512354211554839,-5.5625,2.625,-3.3125
1512354211575839,-7.5,1.75,-0.8125
1512354211598839,-10.25,2.375,2.25
1512354211614839,-4.6875,3.3125,4.75
1512354211635839,-6.4375,4.125,4.3125
1512354211658839,-9.75,1.0625,4.875
1512354211676839,-13.6875,-1.9375,6.9375
1512354211695839,-9.25,-3.8125,6.5
1512354211718839,-8.5,-4.875,7.3125
1512354211736839,-6.5,-7.0625,5
1512354211755839,0.125,-9.8125,2.25
1512354211779839,7.5625,-10,0.25
1512354211796839,11.625,-11.8125,-3.375
1512354211818839,13.875,-12.5625,-7.375
1512354211839839,8.5,-11.6875,-11.3125
1512354211856839,6.6875,-8.3125,-13.5625
1512354211878839,13.25,-5.0625,-14.625
1512354211899839,18.5625,-3.125,-14.125
1512354211920839,8.875,0.25,-12.5625
