timestamp,x,y,z,w
1512354210518839,0.560059,-0.216553,-0.341736,0.7229
1512354210533839,0.560059,-0.216553,-0.341736,0.7229
1512354210558839,0.560059,-0.216553,-0.341736,0.7229
1512354210578839,0.560059,-0.216553,-0.341736,0.7229
1512354210593839,0.560059,-0.216553,-0.341736,0.7229
1512354210616839,0.560059,-0.216553,-0.341736,0.7229
1512354210662839,0.560059,-0.216553,-0.341736,0.7229
1512354210664839,0.559998,-0.216553,-0.341736,0.722961
1512354210677839,0.559998,-0.216553,-0.341797,0.722961
1512354210698839,0.559998,-0.216553,-0.341797,0.722961
1512354210714839,0.559998,-0.216553,-0.341797,0.722961
1512354210744839,0.559998,-0.216492,-0.341797,0.722961
1512354210788839,0.559998,-0.216492,-0.341797,0.722961
1512354210798839,0.559998,-0.216492,-0.341797,0.722961
1512354210799839,0.559937,-0.216492,-0.341797,0.722961
1512354210818839,0.559937,-0.216492,-0.341797,0.722961
1512354210833839,0.559937,-0.216492,-0.341797,0.722961
1512354210855839,0.559937,-0.216492,-0.341797,0.723022
1512354210878839,0.559937,-0.216492,-0.341797,0.723022
1512354210893839,0.559692,-0.216248,-0.341858,0.723206
1512354210915839,0.55957,-0.215881,-0.341919,0.723389
1512354210938839,0.559448,-0.215515,-0.342041,0.723572
1512354210953839,0.559265,-0.215088,-0.342102,0.723816
1512354210975839,0.559204,-0.214783,-0.342163,0.723938
1512354210998839,0.559082,-0.214478,-0.342163,0.724121
1512354211013839,0.55896,-0.214111,-0.342285,0.724243
1512354211035839,0.558777,-0.213928,-0.342346,0.724365
1512354211058839,0.558655,-0.213623,-0.342468,0.724487
1512354211073839,0.558472,-0.213318,-0.342651,0.72467
1512354211095839,0.558044,-0.212952,-0.342834,0.725037
1512354211118839,0.557678,-0.212585,-0.342957,0.725342
1512354211133839,0.557312,-0.211975,-0.343262,0.725708
1512354211155839,0.556824,-0.211304,-0.343506,0.726135
1512354211178839,0.556396,-0.210632,-0.343811,0.726501
1512354211193839,0.555969,-0.209717,-0.34436,0.726868
1512354211215839,0.555176,-0.208557,-0.345032,0.727417
1512354211238839,0.554321,-0.207275,-0.345825,0.728088
1512354211254839,0.553711,-0.205933,-0.34668,0.728577
1512354211275839,0.553345,-0.204468,-0.347595,0.728821
1512354211298839,0.553223,-0.202942,-0.348572,0.728821
1512354211314839,0.553345,-0.201233,-0.34967,0.728699
1512354211335839,0.552917,-0.199158,-0.351196,0.728821
1512354211358839,0.552307,-0.196899,-0.352905,0.729126
1512354211374839,0.55188,-0.194763,-0.354614,0.729187
1512354211395839,0.551331,-0.19281,-0.35614,0.72937
1512354211418839,0.550476,-0.191284,-0.357605,0.729736
1512354211434839,0.549377,-0.190063,-0.358826,0.730225
1512354211455839,0.548462,-0.188843,-0.359985,0.730652
1512354211478839,0.547546,-0.187988,-0.361023,0.731079
1512354211494839,0.546753,-0.187378,-0.361816,0.731445
1512354211515839,0.546326,-0.186829,-0.362122,0.73175
1512354211538839,0.545898,-0.186218,-0.362061,0.732239
1512354211554839,0.545349,-0.18512,-0.362488,0.732727
1512354211575839,0.54425,-0.18396,-0.362976,0.733582
